interpret_hlavni,id,stazeno,nazev_wiki,popis_en,popis_cs,velikost,zanry,datum_narozeni,datum_umrti,zacatek_pusobeni,konec_pusobeni,zalozeni,zanik,gender,misto_puvodu,zeme_puvodu,obcanstvi,etnicita,hlas,nastroje,oceneni,nabozenstvi,orientace,spotify_id,spotify_odberatele
'N Sync,Q154454,True,NSYNC,American boy band,hudební skupina,boy band,['teen pop'],,,1995,2002,1995,,,Orlando,Spojené státy americké,,,,,"['Umělec roku', 'Hvězda na Hollywoodském chodníku slávy']",,,6Ff53KvcvAj5U7Z1vojB5o,
2 Chainz,Q129668,True,2 Chainz,American rapper (born 1977),,člověk,"['Southern hip hop', 'hip hop', 'Gangsta rap', 'trap', 'hardcore hip hop', 'Atlanta hip hop', 'dirty south']",1977,,1997,,,,muž,College Park,Spojené státy americké,['Spojené státy americké'],,,"['sampler', 'bicí souprava', 'syntezátor', 'hlas']",['BET Award for Best Collaboration'],,,17lzZA2AlOHwCwFALHttmp,
2 Pac,Q112240732,True,2 Packesel,painting by H.v. Zügel,,malba,,,,,,,,,,Česko,,,,,,,,,
21 Savage,Q25095399,True,21 Savage,English-born rapper,,člověk,"['hip hop', 'trap', 'Gangsta rap', 'Horrorcore']",1992,,2013,,,,muž,Londýn,Spojené království,['Spojené království'],['Black British'],,['hlas'],,"['Ifá', 'ateismus']",,1URnnhqYAYcrqrcwql10ft,
24Kgoldn,Q83751918,True,24kGoldn,American rapper and singer,,člověk,['pop rap'],2000,,2016,,,,muž,San Francisco,Spojené státy americké,['Spojené státy americké'],,,['hlas'],['Billboard 21 Under 21'],,,6fWVd57NKTalqvmjRd2t8Z,
3Oh!3,Q229496,True,3OH!3,American electropop duo,,hudební skupina,"['synthpop', 'electro hop']",,,2004,,2004,,,Boulder,Spojené státy americké,,,,,,,,0FWzNDaEu9jdgcYTbcOa4F,
5 Seconds Of Summer,Q4641147,True,5 Seconds of Summer,Australian pop rock band,,hudební skupina,"['pop rock', 'pop punk']",,,2011,,2011,,,Sydney,Austrálie,,,,,"['MTV Europe Music Award pro nejlepšího Push umělce', 'MTV Europe Music Award pro nejlepšího nováčka', 'MTV Europe Music Award for Best Australian Act', 'MTV Europe Music Award for Best Australian Act', 'MTV Europe Music Award za celosvětový počin', 'MTV Europe Music Award za nejlepší Rock', 'MTV Video Music Award for Song of Summer', 'American Music Award for New Artist of the Year', 'Billboard 21 Under 21']",,,5Rl15oVamLq7FbSb0NNBNy,
50 Cent,Q6060,True,50 Cent,American rapper and actor (born 1975),americký rapper a herec,člověk,"['hip hop', 'East Coast hip hop', 'Gangsta rap']",1975,,1996,,,,muž,South Jamaica,Spojené státy americké,['Spojené státy americké'],['Afroameričané'],,['hlas'],"['Billboard Music Award', 'Hvězda na Hollywoodském chodníku slávy']",,,3q7HBObVc0L8jNeTe5Gofh,
5Angels,Q4641046,True,Pink Angels,Czech girl band,česká dívčí hudební skupina,hudební skupina,,,,2007,,,,,,Česko,,,,,,,,,
6Ix9Ine,Q44479972,True,6ix9ine,American rapper from New York (born 1996),americký rapper,člověk,"['hip hop', 'SoundCloud rap', 'Gangsta rap', 'trap', 'reggaeton', 'hardcore hip hop']",1996,,2014,,,,muž,Bushwick,Spojené státy americké,['Spojené státy americké'],"['mexičtí američané', 'Portoričané  v USA']",,['hlas'],,['křesťanství'],,7gZfnEnfiaHzxARJ2LeXrf,
99 Souls,Q21999835,True,99 Souls,British house duo,,hudební skupina,,,,,,,,,,Česko,,,,,,,,,
A Boogie Wit Da Hoodie,Q27927826,True,A Boogie wit da Hoodie,American rapper (born 1995),,člověk,"['hip hop', 'SoundCloud rap']",1995,,2016,,,,muž,Bronx,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,,31W5EY0aAly4Qieq6OFu6I,
A Fine Frenzy,Q240830,True,Alison Sudol,American musician,,člověk,['pop music'],1984,,1997,,,,žena,Seattle,Spojené státy americké,['Spojené státy americké'],,,['klavír'],,,,5dTYaRzOn4rXGBLH052EeQ,
A Great Big World,Q15136158,True,A Great Big World,American  musical duo from New York,,hudební duo,['pop music'],,,2011,,2011,,,New York,Spojené státy americké,,,,,['Grammy Award for Best Pop Duo/Group Performance'],,,5xKp3UyavIBUsGy3DQdXeF,
A$Ap Ferg,Q15648254,True,A$AP Ferg,American rapper from New York,,člověk,"['hip hop', 'trap', 'East Coast hip hop']",1988,,2007,,,,muž,Harlem,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,,5dHt1vcEm9qb8fCyLcB3HL,
A$Ap Rocky,Q129910,True,A$AP Rocky,American rapper and record producer,americký rapper,člověk,"['hip hop', 'trap', 'cloud rap', 'psychedelic rap', 'experimentální hip hop', 'East Coast hip hop', 'alternativní hip-hop']",1988,,2007,,,,muž,Harlem,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,,13ubrt8QOOCPljQ2FL1Kca,
A-Trak,Q277976,True,A-Trak,"Canadian DJ, turntablist, record producer, and music label executive",,člověk,['electro'],1982,,1997,,,,muž,Montréal,Kanada,['Kanada'],,,['hlas'],,,,3TaUSUXn41GixL7zbvrIDt,
A7S,Q98640237,True,A7S,Swedish artist and singer-songwriter,,člověk,,1994,,,,,,muž,Stockholm,Švédsko,['Švédsko'],,,,,,,5Wg2b4Mp42gicxEeDNawf7,
ACDC,Q27593,True,AC/DC,Australian hard rock band,australská hard rocková skupina,rocková hudební skupina,"['hard rock', 'rock and roll', 'blues rock']",,,1973,,1973,,,Sydney,Austrálie,,,,,['Rock and Roll Hall of Fame'],,,711MCceyCBcFnzjGY4Q7Un,
Aaron Carter,Q301818,True,Aaron Carter,American pop singer (1987–2022),americký zpěvák (1987–2022),člověk,"['pop music', 'hip hop']",1987,2022,1997,2022,,,muž,Tampa,Spojené státy americké,['Spojené státy americké'],,['tenor'],"['hlas', 'klavír', 'kytara', 'saxofon', 'buben']",,,['bisexualita'],5338fdSzGNOFD4cxAxDTeq,
Abba,Q18233,True,ABBA,Swedish pop group,švédská popová skupina,hudební skupina,"['pop music', 'pop rock', 'Europop', 'euro disco', 'taneční hudba', 'glam rock']",,,1972,1982,1970,+2016-00-00T00:00:00Z,,Stockholm,Švédsko,,,,"['hlas', 'klavír', 'kytara', 'klávesy', 'akordeon']","[""Rockbjörnen for the century's Swedish group/artist"", 'Musikexportpriset']",,,0LcJLqbBmaGUft1e9Mm8HV,6059881.0
Abde,Q307786,True,Abdelhalim Hafez,Egyptian musician and actor,egyptský zpěvák a herec,člověk,"['Egyptská hudba', 'Arabská hudba']",1929,1977,1952,1977,,,muž,,Česko,['Egypt'],,,"['alt', 'hoboj', 'úd']",,,,,
Abraxas,Q3565031,True,Abraxas,Czech musical group; rock band,česká rocková skupina,hudební skupina,,,,1976,,1976,,,Praha,Česko,,,,,,,,,
Absolonová,Q3508501,True,Monika Absolonová,Czech singer and actress,česká zpěvačka a herečka,člověk,,1976,,1993,,,,žena,Benešov,Česko,['Česko'],,,['hlas'],,,,,
Ac,Q81292,True,acre,unit of area,jednotka plochy,jednotka plochy,,,,,,,,,,Česko,,,,,,,,,
Accept,Q25507,True,Accept,German heavy metal band,německá heavymetalová skupina,heavy metal band,"['speed metal', 'power metal', 'heavy metal']",,,1976,,1968,,,Solingen,Německo,,,,,,,,3JDIAtVrJdQ7GFOX26LYpv,
Acraze,Q109626428,True,Acraze,American DJ and music producer,,člověk,['house music'],1995,,,,,,muž,Staten Island,Spojené státy americké,['Spojené státy americké'],,,,,,,,
Action Bronson,Q2823641,True,Action Bronson,American rapper,americký raper,člověk,['hip hop'],1983,,2008,,,,muž,Flushing,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,['judaismus'],,7BMccF0hQFBpP6417k1OtQ,
Adam Lambert,Q190231,True,Adam Lambert,American singer,zpěvák a herec,člověk,"['pop music', 'pop rock', 'dance-pop', 'synthpop', 'elektronická hudba']",1982,,2001,,,,muž,Indianapolis,Spojené státy americké,['Spojené státy americké'],,['tenor'],['hlas'],,,"['homosexualita', 'gay']",6prmLEyn4LfHlD9NnXWlf7,
Adam Levine,Q219631,True,Adam Levine,American singer,americký zpěvák,člověk,"['pop rock', 'soul']",1979,,1994,,,,muž,Los Angeles,Spojené státy americké,['Spojené státy americké'],,['tenor'],"['kytara', 'hlas']",['Hvězda na Hollywoodském chodníku slávy'],,,4bYPcJP5jwMhSivRcqie2n,
Adam Mišík,Q10379771,True,Adam Mišík,"Czech dubbing actor, guitarist and singer","český zpěvák, kytarista a herec",člověk,,1997,,2005,,,,muž,Praha,Česko,['Česko'],,,['hlas'],,,,,
Adam Ďurica,Q16515468,True,Adam Ďurica,Slovak musician,,člověk,,1987,,2002,,,,muž,Nitra,Slovensko,['Slovensko'],,,['hlas'],['Krištáľové krídlo'],,,,
Adele,Q23215,True,Adele,English singer-songwriter (born 1988),britská zpěvačka a skladatelka,člověk,"['pop music', 'bílý soul', 'rhythm and blues', 'soul', 'jazz', 'rock']",1988,,2006,,,,žena,Tottenham,Spojené království,['Spojené království'],,['mezzosoprán'],"['kytara', 'klavír', 'bicí souprava', 'basová kytara', 'trubka', 'viola', 'hlas']","['člen Řádu britského impéria', 'Cena Grammy pro nejlepšího nového umělce', 'Oscar za nejlepší filmovou píseň', 'Cena Grammy za nejlepší popový sólový výkon', 'Cena Grammy za nahrávku roku', 'Zlatý glóbus za nejlepší filmovou píseň', 'Cena Grammy za album roku', 'Brit Award for British Female Solo Artist', 'Cena Grammy za nejlepší ženský popový vokální výkon', 'Cena Grammy za album roku', 'Cena Grammy za nejlepší popové vokální album', 'Cena Grammy za nejlepší hudební video', 'Cena Grammy za píseň roku', 'Cena Grammy za nejlepší popový sólový výkon', 'Cena Grammy za nejlepší píseň k filmu, pro televizi či jiné vizuální médium', 'Cena Grammy za nejlepší popové vokální album', 'Cena Grammy za nahrávku roku', 'Cena Grammy za píseň roku', 'Cena Grammy za nejlepší popový sólový výkon', 'Premios Odeón', 'Time 100', 'Diamond Play Button']",,,4dpARuHxo51G3z768sgnrY,
Adonxs,Q110254884,True,ADONXS,"Slovak singer-songwriter, model and dancer","slovenský zpěvák-skladatel, model a tanečník",člověk,"['barokní pop', 'alternative pop', 'Avant-pop', 'dark ambient', 'indie pop', 'chamber pop', 'pop music', 'synthpop']",1995,,2015,,,,muž,Myjava,Slovensko,,,['basso profondo'],"['klavír', 'hlas', 'klávesový nástroj']","['Forbes 30 Under 30', 'Hudební ceny Evropy 2']",,['homosexualita'],2Wipb14FDfbuu8b8LWpiNM,
Aerosmith,Q126826,True,Aerosmith,American rock band,americká rocková skupina,rocková hudební skupina,"['hard rock', 'blues rock', 'glam rock', 'rock and roll', 'klasický heavy metal', 'heavy metal']",,,1970,,1969,,,Boston,Spojené státy americké,,,,,['Rock and Roll Hall of Fame'],,,7Ey4PD4MYsKc5I2dolUwbH,
Afrojack,Q349041,True,Afrojack,Dutch DJ and record producer,,člověk,"['electro house', 'progressive house', 'Dutch house']",1987,,2006,,,,muž,Spijkenisse,Nizozemsko,['Nizozemské království'],,,,['Zilveren Harp'],,,4D75GcNG95ebPtNvoNVXhz,
Agnes,Q394431,True,Agnes,female given name,ženské křestní jméno,ženské rodné jméno,,,,,,,,,,Česko,,,,,,,,,
Ajr,Q1430874,True,Arvidsjaur Airport,airport,,letiště,,,,,,1990,,,,Česko,,,,,,,,,
Akon,Q32849,True,Akon,"Senegalese singer, songwriter, rapper, record producer, and entrepreneur",senegalsko-americký zpěvák R&B,člověk,"['contemporary R&B', 'hip hop', 'pop music', 'pop rap', 'dancehall', 'reggae']",1973,,1996,,,,muž,Saint-Louis,Senegal,['Senegal'],,,"['hlas', 'klávesový nástroj', 'syntezátor', 'bicí souprava']",,['muslim'],,0z4gvV4rjIZ9wHck67ucSV,
Alan Walker,Q21808729,True,Alan Walker,Norwegian DJ and music producer,britsko-norský hudební producent a DJ,člověk,"['progressive house', 'elektronická taneční hudba', 'electro house', 'deep house']",1997,,2012,,,,muž,Northampton,Spojené království,"['Norsko', 'Spojené království']",,,"['syntezátor', 'digital audio workstation']",['Diamond Play Button'],,,7vk5e3vY1uw9plTHJAMwjN,
Alanis Morissette,Q130742,True,Alanis Morissette,Canadian-American singer (born 1974),"kanadsko-americká zpěvačka, textařka, skladatelka a hudební producentka",člověk,"['alternativní rock', 'rock', 'experimentální rock', 'pop rock', 'pop music', 'post-grunge', 'dance-pop', 'electronica', 'progresivní rock']",1974,,1991,,,,žena,Ottawa,Kanada,"['Kanada', 'Spojené státy americké']",['Canadian Americans'],['mezzosoprán'],"['kytara', 'flétna', 'harmonika', 'klavír', 'hlas']","['Grammy Award for Best Female Rock Vocal Performance', 'Cena Grammy za nejlepší rockovou píseň', 'Cena Grammy za album roku', 'Cena Grammy za nejlepší rockové roku', 'Nejlepší ženský videoklip', 'Juno Award for Rock Album of the Year', 'Juno Award for Album of the Year', 'BRIT Award for International Breakthrough Act', 'MTV Video Music Award for Best Editing', 'Juno Award for Songwriter of the Year', 'Juno Award for Single of the Year', 'Cena MTV Video Music za nejlepšího nového umělce', 'MTV Europe Music Award pro nejlepší zpěvačku', 'American Music Award for Favorite Pop/Rock Female Artist', 'Juno Award for Songwriter of the Year', 'American Music Award for Favorite Pop/Rock Album', 'Juno International Achievement Award', 'Juno Award for Songwriter of the Year', 'Juno Award for Single of the Year', 'Cena Grammy za nejlepší hudební film', 'Grammy Award for Best Female Rock Vocal Performance', 'Cena Grammy za nejlepší rockovou píseň', 'Juno Award for Album of the Year', 'Juno Award for Video of the Year', 'Jack Richardson Producer of the Year Award', 'Juno Award for Pop Album of the Year', 'Canadian Music Hall of Fame', 'Kanadský chodník slávy']","['buddhismus', 'katolicismus']",['heterosexualita'],6ogn9necmbUdCppmNnGOdi,
Alec Benjamin,Q19560068,True,Alec Benjamin,American singer-songwriter,,člověk,['pop music'],1994,,2013,,,,muž,Phoenix,Spojené státy americké,['Spojené státy americké'],,,"['hlas', 'kytara', 'klavír']",,,,5IH6FPUwQTxPSXurCrcIov,
Alesha Dixon,Q19182,True,Alesha Dixon,"British singer, rapper and dancer",britská zpěvačka a tanečnice,člověk,['pop music'],1978,,1999,,,,žena,Welwyn Garden City,Spojené království,['Spojené království'],,,['hlas'],,,,5jLwURKdEPDvuYnac74s9c,
Alessandra,Q4960889,True,Alessandra,female given name,ženské křestní jméno,ženské rodné jméno,,,,,,,,,,Česko,,,,,,,,,
Alessia Cara,Q20090091,True,Alessia Cara,Canadian-Italian singer and songwriter,kanadská zpěvačka,člověk,"['contemporary R&B', 'indie pop', 'pop music', 'soul', 'alternativní R&B']",1996,,2014,,,,žena,Mississauga,Kanada,"['Itálie', 'Kanada']",,['soprán'],"['kytara', 'ukulele', 'hlas', 'klávesový nástroj', 'klavír']",['Cena Grammy pro nejlepšího nového umělce'],"['matrikový katolík', 'theist']",,2wUjUUtkb5lvLKcGKsKqsR,
Alesso,Q965455,True,Alesso,Swedish DJ and music producer,,člověk,['house music'],1991,,2010,,,,muž,Stockholm,Švédsko,['Švédsko'],,,['klávesy'],,,,4AVFqumd2ogHFlRbKIjp1t,
Alex C.,Q61986,True,Alex Christensen,"German composer, producer, and DJ","německý hudební producent, DJ, zpěvák a skladatel taneční hudby",člověk,['electronica'],1967,,1991,,,,muž,Hamburk,Německo,['Německo'],,,['hlas'],,,,,
