interpret_hlavni,id,stazeno,nazev_wiki,popis_en,popis_cs,velikost,zanry,datum_narozeni,datum_umrti,zacatek_pusobeni,konec_pusobeni,zalozeni,zanik,gender,misto_puvodu,zeme_puvodu,obcanstvi,etnicita,hlas,nastroje,oceneni,nabozenstvi,orientace,spotify_id,spotify_odberatele
Marek Ztracený,Q3551937,True,Marek Ztracený,Czech singer and composer,český zpěvák a skladatel,člověk,,+1985-02-26T00:00:00Z,,+2008-00-00T00:00:00Z,,,,muž,Železná Ruda,Česko,,,,"['klavír', 'hlas']",,,,7s4NiavZ071gzNghPJVmUu,
Divokej Bill,Q2599880,True,Divokej Bill,Czech folk rock band,česká hudební skupina,hudební skupina,,,,+1998-00-00T00:00:00Z,,,,,,,,,,,,,,,
Xindl X,Q2598276,True,Xindl X,"Czech composer, guitarist, scriptwriter and singer","český hudební skladatel, kytarista, scenárista a zpěvák",člověk,['pop music'],+1979-08-16T00:00:00Z,,+2008-00-00T00:00:00Z,,,,muž,Praha,Česko,['Česko'],,,['kytara'],,,,,
Onerepublic,Q1438730,True,OneRepublic,American pop rock band,americká pop-rocková kapela,hudební skupina,"['pop rock', 'alternativní rock', 'cello rock']",,,+2002-00-00T00:00:00Z,,+2009-00-00T00:00:00Z,,,Colorado Springs,Spojené státy americké,,,,,,,,5Pwc4xIPtQLFEnJriah9YJ,
Tomáš Klus,Q1385173,True,Tomáš Klus,"Czech actor, pentathlete and singer","český herec, moderní pětibojař a zpěvák",člověk,"['pop music', 'folk pop', 'akustická hudba', 'folk rock']",+1986-05-15T00:00:00Z,,+2007-00-00T00:00:00Z,,,,muž,Třinec,Česko,['Česko'],,,['kytara'],"['Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku']",,,,
Rihanna,Q36844,True,Rihanna,Barbadian singer and actress (born 1988),barbadosko-americká zpěvačka a herečka,člověk,"['taneční hudba', 'contemporary R&B', 'pop music', 'reggae', 'hip hop', 'elektronická taneční hudba']",+1988-02-20T00:00:00Z,,+2005-00-00T00:00:00Z,,,,žena,Saint Michael,Barbados,['Barbados'],,['mezzosoprán'],['hlas'],"['Grammy Award for Best Rap/Sung Collaboration', 'American Music Award for Icon', 'Grammy Award for Best Urban Contemporary Album', 'Humanitář roku', 'Cena Grammy za nejlepší taneční nahrávku', 'Grammy Award for Best Rap/Sung Collaboration', 'Cena Grammy za nejlepší rapovou píseň', 'Grammy Award for Best Rap/Sung Collaboration', 'Cena Grammy za nejlepší hudební video', 'Grammy Award for Best Rap/Sung Collaboration', 'Grammy Award for Best Rap/Sung Collaboration', 'Brit Award pro sólovou umělkyni', 'Brit Award pro sólovou umělkyni', 'Time 100']",,,5pKCCKE2ajJHZ9KAiaK11H,
Mandrage,Q602203,True,Mandrage,Czech pop rock band,česká hudební skupina,hudební skupina,['rock'],,,+2004-00-00T00:00:00Z,+2020-00-00T00:00:00Z,+2004-00-00T00:00:00Z,,,Plzeň,Česko,,,,,['Cena Anděl Skupina roku'],,,,
Avril Lavigne,Q30449,True,Avril Lavigne,Canadian singer (born 1984),kanadská zpěvačka,člověk,"['alternativní rock', 'pop punk', 'pop rock', 'post-grunge', 'soft rock']",+1984-09-27T00:00:00Z,,+1999-00-00T00:00:00Z,,,,žena,Belleville,Kanada,"['Kanada', 'Francie']",,['light-lyric soprano'],"['kytara', 'hlas', 'klavír', 'bicí souprava']","['Juno Fan Choice', 'Juno Fan Choice', 'Premios Oye!']",,,0p4nmQO2msCgU4IF37Wi3j,
Katy Perry,Q42493,True,Katy Perry,"American singer, songwriter, actress and television personality (1984)","americká zpěvačka, textařka a hudebnice",člověk,"['pop music', 'rock', 'pop rock', 'taneční hudba', 'synthpop', 'elektropop', 'gospel']",+1984-10-25T00:00:00Z,,+2001-00-00T00:00:00Z,,,,žena,Santa Barbara,Spojené státy americké,['Spojené státy americké'],,,"['kytara', 'hlas', 'klavír']","['Billboard Music Award for Top Hot 100 Artist', 'Billboard Music Award for Spotlight', 'Billboard Music Award for Top Female Artist', 'Special Achievement Award', 'American Music Award for Favorite Pop/Rock Female Artist', 'American Music Award for Favorite Pop/Rock Female Artist', 'Favorite Adult Contemporary New Artist', 'American Music Award for Single of the Year', 'Brit Award pro sólovou umělkyni', 'Juno Award za mezinárodní album roku', 'Videoklip roku', 'MTV Video Music Award for Best Collaboration', 'Cena MTV za nejlepší uměleckou režii', 'Nejlepší ženský videoklip']",,"['neheterosexualita', 'fluidní sexualita']",6jJ0s89eD6GaHleKKya26X,
Linkin Park,Q261,True,Linkin Park,American rock band,americká rocková skupina,rocková hudební skupina,"['hip hop', 'alternativní metal', 'nu metal', 'alternativní rock', 'rock', 'heavy metal', 'pop rock', 'pop music', 'elektropop', 'rap rock', 'synth rock', 'rap metal']",,,+1996-00-00T00:00:00Z,,+1996-01-01T00:00:00Z,,,Agoura Hills,Spojené státy americké,,,,,"['Grammy Award for Best Rap/Sung Collaboration', 'Grammy Award for Best Rap/Sung Collaboration', 'MTV Europe Music Award for Best Group', 'MTV Europe Music Award for Best Group', 'MTV Europe Music Award za nejlepší World Stage', 'MTV Europe Music Award za nejlepší World Stage', 'MTV Europe Music Award za nejlepší LIVE', ""MTV Video Music Award – Viewer's Choice"", 'MTV Europe Music Award for Best Hard Rock', 'MTV Video Music Award for Best Rock Video', 'MTV Video Music Award for Best Rock Video', 'MTV Video Music Award for Best Rock Video', 'MTV Europe Music Award za nejlepší Rock', 'MTV Europe Music Award za nejlepší Rock', 'MTV Europe Music Award za nejlepší Rock', 'American Music Award for Favorite Alternative Rock Artist', 'American Music Award for Favorite Alternative Rock Artist', 'American Music Award for Favorite Alternative Rock Artist', 'American Music Award for Favorite Alternative Rock Artist', 'American Music Award for Favorite Alternative Rock Artist', 'Grammy Award for Best Hard Rock Performance', 'Grammy Award for Best Rap/Sung Collaboration', 'Mnet Asian Music Award for Best International Artist']",,,6XyY86QOPPrYVGvF9ch6wz,
Jason Derulo,Q243639,True,Jason Derulo,"American singer-songwriter, dancer and actor","americký zpěvák, skladatel a tanečník",člověk,"['pop music', 'rhythm and blues', 'contemporary R&B', 'hip hop']",+1989-09-21T00:00:00Z,,+2006-00-00T00:00:00Z,,,,muž,Miramar,Spojené státy americké,['Spojené státy americké'],,['tenor'],"['klavír', 'hlas']",['Teen Choice Awards'],,,07YZf4WDAMNwqr4jfgOZ8y,
Avicii,Q505476,True,Avicii,Swedish DJ and record producer (1989–2018),hudební interpret s původem ze Švédska,člověk,"['elektronická taneční hudba', 'progressive house', 'electro house']",+1989-09-08T00:00:00Z,+2018-04-20T00:00:00Z,+2006-00-00T00:00:00Z,+2018-00-00T00:00:00Z,,,muž,Stockholm,Švédsko,['Švédsko'],,,"['klávesový nástroj', 'kytara', 'klavír', 'syntezátor', 'FL Studio', 'Logic Pro']","['American Music Awards', 'Billboard Music Award', 'MTV Europe Music Awards', 'Teen Choice Awards', 'World Music Awards', 'Platinová kytara', 'Musikexportpriset']",,,1vCWHaC5f2uS3yhpwWbIA6,
Enrique Iglesias,Q47122,True,Enrique Iglesias,Spanish singer,španělský zpěvák,člověk,"['pop music', 'Latin pop', 'rhythm and blues', 'pop rock']",+1975-05-08T00:00:00Z,,+1995-00-00T00:00:00Z,,,,muž,Madrid,Španělsko,['Španělsko'],,,"['kytara', 'klavír', 'elektrická kytara']","['Latin Grammy Award for Best Urban Fusion/Performance', 'Cena Grammy za nejlepší latinské popové album', 'Latin Grammy Award for Best Male Pop Vocal Album', 'MTV Europe Music Award for Best Spanish Act', 'Řád za kulturní zásluhy', 'Cena Latin Grammy za píseň roku', 'Latin Grammy Award for Best Urban Fusion/Performance', 'Latin Grammy Award for Best Urban Song']",,,7qG3b048QCHVRO5Pv1T5lw,
Mariah Carey,Q41076,True,Mariah Carey,American singer and songwriter (born 1969),americká zpěvačka,člověk,"['contemporary R&B', 'pop music', 'hip hop', 'soul']",+1970-03-27T00:00:00Z,,+1989-00-00T00:00:00Z,,,,žena,Huntington,Spojené státy americké,['Spojené státy americké'],['Afroameričané'],['koloraturní soprán'],"['klavír', 'hlas']","['Cena Grammy pro nejlepšího nového umělce', 'Cena Grammy za nejlepší ženský popový vokální výkon', 'Grammy Award for Best Contemporary R&B Album', 'Grammy cena pro nejlepší R&B píseň', 'Grammy Award for Best Female R&B Vocal Performance', 'Golden Raspberry Award for Worst Actress', 'American Music Award', 'American Music Award for Favorite Pop/Rock Female Artist', 'American Music Award for Favorite Adult Contemporary Album', 'American Music Award for Favorite Pop/Rock Female Artist', 'American Music Award for Favorite Pop/Rock Female Artist', 'American Music Award', 'American Music Award', 'American Music Award', 'Hvězda na Hollywoodském chodníku slávy', 'ARIA Music Awards', 'MTV Europe Music Award pro nejlepší zpěvačku', 'MTV Europe Music Award for Best R&B', 'Boston Society of Film Critics Awards', 'Blockbuster Entertainment Awards', 'Golden Raspberry Award for Worst Actress', 'Billboard Music Award for Top Female Artist']",,,4iHNK0tOyZPYnBU7nGAgpQ,
Eminem,Q5608,True,Eminem,"American rapper, record producer and actor (born 1972)","americký rapper, producent a herec",člověk,"['hip hop', 'hardcore hip hop', 'rap', 'Horrorcore']",+1972-10-17T00:00:00Z,,+1988-00-00T00:00:00Z,,,,muž,St. Joseph,Spojené státy americké,['Spojené státy americké'],,['tenor'],['hlas'],"['Grammy Award for Best Rap/Sung Collaboration', 'Grammy Award for Best Rap Album', 'Oscar za nejlepší filmovou píseň']",['křesťanství'],,7dGJo4pcD2V6oG8kP0tJRR,
David Deyl,Q5621211,True,David Deyl,Czech singer,český zpěvák,člověk,['populární hudba'],+1983-12-26T00:00:00Z,,+2009-00-00T00:00:00Z,,,,muž,Ústí nad Labem,Česko,['Česko'],,,"['hlas', 'klavír']",,,,45wXr8PmzHILTywJbDGdXE,
Taylor Swift,Q26876,True,Taylor Swift,American singer-songwriter (born 1989),americká zpěvačka a herečka,člověk,"['country', 'pop rock', 'pop music', 'country pop', 'synthpop', 'indie folk']",+1989-12-13T00:00:00Z,,+2006-00-00T00:00:00Z,,,,žena,West Reading,Spojené státy americké,['Spojené státy americké'],,['mezzosoprán'],"['banjo', 'kytara', 'klavír', 'ukulele', 'hlas', 'buben', 'elektrická kytara', 'akustická kytara', 'pianino']","['Dick Clark Award for Excellence', 'Nejlepší ženský videoklip', 'American Music Award for Favorite Country Female Artist', 'Umělec roku', 'American Music Award for Favorite Pop/Rock Female Artist', 'American Music Award for Favorite Country Female Artist', 'Favorite Adult Contemporary New Artist', 'American Music Award for Favorite Country Album', 'American Music Award for Favorite Country Female Artist', 'American Music Award for Favorite Country Female Artist', 'Umělec roku', 'American Music Award for Favorite Country Album', 'American Music Award for Favorite Country Female Artist', 'American Music Award for Favorite Country Female Artist', 'Umělec roku', 'American Music Award for Favorite Pop/Rock Female Artist', 'American Music Award for Favorite Country Album', 'Favorite Adult Contemporary New Artist', 'American Music Award for Favorite Pop/Rock Album', 'American Music Award for Single of the Year', 'Umělec roku', 'American Music Award for Favorite Pop/Rock Female Artist', 'American Music Award for Favorite Pop/Rock Album', 'American Music Award for Tour of the Year', 'Umělec roku', 'American Music Award for Favorite Pop/Rock Female Artist', 'Favorite Adult Contemporary New Artist', 'American Music Award for Video of the Year', 'American Music Award for Favorite Pop/Rock Album', 'Brit Award pro sólovou umělkyni', 'Cena Grammy za album roku', 'Grammy Award for Best Country Album', 'Cena Grammy za nejlepší ženský pěvecký country výkon', 'Grammy Award for Best Country Song', 'Cena Grammy za nejlepší country sólo', 'Grammy Award for Best Country Song', 'Cena Grammy za nejlepší píseň k filmu, pro televizi či jiné vizuální médium', 'Cena Grammy za album roku', 'Cena Grammy za nejlepší popové vokální album', 'Cena Grammy za nejlepší hudební video', 'Nejlepší ženský videoklip', 'Nejlepší ženský videoklip', 'MTV Video Music Award for Best Pop Video', 'Videoklip roku', 'MTV Video Music Award for Best Collaboration', 'MTV Video Music Award for Best Collaboration', 'Videoklip roku', 'MTV Video Music Award for Best Video with a Social Message', 'Cena MTV Video Music za nejlepší vizuální efekty', 'list of awards and nominations received by Taylor Swift', 'Umělec roku', 'Billboard 21 Under 21']",['křesťanství'],,06HL4z0CvFAxyc27GXpf02,
Karel Gott,Q333187,True,Karel Gott,Czech singer and actor,český zpěvák,člověk,"['pop music', 'šanson', 'romance', 'estráda']",+1939-07-14T00:00:00Z,+2019-10-01T00:00:00Z,+1958-00-00T00:00:00Z,+2019-00-00T00:00:00Z,,,muž,Plzeň,Česko,"['Československo', 'Česko']",,['tenor'],"['kytara', 'hlas']","['národní umělec', 'medaile Za zásluhy', 'Bludný balvan', 'Řád přátelství mezi národy', 'Dvorana slávy Plzeňského kraje', 'Český slavík Mattoni 2016', 'Čestné občanství města Plzně', 'Zlatá ladička', 'Zlatá ladička', 'Zlatá ladička', 'Řád Bílého lva']",,,4zaslnpNr10iUFJGx0XqpM,
Calvin Harris,Q81637,True,Calvin Harris,"British DJ, singer and record producer",Skotský DJ a zpěvák,člověk,"['elektropop', 'electro house', 'synthpop', 'dance-pop', 'nu-disco', 'progressive house']",+1984-01-17T00:00:00Z,,+2001-00-00T00:00:00Z,,,,muž,Dumfries,Spojené království,['Skotsko'],,,"['syntezátor', 'hlas', 'basová kytara', 'klavír', 'kytara']",,,,7CajNmpbOovFoOoasH2HaY,
Dan Bárta,Q11774157,True,Dan Bárta,Czech singer,český zpěvák a amatérský fotograf,člověk,['jazz'],+1969-12-14T00:00:00Z,,+1990-00-00T00:00:00Z,,,,muž,Karlovy Vary,Česko,['Česko'],,,['hlas'],"['Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku']",,,,
Václav Neckář,Q475090,True,Václav Neckář,Czech actor and singer,český zpěvák a herec,člověk,['pop music'],+1943-10-23T00:00:00Z,,+1966-00-00T00:00:00Z,,,,muž,Praha,Česko,"['Česko', 'Československo']",,,['hlas'],['zasloužilý umělec'],,,,
Miley Cyrus,Q4235,True,Miley Cyrus,"American singer, actress, and television personality (born 1992)","americká herečka, zpěvačka a textařka",člověk,"['pop music', 'country', 'pop rock', 'dance-pop', 'elektropop', 'rock', 'hip hop', 'teen pop', 'country pop']",+1992-11-23T00:00:00Z,,+2001-00-00T00:00:00Z,,,,genderfluid,Nashville,Spojené státy americké,['Spojené státy americké'],,"['mezzosoprán', 'alt']","['elektrická kytara', 'akustická kytara', 'klavír', 'hlas']",['Time 100'],,['pansexualita'],5YGY8feqx7naU7z4HrwZM6,
Ed Sheeran,Q47447,True,Ed Sheeran,English singer-songwriter,anglický zpěvák a textař,člověk,"['lidová hudba', 'folk pop', 'pop music', 'folk', 'hip hop', 'rap']",+1991-02-17T00:00:00Z,,+2004-00-00T00:00:00Z,,,,muž,Halifax,Spojené království,['Spojené království'],,['tenor'],"['kytara', 'hlas', 'live looper']","['Cena Grammy za nejlepší popový sólový výkon', 'Favorite Pop/Rock Male Artist', 'Brit Award for British Breakthrough Act', 'Brit Award for British Male Solo Artist', 'Brit Award for British Male Solo Artist', 'Brit Award for British Album of the Year', 'BRIT Awards', 'BRIT Awards', 'Cena Grammy za píseň roku', 'Cena Grammy za nejlepší popový sólový výkon', 'Cena Grammy za nejlepší popové vokální album', 'člen Řádu britského impéria', 'MTV Europe Music Award za nejlepší píseň', 'MTV Europe Music Award for Best Artist', 'Cena Echo Pop za hit roku', 'Diamond Play Button']",,,6eUKZXaKkcviH0Ku9w2n3V,
Olga Lounová,Q12042533,True,Olga Lounova,"Czech actress, singer and car racer","česká herečka, zpěvačka a automobilová závodnice",člověk,['pop music'],+1981-03-07T00:00:00Z,,+2010-00-00T00:00:00Z,,,,žena,Liberec,Česko,['Česko'],,,,,,,54QmrKYac7fH0EHiTX8oyg,
Sunrise Avenue,Q751775,True,Sunrise Avenue,Finnish rock band,hudební skupina,hudební skupina,"['alternativní rock', 'pop rock']",,,+2002-00-00T00:00:00Z,+2022-00-00T00:00:00Z,+2002-00-00T00:00:00Z,+2022-00-00T00:00:00Z,,Helsinky,Finsko,,,,,,,,1osZFzamKEXNoYk7HzWbDe,
Green Day,Q47871,True,Green Day,American rock band,americká rocková skupina,rocková hudební skupina,"['pop punk', 'alternativní rock', 'punk rock', 'rock']",,,+1986-00-00T00:00:00Z,,+1987-01-01T00:00:00Z,,,Kalifornie,Spojené státy americké,,,,,['Rock and Roll Hall of Fame'],,,7oPftvlwr6VrsViSDV7fJY,
Imagine Dragons,Q391348,True,Imagine Dragons,American pop rock band,americká hudební skupina,rocková hudební skupina,"['pop rock', 'elektropop', 'alternativní rock', 'nová vlna']",,,+2008-00-00T00:00:00Z,,+2008-00-00T00:00:00Z,,,Las Vegas,Spojené státy americké,,,,,"['American Music Awards of 2013', 'Billboard Music Award', 'Grammy Award', 'Swiss Music Awards 2015', ""The Center's Honorarium Honorees""]",,,53XhwfbYqKCa1cC15pYq2q,
Janek Ledecký,Q12023485,True,Janek Ledecký,Czech guitarist and singer,český kytarista a zpěvák,člověk,,+1962-07-27T00:00:00Z,,+1981-00-00T00:00:00Z,,,,muž,Praha,Česko,['Česko'],,,['hlas'],['Cena Anděl Sólový interpret roku'],,,79bOGlqgcX5k0XF1giVvNO,
Ellie Goulding,Q31164,True,Ellie Goulding,English singer and songwriter,anglická popová zpěvačka,člověk,"['synthpop', 'elektropop', 'indie pop', 'folktronica', 'alternativní rock', 'alternativní hudba', 'dream pop', 'indietronica']",+1986-12-30T00:00:00Z,,+2009-00-00T00:00:00Z,,,,žena,Hereford,Spojené království,['Spojené království'],,['soprán'],"['hlas', 'kytara', 'klavír', 'klarinet', 'mandolína', 'tamburína', 'buben']",,,,0X2BH1fck6amBIoJhDVmmJ,
Ben Cristovao,Q11068745,True,Ben Cristovao,"Czech actor, presenter, snowboarder, dancer and singer","český herec, moderátor, snowboardista, tanečník a zpěvák",člověk,,+1987-06-08T00:00:00Z,,+2009-00-00T00:00:00Z,,,,muž,Plzeň,Česko,['Česko'],,,['hlas'],,,,1bpca6RQE5kp92pIwPMBE8,
Wham!,Q744087,True,Wham!,English pop duo,anglická hudební skupina,hudební duo,"['pop music', 'nová vlna', 'bílý soul']",,,+1980-00-00T00:00:00Z,,+1981-00-00T00:00:00Z,,,Bushey,Spojené království,,,,,,,,5lpH0xAS4fVfLkACg9DAuM,
Black Eyed Peas,Q134541,True,Black Eyed Peas,American hip hop group from California,americká hudební skupina,hudební skupina,"['alternativní hip-hop', 'pop rap', 'hip hop', 'pop music', 'Latin hip hop']",,,+1995-00-00T00:00:00Z,,+1995-00-00T00:00:00Z,,,Los Angeles,Spojené státy americké,,,,,,,,1yxSLGMDHlW21z4YXirZDS,
Lana Del Rey,Q37150,True,Lana Del Rey,American singer (born 1985),americká zpěvačka a hudební skladatelka,člověk,"['indie pop', 'barokní pop', 'Trip hop', 'sadcore', 'dream pop', 'indie rock', 'Slowcore', 'psychedelický rock', 'psychedelický pop', 'rock', 'rhythm and blues']",+1985-06-21T00:00:00Z,,+2005-00-00T00:00:00Z,,,,žena,New York,Spojené státy americké,['Spojené státy americké'],,['mezzosoprán'],"['kytara', 'hlas']",,,,00FQb4jTyendYWaN8pK0wa,
