interpret_hlavni,id,stazeno,nazev_wiki,popis_en,popis_cs,velikost,zanry,datum_narozeni,datum_umrti,zacatek_pusobeni,konec_pusobeni,zalozeni,zanik,gender,misto_puvodu,zeme_puvodu,obcanstvi,etnicita,hlas,nastroje,oceneni,nabozenstvi,orientace,spotify_id,spotify_odberatele
Michal Hrůza,Q12036727,True,Michal Hrůza,Czech singer,český zpěvák,člověk,"['tradiční pop', 'rock']",+1971-08-31T00:00:00Z,,+1986-00-00T00:00:00Z,,,,muž,Turnov,Česko,['Česko'],,,"['kytara', 'hlas']",['Cena Anděl Sólový interpret roku'],,,,
Chinaski,Q2041483,True,Chinaski,Czech pop/rock band,česká hudební skupina,hudební skupina,['pop rock'],,,+1987-00-00T00:00:00Z,,+1987-00-00T00:00:00Z,,,,,,,,,"['Cena Anděl Skupina roku', 'Cena Anděl Skupina roku', 'Cena Anděl Skupina roku']",,,,
P!Nk,Q160009,True,P!nk,US-American singer and songwriter,,člověk,"['pop music', 'pop rock', 'contemporary R&B']",+1979-09-08T00:00:00Z,,+1995-00-00T00:00:00Z,,,,žena,Doylestown,Spojené státy americké,['Spojené státy americké'],,,['hlas'],"['Amadeus Austrian Music Awards', 'Grammy Award for Best Female Rock Vocal Performance', 'Brit Award pro sólovou umělkyni', 'Daytime Emmy Award', 'Videoklip roku', 'Grammy Award for Best Pop Collaboration with Vocals', 'Grammy Award for Best Pop Collaboration with Vocals', 'Nejlepší videoklip z filmu', 'Nejlepší ženský videoklip', 'MTV Video Music Award for Best Dance Video', 'MTV Video Music Award for Best Pop Video', 'MTV Video Music Award for Best Collaboration', 'MTV Video Vanguard Award', 'Billboard Music Award', 'Billboard Music Award', 'Billboard Music Award', 'Billboard Music Award', 'Brit Award for Outstanding Contribution to Music', 'Hvězda na Hollywoodském chodníku slávy']",,,1KCSPY1glIKqW2TotWuXOR,
Coldplay,Q45188,True,Coldplay,British rock band,britská kapela,hudební skupina,"['alternativní rock', 'pop rock', 'pop music', 'alternative pop', 'soft rock', 'Post-Britpop']",,,+1997-00-00T00:00:00Z,,+1997-00-00T00:00:00Z,,,Londýn,Římská říše,,,,,,,,4gzpq5DPGxSnKTe4SA8HAU,
Miro Žbirka,Q3509359,True,Miroslav Žbirka,Slovak musician (1952–2021),slovenský hudební skladatel a zpěvák,člověk,['pop rock'],+1952-10-21T00:00:00Z,+2021-11-10T00:00:00Z,+1969-00-00T00:00:00Z,,,,muž,Bratislava,Slovensko,['Slovensko'],,,"['kytara', 'hlas']",,,,,
Support Lesbiens,Q1488112,True,Support Lesbiens,Czech rock band,česká hudební skupina,hudební skupina,['rock'],,,+1992-00-00T00:00:00Z,,+1992-00-00T00:00:00Z,,,,,,,,,"['Ceny Anděl 2015', 'Cena Anděl Skupina roku']",,,,
Ewa Farna,Q242302,True,Ewa Farna,Polish-Czech singer,polsko-česká zpěvačka,člověk,"['pop music', 'pop rock', 'indie pop', 'elektropop', 'independent music']",+1993-08-12T00:00:00Z,,+2006-00-00T00:00:00Z,,,,žena,Třinec,Česko,['Česko'],,,"['kytara', 'hlas']",['Cena Anděl Sólová interpretka roku'],['Slezská církev evangelická augsburského vyznání'],,,
David Guetta,Q8298,True,David Guetta,French DJ and record producer,francouzský DJ,člověk,"['French house', 'elektronická taneční hudba', 'progressive house', 'electro house', 'elektropop', 'dance-pop', 'hip hop', 'techno', 'future rave']",+1967-11-07T00:00:00Z,,+1986-00-00T00:00:00Z,,,,muž,Paříž,Francie,['Francie'],,,"['syntezátor', 'klávesový nástroj', 'klavír', 'digital audio workstation']","['rytíř Řádu umění a literatury', 'Grammy Award for Best Remixed Recording, Non-Classical', 'Grammy Award for Best Remixed Recording, Non-Classical', 'MTV Europe Music Award za nejlepší elektroniku', 'MTV Europe Music Award za nejlepší elektroniku']",,,1Cs0zKBU1kc0i8ypK3B9ai,
Kabát,Q938649,True,Kabát,Czech rock band,česká rocková skupina,heavy metal band,['hard rock'],,,+1983-00-00T00:00:00Z,,+1983-01-01T00:00:00Z,,,Teplice,Česko,,,,,"['Český slavík Mattoni 2016', 'Cena Anděl Skupina roku']",,,,
No Name,Q1264915,True,No Name,Montenegrin musical group; boyband,,hudební skupina,['folk pop'],,,+2003-00-00T00:00:00Z,,,,,,,,,,,,,,,
Lady Gaga,Q19848,True,Lady Gaga,"American singer, songwriter, and actress (born 1986)","americká popová zpěvačka, skladatelka, textařka, herečka a hudební producentka",člověk,"['elektropop', 'dance-pop', 'synthpop', 'elektronická taneční hudba', 'art pop', 'pop music']",+1986-03-28T00:00:00Z,,+2005-00-00T00:00:00Z,,,,žena,Nemocnice v Lenox Hill,Spojené státy americké,['Spojené státy americké'],"['Italoameričané', 'Frankokanaďan']",['mezzosoprán'],"['klavír', 'keytar', 'akustická kytara', 'elektrická kytara', 'syntezátor', 'kytara', 'bicí souprava', 'hlas']","['Cena MTV Video Music za nejlepšího nového umělce', 'Cena MTV za nejlepší uměleckou režii', 'Cena MTV Video Music za nejlepší vizuální efekty', 'Cena Grammy za nejlepší ženský popový vokální výkon', 'Cena Grammy za nejlepší hudební video', 'Videoklip roku', 'Cena Grammy za nejlepší tradiční popové vokální album', 'LennonOno Grant for Peace', 'Zlatý glóbus za nejlepší ženský herecký výkon v minisérii nebo TV filmu', 'Oscar za nejlepší filmovou píseň', 'Grammy Award for Best Dance/Electronic Album', 'Cena Grammy za nejlepší taneční nahrávku', 'Cena Grammy za nejlepší popové vokální album', 'Grammy Award for Best Pop Duo/Group Performance', 'Cena Grammy za nejlepší píseň k filmu, pro televizi či jiné vizuální médium', 'Cena Grammy za nejlepší popový sólový výkon', 'Zlatý glóbus za nejlepší filmovou píseň', 'American Music Award for Favorite Pop/Rock Female Artist', 'American Music Award for Favorite Pop/Rock Female Artist', 'BET Award for Video of the Year', 'Cena BAFTA za nejlepší filmovou hudbu', 'Nejlepší ženský videoklip', 'MTV Video Music Award for Best Pop Video', 'MTV Video Music Award for Best Dance Video', 'MTV Video Music Award for Best Choreography', 'MTV Video Music Award for Best Direction', 'MTV Video Music Award for Best Editing', 'MTV Video Music Award for Best Collaboration', 'Nejlepší ženský videoklip', 'MTV Video Music Award for Best Video with a Social Message', 'MTV Video Music Awards/Artist of the Year', 'MTV Europe Music Award for Best US Act', 'MTV Europe Music Award for Best Artist', 'Cena Echo Pop za hit roku', 'The Record of the Year']",['křesťanství'],['bisexualita'],1HY2Jd0NmPuamShAr6KMms,+20502345
Lucie Bílá,Q468282,True,Lucie Bílá,Czech singer and actress,česká zpěvačka,člověk,['pop music'],+1966-04-07T00:00:00Z,,+1985-00-00T00:00:00Z,,,,žena,Kladno,Česko,['Česko'],,['mezzosoprán'],['hlas'],"['medaile Za zásluhy', 'Zlatý David', 'Český slavík Mattoni 2016', 'Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku']",,,,
Maroon 5,Q182223,True,Maroon 5,American pop rock band,Americká pop-rocková skupina,hudební skupina,"['alternativní rock', 'funk rock', 'grunge', 'punk rock', 'pop rock']",,,+1994-00-00T00:00:00Z,,+1994-00-00T00:00:00Z,,,Los Angeles,Spojené státy americké,,,,,"['Cena Grammy pro nejlepšího nového umělce', 'MTV Europe Music Award pro nejlepšího nováčka']",,,04gDigrS5kc9YWfZHwBETP,
Lucie Vondráčková,Q2569624,True,Lucie Vondráčková,Czech singer and actress,"česká dabérka, herečka, zpěvačka a dětská herečka",člověk,['pop music'],+1980-03-08T00:00:00Z,,+1993-00-00T00:00:00Z,,,,žena,Praha,Česko,['Česko'],,,['hlas'],,,,,
