"Rok","Skupina","Zpěvák,"Zpěvačka","Objev","Track"
1995,"Buty","Kamil Střihavka","Lucie Bílá","Alice Springs","František"
1996,"Žlutý pes","Janek Ledecký","Iva Bittová","Colorfactory","Jsi můj pán"
1997,"Buty","Daniel Hůlka","Lucie Bílá","Daniel Hůlka","Dívám se dívám"
1998,"Lucie","Dan Bárta","Lucie Bílá","Sexy Dancers","Medvídek"
1999,"Buty","Dan Bárta","Anna K.","–123 min.","Nebe"
2000,"Monkey Business","Dan Bárta","Lenka Dusilová","Monkey Business","Nad stádem koní"
2001,"Čechomor","Dan Bárta","Helena Vondráčková","Kryštof","Proměny"
2002,"Support Lesbiens","Dan Bárta","Kateřina Winterová","Black Milk","Obchodník s deštěm"
2003,"Kabát","Dan Bárta","Radůza","Radůza","1970"
2004,"Tata Bojs","Dan Bárta","Aneta Langerová","Aneta Langerová","On My Head"
2005,"Chinaski","Petr Kolář","Lenka Dusilová","Clou","Island Sun"
2006,"Kryštof","Matěj Ruppert","Anna K.","Gipsy.cz","Rubikon"
2007,"Chinaski","Matěj Ruppert","Aneta Langerová","Markéta Irglová","Pěšáci"
2008,"Kryštof","Dan Bárta","Lenka Dusilová","Toxique","Atentát"
2009,"Monkey Business","Tomáš Klus","Ewa Farna","Charlie Straight","V bezvětří"
2010,"Nightwork","David Koller","Lucie Bílá","Republic of Two","Touch The Sun"
2011,"Mandrage","Tomáš Klus","Lenka Dusilová","Goodfellas","Půlnoční"
2012,"Kryštof","Vojtěch Dyk","Aneta Langerová","Zrní","Coco"
2013,"Bratři Orffové","Dan Bárta","Lenka Dusilová","Lenny","Cesta"
2014,"Chinaski","Michal Hrůza","Aneta Langerová","Jelen","Tráva"
2015,"Kryštof","David Koller","Barbora Poláková","Barbora Poláková","Nafrněná"
2016,"Jelen","Thom Artway","Lenny","Thom Artway","Hell.o"
2017,"J.A.R.","David Stypka","Debbi","Mirai","Zhublas"
2018,"Monkey Business","Miro Žbirka","Barbora Poláková","The Atavists","Nejlepší, kterou znám"
2019,"Mirai","Vladimír Mišík","Beata Hlavenková","Zvíře jménem Podzim","Jednou"
2020,"Tata Bojs","7krát3","Lenka Dusilová","Kateřina Marie Tichá","Vlákna"
2021,"Mirai","David Stypka","Ewa Farna","Annabelle","Farmářům"
2022,"Vypsaná Fixa","Miro Žbirka","Lenny","Calin","Nejsi sám"
