hitparada,rok,mesic,week,pozice,album,interpret,interpret_hlavni,vydavatel
SK - ALBUMS - TOP 100,2018,09,,20,"V rádiu hrál Elán, keď umrel ...",Pil C,Pil C,Comebackgang
SK - ALBUMS - TOP 100,2018,09,,21,Celým srdcom,Espe,Espe,Nan
SK - ALBUMS - TOP 100,2018,09,,22,WLK,Momo,Momo,Momo
SK - ALBUMS - TOP 100,2018,09,,23,Dezert,Kali,Kali,Kali Records
SK - ALBUMS - TOP 100,2018,09,,24,Yak Orol,Čis T,Čis T,Chop Down Records
SK - ALBUMS - TOP 100,2018,09,,25,Polet'iv by'm na kraj sveta,Štefan Štec,Štefan Štec,Nan
SK - ALBUMS - TOP 100,2018,09,,26,Swimming,Mac Miller,Mac Miller,Warner Music
SK - ALBUMS - TOP 100,2018,09,,27,Mar De Colores,Alvaro Soler,Alvaro Soler,Universal Music
SK - ALBUMS - TOP 100,2018,09,,28,Pancier,Separ,Separ,Dms Records
SK - ALBUMS - TOP 100,2018,09,,29,Femina,Sima,Sima,Gajlo Records
SK - ALBUMS - TOP 100,2018,09,,30,Kam ma zavolá,Heartbeat,Heartbeat,Nan
SK - ALBUMS - TOP 100,2018,09,,31,Pesničky pre (ne)poslušné deti,Miro Jaroš,Miro Jaroš,Galgan Music
SK - ALBUMS - TOP 100,2018,09,,32,Sbohem Roxano,Yzomandias,Yzomandias,Milion+ Ent
SK - ALBUMS - TOP 100,2018,09,,33,History,I.M.T.Smile,I.M.T.Smile,Universal Music
SK - ALBUMS - TOP 100,2018,09,,34,DAY69,6Ix9Ine,6Ix9Ine,Universal Music
SK - ALBUMS - TOP 100,2018,09,,35,Pesničky pre deti 6,Různí,Různí,Zune Trade
SK - ALBUMS - TOP 100,2018,09,,36,Čosi úsmevné,Dano Heriban,Dano Heriban,Hedart
SK - ALBUMS - TOP 100,2018,09,,37,Molekuly zvuku,Desmod,Desmod,Nan
SK - ALBUMS - TOP 100,2018,09,,38,Egypt Station,Paul Mccartney,Paul Mccartney,Universal Music
SK - ALBUMS - TOP 100,2018,09,,39,Neúprosný čas,Kollárovci,Kollárovci,Spinaker
SK - ALBUMS - TOP 100,2018,09,,40,Queen,Nicki Minaj,Nicki Minaj,Universal Music
SK - ALBUMS - TOP 100,2018,09,,41,"Dobrý deň, to som ja",Sima Martausová Band,Sima Martausová Band,Nan
SK - ALBUMS - TOP 100,2018,09,,42,Biele noci,Supa & Engerer,Supa,Ruka Hore
SK - ALBUMS - TOP 100,2018,09,,43,Bloom,Troye Sivan,Troye Sivan,Universal Music
SK - ALBUMS - TOP 100,2018,09,,44,TESTING,A$Ap Rocky,A$Ap Rocky,Sony Music
SK - ALBUMS - TOP 100,2018,09,,45,Krstný otec,Rytmus,Rytmus,Tvoj Tatko Records
SK - ALBUMS - TOP 100,2018,09,,46,Youngblood,5 Seconds Of Summer,5 Seconds Of Summer,Universal Music
SK - ALBUMS - TOP 100,2018,09,,47,Pustite Karola!,Horkýže Slíže,Horkýže Slíže,Spinaker
SK - ALBUMS - TOP 100,2018,09,,48,Kuk ani muk,Smejko a Tanculienka,Smejko,Spinaker
SK - ALBUMS - TOP 100,2018,09,,49,17,Xxxtentacion,Xxxtentacion,Bad Vibes Forever/Empire
SK - ALBUMS - TOP 100,2018,09,,50,AMERICA,Thirty Seconds To Mars,Thirty Seconds To Mars,Universal Music
SK - ALBUMS - TOP 100,2018,09,,51,Echo,Zuzana Smatanová,Zuzana Smatanová,Pandora Art
SK - ALBUMS - TOP 100,2018,09,,52,Platinum Collection,Horkýže Slíže,Horkýže Slíže,Warner Music
SK - ALBUMS - TOP 100,2018,09,,53,Memories...Do Not Open,Chainsmokers,Chainsmokers,Sony Music
SK - ALBUMS - TOP 100,2018,09,,54,Camila,Camila Cabello,Camila Cabello,Sony Music
SK - ALBUMS - TOP 100,2018,09,,55,Navždy,Kontrafakt,Kontrafakt,Universal Music
SK - ALBUMS - TOP 100,2018,09,,56,reputation,Taylor Swift,Taylor Swift,Universal Music
SK - ALBUMS - TOP 100,2018,09,,57,Alfa,Ektor,Ektor,Detektor/Universal Music
SK - ALBUMS - TOP 100,2018,09,,58,Best Of,Elán,Elán,Universal Music
SK - ALBUMS - TOP 100,2018,09,,59,Lavicka Pimpin',Gleb,Gleb,Fck Them
SK - ALBUMS - TOP 100,2018,09,,60,Beautiful Trauma,P!Nk,P!Nk,Sony Music
