hitparada,rok,mesic,week,pozice,album,interpret,interpret_hlavni,vydavatel
SK - ALBUMS - TOP 100,2017,07,,1,Pancier,Separ,Separ,Dms Records
SK - ALBUMS - TOP 100,2017,07,,2,ETC,Dara Rolins,Dara Rolins,Nan
SK - ALBUMS - TOP 100,2017,07,,3,÷ (Divide),Ed Sheeran,Ed Sheeran,Warner Music
SK - ALBUMS - TOP 100,2017,07,,4,Evolve,Imagine Dragons,Imagine Dragons,Universal Music
SK - ALBUMS - TOP 100,2017,07,,5,Sokoly,Kandráčovci,Kandráčovci,Forte Production
SK - ALBUMS - TOP 100,2017,07,,6,žžž,Kali,Kali,Spinaker
SK - ALBUMS - TOP 100,2017,07,,7,One More Light,Linkin Park,Linkin Park,Warner Music
SK - ALBUMS - TOP 100,2017,07,,8,Lust For Life,Lana Del Rey ,Lana Del Rey,Universal Music
SK - ALBUMS - TOP 100,2017,07,,9,Neúprosný čas,Kollárovci,Kollárovci,Spinaker
SK - ALBUMS - TOP 100,2017,07,,10,Memories...Do Not Open,Chainsmokers,Chainsmokers,Sony Music
SK - ALBUMS - TOP 100,2017,07,,11,Mať srdce,Kristina,Kristina,Zune Trade
SK - ALBUMS - TOP 100,2017,07,,12,Riival,Momo,Momo,Nedám Sa Okoňovať
SK - ALBUMS - TOP 100,2017,07,,13,Harry Styles,Harry Styles,Harry Styles,Sony Music
SK - ALBUMS - TOP 100,2017,07,,14,History,I.M.T.Smile,I.M.T.Smile,Universal Music
SK - ALBUMS - TOP 100,2017,07,,15,Zem spieva,Různí,Různí,Spinaker
SK - ALBUMS - TOP 100,2017,07,,16,Starboy,The Weeknd,The Weeknd,Universal Music
SK - ALBUMS - TOP 100,2017,07,,17,Krstný otec,Rytmus,Rytmus,Tvoj Tatko Records
SK - ALBUMS - TOP 100,2017,07,,18,DAMN,Kendrick Lamar,Kendrick Lamar,Universal Music
SK - ALBUMS - TOP 100,2017,07,,19,Melodrama,Lorde,Lorde,Universal Music
SK - ALBUMS - TOP 100,2017,07,,20,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
SK - ALBUMS - TOP 100,2017,07,,21,Dva duby,Kandráčovci,Kandráčovci,Forte Production
SK - ALBUMS - TOP 100,2017,07,,22,Witness,Katy Perry,Katy Perry,Universal Music
SK - ALBUMS - TOP 100,2017,07,,23,Z východnej Európy na strechu sveta,Tkx,Tkx,Peter Medvedik
SK - ALBUMS - TOP 100,2017,07,,24,Piesne z DVD Spievankovo 1 a 2,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
SK - ALBUMS - TOP 100,2017,07,,25,Pesničky pre (ne)poslušné deti,Miro Jaroš,Miro Jaroš,Galgan Music
SK - ALBUMS - TOP 100,2017,07,,26,A Head Full Of Dreams,Coldplay,Coldplay,Warner Music
SK - ALBUMS - TOP 100,2017,07,,27,Funk Wav Bounces Vol.1,Calvin Harris,Calvin Harris,Sony Music
SK - ALBUMS - TOP 100,2017,07,,28,Platinum Collection,Horkýže Slíže,Horkýže Slíže,Warner Music
SK - ALBUMS - TOP 100,2017,07,,29,Stretnutie Goralov v Pieninách,Kollárovci,Kollárovci,Česká Muzika
SK - ALBUMS - TOP 100,2017,07,,30,Galakoncert,Kandráčovci,Kandráčovci,Forte Production
SK - ALBUMS - TOP 100,2017,07,,31,Hybrid Theory,Linkin Park,Linkin Park,Warner Music
SK - ALBUMS - TOP 100,2017,07,,32,"Dobrý deň, to som ja",Sima Martausová Band,Sima Martausová Band,Nan
SK - ALBUMS - TOP 100,2017,07,,33,10 rokov s vami,Kandráčovci,Kandráčovci,Nan
SK - ALBUMS - TOP 100,2017,07,,34,25,Kryštof,Kryštof,I.Richmond.P./Universal Music
SK - ALBUMS - TOP 100,2017,07,,35,Meteora,Linkin Park,Linkin Park,Warner Music
SK - ALBUMS - TOP 100,2017,07,,36,20 Naj II,Karol Duchoň,Karol Duchoň,Opus
SK - ALBUMS - TOP 100,2017,07,,37,Piesne 3,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
SK - ALBUMS - TOP 100,2017,07,,38,Best Of,Elán,Elán,Universal Music
SK - ALBUMS - TOP 100,2017,07,,39,55,Richard Müller,Richard Müller,Universal Music
SK - ALBUMS - TOP 100,2017,07,,40,This Is Acting,Sia,Sia,Sony Music
SK - ALBUMS - TOP 100,2017,07,,41,Is This The Life We Really Want?,Roger Waters,Roger Waters,Sony Music
SK - ALBUMS - TOP 100,2017,07,,42,Na pravom poludní,Sima Martausová Band,Sima Martausová Band,Nan
SK - ALBUMS - TOP 100,2017,07,,43,Introspekcia,Nocadeň,Nocadeň,Warner Music
SK - ALBUMS - TOP 100,2017,07,,44,Fíha tralala - Bumbarasa,Rôzni,Rôzni,Jelen Drums
SK - ALBUMS - TOP 100,2017,07,,45,Živ je,Tomáš Klus,Tomáš Klus,Tomáš Klus / Supraphon
SK - ALBUMS - TOP 100,2017,07,,46,40 slavíků,Karel Gott,Karel Gott,Supraphon
SK - ALBUMS - TOP 100,2017,07,,47,Deťom 1,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
SK - ALBUMS - TOP 100,2017,07,,48,Spirit,Depeche Mode,Depeche Mode,Sony Music
SK - ALBUMS - TOP 100,2017,07,,49,More Life,Drake,Drake,Universal Music
SK - ALBUMS - TOP 100,2017,07,,50,Y White,Majk Spirit,Majk Spirit,Spinaker
SK - ALBUMS - TOP 100,2017,07,,51,25,Adele,Adele,Xl Recordings
SK - ALBUMS - TOP 100,2017,07,,52,Piesne z DVD Spievankovo 5,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
SK - ALBUMS - TOP 100,2017,07,,53,Pesničky pre deti,Různí,Různí,Zune Trade
SK - ALBUMS - TOP 100,2017,07,,54,Ibiza Evolution 2017,Různí,Různí,Universal Music
SK - ALBUMS - TOP 100,2017,07,,55,713,S.Barracuda,S.Barracuda,Nan
SK - ALBUMS - TOP 100,2017,07,,56,Ja som funky,Igor Kmeťo,Igor Kmeťo,Nan
SK - ALBUMS - TOP 100,2017,07,,57,Lost On You,Lp,Lp,Universal Music
SK - ALBUMS - TOP 100,2017,07,,58,Fíha tralala 1: A kamaráti,Martina Jelenová,Martina Jelenová,Jelen Drums
SK - ALBUMS - TOP 100,2017,07,,59,Best Of,50 Cent,50 Cent,Universal Music
SK - ALBUMS - TOP 100,2017,07,,60,Spolu,Adam Ďurica,Adam Ďurica,Universal Music
SK - ALBUMS - TOP 100,2017,07,,61,24K Magic,Bruno Mars,Bruno Mars,Warner Music
SK - ALBUMS - TOP 100,2017,07,,62,Dua Lipa,Dua Lipa,Dua Lipa,Warner Music
SK - ALBUMS - TOP 100,2017,07,,63,Môj život je muzika,Kollárovci,Kollárovci,Nan
SK - ALBUMS - TOP 100,2017,07,,64,Tie naj,Kristina,Kristina,Spinaker
SK - ALBUMS - TOP 100,2017,07,,65,Stredovek,Korben Dallas,Korben Dallas,Slnko Records
SK - ALBUMS - TOP 100,2017,07,,66,Spievanky a riekanky spod zlatej brany,Rôzni,Rôzni,"Musica, S.R.O."
SK - ALBUMS - TOP 100,2017,07,,67,Hot Summer Hits 2017,Různí,Různí,Universal Music
SK - ALBUMS - TOP 100,2017,07,,68,Sedmoláska,Tobias Szidi,Tobias Szidi,Pavian Records
SK - ALBUMS - TOP 100,2017,07,,69,"Veni, Vidi, Wich",Dj Wich,Dj Wich,Warner Music
SK - ALBUMS - TOP 100,2017,07,,70,Greatest Hits,Guns'N'Roses,Guns'N'Roses,Universal Music
SK - ALBUMS - TOP 100,2017,07,,71,Purpose,Justin Bieber,Justin Bieber,Universal Music
SK - ALBUMS - TOP 100,2017,07,,72,Feed The Machine,Nickelback,Nickelback,Warner Music
SK - ALBUMS - TOP 100,2017,07,,73,Zhora vypadá všechno líp,Yzomandias,Yzomandias,Milion+ Ent./Universal Music
SK - ALBUMS - TOP 100,2017,07,,74,"Oj, zabava",Kandráčovci,Kandráčovci,Forte Production
SK - ALBUMS - TOP 100,2017,07,,75,Top DJ's 2017,Různí,Různí,Universal Music
SK - ALBUMS - TOP 100,2017,07,,76,Best Of Depeche Mode vol. 1,Depeche Mode,Depeche Mode,Sony Music
SK - ALBUMS - TOP 100,2017,07,,77,4:44,Jay-Z,Jay-Z,Universal Music
SK - ALBUMS - TOP 100,2017,07,,78,N!kto,Kali & Peter Pann,Kali,Kali Records
SK - ALBUMS - TOP 100,2017,07,,79,Turn Up The Quiet,Diana Krall,Diana Krall,Universal Music
SK - ALBUMS - TOP 100,2017,07,,80,GRATEFUL,Dj Khaled,Dj Khaled,Sony Music
SK - ALBUMS - TOP 100,2017,07,,81,Sila,H16,H16,Nan
SK - ALBUMS - TOP 100,2017,07,,82,Minutes To Midnight,Linkin Park,Linkin Park,Warner Music
SK - ALBUMS - TOP 100,2017,07,,83,Living Things,Linkin Park,Linkin Park,Warner Music
SK - ALBUMS - TOP 100,2017,07,,84,PACI PAC Pesničková Encyklopédia,Různí,Různí,Nan
SK - ALBUMS - TOP 100,2017,07,,85,Ghost Stories,Coldplay,Coldplay,Warner Music
SK - ALBUMS - TOP 100,2017,07,,86,Best Of   +DVD,Lucie,Lucie,Universal Music
SK - ALBUMS - TOP 100,2017,07,,87,Illuminate,Shawn Mendes,Shawn Mendes,Universal Music
SK - ALBUMS - TOP 100,2017,07,,88,Dýchajúce obrazy,Billy Barman,Billy Barman,Nan
SK - ALBUMS - TOP 100,2017,07,,89,Jožo,Jozef Ráž,Jozef Ráž,Musica
SK - ALBUMS - TOP 100,2017,07,,90,Pesničky pre detičky,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
SK - ALBUMS - TOP 100,2017,07,,91,Písně o lásce,Věra Špinarová,Věra Špinarová,Supraphon
SK - ALBUMS - TOP 100,2017,07,,92,Mandolína,Adam Ďurica,Adam Ďurica,Universal Music
SK - ALBUMS - TOP 100,2017,07,,93,inFinite,Deep Purple,Deep Purple,Mystic Production
SK - ALBUMS - TOP 100,2017,07,,94,Diamantová kolekce,Helena Vondráčková ,Helena Vondráčková,Supraphon
SK - ALBUMS - TOP 100,2017,07,,95,Anti,Rihanna,Rihanna,Universal Music
SK - ALBUMS - TOP 100,2017,07,,96,The Joshua Tree,U2,U2,Universal Music
SK - ALBUMS - TOP 100,2017,07,,97,Suma Sumárum - Best Of (25.výročí) + DVD,Kabát,Kabát,Warner Music
SK - ALBUMS - TOP 100,2017,07,,98,Original Albums Vol. 1,Kabát,Kabát,Warner Music
SK - ALBUMS - TOP 100,2017,07,,99,Deťom 2,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
SK - ALBUMS - TOP 100,2017,07,,100,Morricone 60,Ennio Morricone & Čnso,Ennio Morricone,Universal Music
SK - ALBUMS - TOP 100,2018,04,,1,Precedens,Ego,Ego,Ego
SK - ALBUMS - TOP 100,2018,04,,2,Evolve,Imagine Dragons,Imagine Dragons,Universal Music
SK - ALBUMS - TOP 100,2018,04,,3,My Dear Melancholy,The Weeknd,The Weeknd,Universal Music
SK - ALBUMS - TOP 100,2018,04,,4,÷ (Divide),Ed Sheeran,Ed Sheeran,Warner Music
SK - ALBUMS - TOP 100,2018,04,,5,Poschod13.,Strapo,Strapo,White Trash
SK - ALBUMS - TOP 100,2018,04,,6,Alfa,Ektor,Ektor,Detektor/Universal Music
SK - ALBUMS - TOP 100,2018,04,,7,?,Xxxtentacion,Xxxtentacion,Universal Music
SK - ALBUMS - TOP 100,2018,04,,8,Dua Lipa,Dua Lipa,Dua Lipa,Warner Music
SK - ALBUMS - TOP 100,2018,04,,9,Camila,Camila Cabello,Camila Cabello,Sony Music
SK - ALBUMS - TOP 100,2018,04,,10,žžž,Kali,Kali,Spinaker
SK - ALBUMS - TOP 100,2018,04,,11,"V rádiu hrál Elán, keď umrel ...",Pil C,Pil C,Comebackgang
SK - ALBUMS - TOP 100,2018,04,,12,reputation,Taylor Swift,Taylor Swift,Universal Music
SK - ALBUMS - TOP 100,2018,04,,13,Sokoly,Kandráčovci,Kandráčovci,Forte Production
SK - ALBUMS - TOP 100,2018,04,,14,AMERICA,Thirty Seconds To Mars,Thirty Seconds To Mars,Universal Music
SK - ALBUMS - TOP 100,2018,04,,15,Polet'iv by'm na kraj sveta,Štefan Štec,Štefan Štec,Nan
SK - ALBUMS - TOP 100,2018,04,,16,Celým srdcom,Espe,Espe,Nan
SK - ALBUMS - TOP 100,2018,04,,17,20 Naj,Karol Duchoň,Karol Duchoň,Opus
SK - ALBUMS - TOP 100,2018,04,,18,Pancier,Separ,Separ,Dms Records
SK - ALBUMS - TOP 100,2018,04,,19,Culture II,Migos,Migos,Universal Music
SK - ALBUMS - TOP 100,2018,04,,20,Femina,Sima,Sima,Gajlo Records
SK - ALBUMS - TOP 100,2018,04,,21,Krstný otec,Rytmus,Rytmus,Tvoj Tatko Records
SK - ALBUMS - TOP 100,2018,04,,22,25,Kryštof,Kryštof,I.Richmond.P./Universal Music
SK - ALBUMS - TOP 100,2018,04,,23,Nocadeň v divadle,Nocadeň,Nocadeň,Warner Music
SK - ALBUMS - TOP 100,2018,04,,24,Kam ma zavolá,Heartbeat,Heartbeat,Nan
SK - ALBUMS - TOP 100,2018,04,,25,Pustite Karola!,Horkýže Slíže,Horkýže Slíže,Spinaker
SK - ALBUMS - TOP 100,2018,04,,26,Revival,Eminem,Eminem,Universal Music
SK - ALBUMS - TOP 100,2018,04,,27,Man Of The Woods,Justin Timberlake,Justin Timberlake,Sony Music
SK - ALBUMS - TOP 100,2018,04,,28,20 Naj II,Karol Duchoň,Karol Duchoň,Opus
SK - ALBUMS - TOP 100,2018,04,,29,Pesničky pre (ne)poslušné deti,Miro Jaroš,Miro Jaroš,Galgan Music
SK - ALBUMS - TOP 100,2018,04,,30,Lavicka Pimpin',Gleb,Gleb,Fck Them
SK - ALBUMS - TOP 100,2018,04,,31,Memories...Do Not Open,Chainsmokers,Chainsmokers,Sony Music
SK - ALBUMS - TOP 100,2018,04,,32,Velký flám (Zlaté album),Dalibor Janda,Dalibor Janda,Supraphon
SK - ALBUMS - TOP 100,2018,04,,33,Beautiful Trauma,P!Nk,P!Nk,Sony Music
SK - ALBUMS - TOP 100,2018,04,,34,Neúprosný čas,Kollárovci,Kollárovci,Spinaker
SK - ALBUMS - TOP 100,2018,04,,35,Restart,Rest,Rest,Ty Nikdy Label
SK - ALBUMS - TOP 100,2018,04,,36,Molekuly zvuku,Desmod,Desmod,Nan
SK - ALBUMS - TOP 100,2018,04,,37,Animal,Nerieš,Nerieš,Nan
SK - ALBUMS - TOP 100,2018,04,,38,DAY69,6Ix9Ine,6Ix9Ine,Universal Music
SK - ALBUMS - TOP 100,2018,04,,39,ETC,Dara Rolins,Dara Rolins,Nan
SK - ALBUMS - TOP 100,2018,04,,40,Piesne z DVD Spievankovo 6 a Kráľovná Harmónia,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
SK - ALBUMS - TOP 100,2018,04,,41,Výberovka 1984-2017,Richard Müller,Richard Müller,Universal Music
SK - ALBUMS - TOP 100,2018,04,,42,Starboy,The Weeknd,The Weeknd,Universal Music
SK - ALBUMS - TOP 100,2018,04,,43,Firepower,Judas Priest,Judas Priest,Sony Music
SK - ALBUMS - TOP 100,2018,04,,44,Navždy,Kontrafakt,Kontrafakt,Universal Music
SK - ALBUMS - TOP 100,2018,04,,45,Poruba,Jaromír Nohavica,Jaromír Nohavica,Petarda Production
SK - ALBUMS - TOP 100,2018,04,,46,Akustik Live,Gladiator,Gladiator,Nan
SK - ALBUMS - TOP 100,2018,04,,47,Dva duby,Kandráčovci,Kandráčovci,Forte Production
SK - ALBUMS - TOP 100,2018,04,,48,"Dobrý deň, to som ja",Sima Martausová Band,Sima Martausová Band,Nan
SK - ALBUMS - TOP 100,2018,04,,49,Nadechnutí,Čechomor,Čechomor,Warner Music
SK - ALBUMS - TOP 100,2018,04,,50,Platinum Collection,Horkýže Slíže,Horkýže Slíže,Warner Music
SK - ALBUMS - TOP 100,2018,04,,51,History,I.M.T.Smile,I.M.T.Smile,Universal Music
SK - ALBUMS - TOP 100,2018,04,,52,Progress,Peter Pann,Peter Pann,Nan
SK - ALBUMS - TOP 100,2018,04,,53,You Should Know,Emma Drobná,Emma Drobná,Warner Music
SK - ALBUMS - TOP 100,2018,04,,54,Gemini,Macklemore,Macklemore,Warner Music
SK - ALBUMS - TOP 100,2018,04,,55,Piesne 3,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
SK - ALBUMS - TOP 100,2018,04,,56,Mať srdce,Kristina,Kristina,Zune Trade
SK - ALBUMS - TOP 100,2018,04,,57,One More Light,Linkin Park,Linkin Park,Warner Music
SK - ALBUMS - TOP 100,2018,04,,58,Spaceshit Captain,Bijouterrier,Bijouterrier,Nan
SK - ALBUMS - TOP 100,2018,04,,59,ZG,Deethane,Deethane,Championship Music
SK - ALBUMS - TOP 100,2018,04,,60,Galakoncert,Kandráčovci,Kandráčovci,Forte Production
SK - ALBUMS - TOP 100,2018,04,,61,Spievanky a riekanky spod zlatej brany,Rôzni,Rôzni,"Musica, S.R.O."
SK - ALBUMS - TOP 100,2018,04,,62,Best Of,Elán,Elán,Universal Music
SK - ALBUMS - TOP 100,2018,04,,63,10 rokov s vami,Kandráčovci,Kandráčovci,Nan
SK - ALBUMS - TOP 100,2018,04,,64,Tie naj,Kristina,Kristina,Spinaker
SK - ALBUMS - TOP 100,2018,04,,65,Piesne z DVD Spievankovo 1 a 2,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
SK - ALBUMS - TOP 100,2018,04,,66,Selfmade,Dame,Dame,Dms Records
SK - ALBUMS - TOP 100,2018,04,,67,22 svetelných rokov: Best Of,Iné Kafe,Iné Kafe,Nan
SK - ALBUMS - TOP 100,2018,04,,68,"Come Over When You're Sober, Pt. 1",Lil Peep,Lil Peep,Nan
SK - ALBUMS - TOP 100,2018,04,,69,# 2017,Mária Čírová,Mária Čírová,Soundtech
SK - ALBUMS - TOP 100,2018,04,,70,Piesne z DVD Spievankovo 5,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
SK - ALBUMS - TOP 100,2018,04,,71,Kuk ani muk,Smejko a Tanculienka,Smejko,Spinaker
SK - ALBUMS - TOP 100,2018,04,,72,3.U.M.F.,P.A.T.,P.A.T.,Nan
SK - ALBUMS - TOP 100,2018,04,,73,The Thrill Of It All,Sam Smith,Sam Smith,Universal Music
SK - ALBUMS - TOP 100,2018,04,,74,Na pravom poludní,Sima Martausová Band,Sima Martausová Band,Nan
SK - ALBUMS - TOP 100,2018,04,,75,Zhora vypadá všechno líp,Yzomandias,Yzomandias,Milion+ Ent./Universal Music
SK - ALBUMS - TOP 100,2018,04,,76,Invasion of Privacy,Cardi B,Cardi B,Warner Music
SK - ALBUMS - TOP 100,2018,04,,77,A Head Full Of Dreams,Coldplay,Coldplay,Warner Music
SK - ALBUMS - TOP 100,2018,04,,78,Deťom 1,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
SK - ALBUMS - TOP 100,2018,04,,79,Dream,Peter Bič Project,Peter Bič Project,Universal Music
SK - ALBUMS - TOP 100,2018,04,,80,Ultimate... 90s,Různí,Různí,Sony Music
SK - ALBUMS - TOP 100,2018,04,,81,Songs of Experience,U2,U2,Universal Music
SK - ALBUMS - TOP 100,2018,04,,82,Mama neviem kedy prídem domov,Samey,Samey,Fck Them
SK - ALBUMS - TOP 100,2018,04,,83,Fifty Shades Freed,Různí,Různí,Universal Music
SK - ALBUMS - TOP 100,2018,04,,84,Everyday is Christmas,Sia,Sia,Warner Music
SK - ALBUMS - TOP 100,2018,04,,85,Spolu,Adam Ďurica,Adam Ďurica,Universal Music
SK - ALBUMS - TOP 100,2018,04,,86,More Life,Drake,Drake,Universal Music
SK - ALBUMS - TOP 100,2018,04,,87,Zlaté hity: Že je mi lúto,Elán,Elán,Universal Music
SK - ALBUMS - TOP 100,2018,04,,88,V hmle,Fallgrapp,Fallgrapp,Spinaker
SK - ALBUMS - TOP 100,2018,04,,89,Bozk na rozlúčku,Kontrafakt,Kontrafakt,Warner Music
SK - ALBUMS - TOP 100,2018,04,,90,Lust For Life,Lana Del Rey ,Lana Del Rey,Universal Music
SK - ALBUMS - TOP 100,2018,04,,91,Lost On You,Lp,Lp,Universal Music
SK - ALBUMS - TOP 100,2018,04,,92,Fíha tralala 1: A kamaráti,Martina Jelenová,Martina Jelenová,Jelen Drums
SK - ALBUMS - TOP 100,2018,04,,93,The Best Of,Pavol Hammel a Prúdy,Pavol Hammel,Pavian Records
SK - ALBUMS - TOP 100,2018,04,,94,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
SK - ALBUMS - TOP 100,2018,04,,95,Ultimate... Hip-Hop,Různí,Různí,Sony Music
SK - ALBUMS - TOP 100,2018,04,,96,Best Of   +DVD,Lucie,Lucie,Universal Music
SK - ALBUMS - TOP 100,2018,04,,97,Lukáš Adamec,Lukáš Adamec,Lukáš Adamec,Spinaker
SK - ALBUMS - TOP 100,2018,04,,98,Final 3 (1983 - 1985),Modus,Modus,Forza
SK - ALBUMS - TOP 100,2018,04,,99,The Greatest Showman  O.S.T.,Různí,Různí,Warner Music
SK - ALBUMS - TOP 100,2018,04,,100,Suma Sumárum - Best Of (25.výročí) + DVD,Kabát,Kabát,Warner Music
SK - ALBUMS - TOP 100,2018,09,,1,Kamikaze,Eminem,Eminem,Universal Music
SK - ALBUMS - TOP 100,2018,09,,2,Východná (Live),I.M.T.Smile & Kandráčovci,I.M.T.Smile,Universal Music
SK - ALBUMS - TOP 100,2018,09,,3,Precedens,Ego,Ego,Ego
SK - ALBUMS - TOP 100,2018,09,,4,Sweetener,Ariana Grande,Ariana Grande,Universal Music
SK - ALBUMS - TOP 100,2018,09,,5,7,David Guetta,David Guetta,Warner Music
SK - ALBUMS - TOP 100,2018,09,,6,ASTROWORLD,Travis Scott,Travis Scott,Sony Music
SK - ALBUMS - TOP 100,2018,09,,7,Pesničky pre (ne)poslušné deti 3,Miro Jaroš,Miro Jaroš,Galgan Music
SK - ALBUMS - TOP 100,2018,09,,8,beerbongs & bentleys,Post Malone,Post Malone,Universal Music
SK - ALBUMS - TOP 100,2018,09,,9,÷ (Divide),Ed Sheeran,Ed Sheeran,Warner Music
SK - ALBUMS - TOP 100,2018,09,,10,Scorpion,Drake,Drake,Universal Music
SK - ALBUMS - TOP 100,2018,09,,11,?,Xxxtentacion,Xxxtentacion,Universal Music
SK - ALBUMS - TOP 100,2018,09,,12,Evolve,Imagine Dragons,Imagine Dragons,Universal Music
SK - ALBUMS - TOP 100,2018,09,,13,Raise Vibration,Lenny Kravitz ,Lenny Kravitz,Warner Music
SK - ALBUMS - TOP 100,2018,09,,14,Red Pill Blues,Maroon 5,Maroon 5,Universal Music
SK - ALBUMS - TOP 100,2018,09,,15,Spolu,Tomáš Klus,Tomáš Klus,Tomáš Klus / Supraphon
SK - ALBUMS - TOP 100,2018,09,,16,Sokoly,Kandráčovci,Kandráčovci,Forte Production
SK - ALBUMS - TOP 100,2018,09,,17,Poschod13.,Strapo,Strapo,White Trash
SK - ALBUMS - TOP 100,2018,09,,18,Pouliční Ekonomická 3: Láska & Loyalita,Sergei Barracuda,Sergei Barracuda,Azurit Kingdom
SK - ALBUMS - TOP 100,2018,09,,19,Dua Lipa,Dua Lipa,Dua Lipa,Warner Music
