hitparada,rok,mesic,week,pozice,track,interpret,interpret_hlavni,vydavatel
SK - SINGLES DIGITAL - TOP 100,2018,03,,1,Friends,Marshmello & Anne-Marie,Marshmello,Warner Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,2,God's Plan,Drake,Drake,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,3,Psycho (feat. Ty Dolla $ign),Post Malone,Post Malone,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,4,"These Days (feat. Jess Glynne, Macklemore...)",Rudimental,Rudimental,Warner Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,5,IDGAF,Dua Lipa,Dua Lipa,Warner Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,6,V meste snov,Ego,Ego,Ego
SK - SINGLES DIGITAL - TOP 100,2018,03,,7,rockstar,Post Malone & 21 Savage,Post Malone,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,8,Sick Boy,Chainsmokers,Chainsmokers,Sony Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,9,For You (Fifty Shades Freed),Liam Payne & Rita Ora,Liam Payne,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,10,All The Stars,Kendrick Lamar,Kendrick Lamar,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,11,Vozíme (feat. Gyza & Ben Cristovao),Ego,Ego,Ego
SK - SINGLES DIGITAL - TOP 100,2018,03,,12,Havana,Camila Cabello,Camila Cabello,Sony Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,13,Say Something,Justin Timberlake,Justin Timberlake,Sony Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,14,"Robím to, čo chcem",Ego,Ego,Ego
SK - SINGLES DIGITAL - TOP 100,2018,03,,15,The Middle,Zedd & Maren Morris & Grey,Zedd,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,16,Padam (feat. Mária Čírová),Ben Cristovao,Ben Cristovao,Championship Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,17,Love Lies,Khalid & Normani,Khalid,Sony Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,18,Pray For Me,The Weeknd & Kendrick Lamar,The Weeknd,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,19,Láska (feat. Klaris Diam),Ego,Ego,Ego
SK - SINGLES DIGITAL - TOP 100,2018,03,,20,Flexim jako Gott (feat. Haha Crew & Yzomandias),Ego,Ego,Ego
SK - SINGLES DIGITAL - TOP 100,2018,03,,21,Mine,Bazzi,Bazzi,Warner Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,22,River (feat. Ed Sheeran),Eminem,Eminem,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,23,Capital Letters,Hailee Steinfeld & Bloodpop®,Hailee Steinfeld,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,24,Échame la culpa,Luis Fonsi & Demi Lovato,Luis Fonsi,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,25,Ideme ďalej (feat. Rytmus),Ego,Ego,Ego
SK - SINGLES DIGITAL - TOP 100,2018,03,,26,Heaven,Julia Michaels,Julia Michaels,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,27,Wolves,Selena Gomez & Marshmello,Selena Gomez,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,28,Feel It Still,Portugal. The Man,Portugal. The Man,Warner Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,29,New Rules,Dua Lipa,Dua Lipa,Warner Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,30,SAD!,Xxxtentacion,Xxxtentacion,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,31,Shape of You,Ed Sheeran,Ed Sheeran,Warner Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,32,Thunder,Imagine Dragons,Imagine Dragons,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,33,Whatever It Takes,Imagine Dragons,Imagine Dragons,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,34,Runway,Ego & Paulie Garand & Lvcas Dope,Ego,Ty Nikdy Label
SK - SINGLES DIGITAL - TOP 100,2018,03,,35,More Than You Know,Axwell / Ingrosso,Axwell,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,36,Meant to Be,Bebe Rexha,Bebe Rexha,Warner Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,37,Anywhere,Rita Ora,Rita Ora,Warner Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,38,Never Be the Same,Camila Cabello,Camila Cabello,Sony Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,39,Him & I,G-Eazy & Halsey,G-Eazy,Sony Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,40,Perfect,Ed Sheeran,Ed Sheeran,Warner Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,41,Breathe,Jax Jones & Ina Wroldsen,Jax Jones,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,42,Let Me Go (feat. Florida Georgia Line & watt),Hailee Steinfeld,Hailee Steinfeld,Universal Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,43,Je nám to úplne jedno,Ego,Ego,Ego
SK - SINGLES DIGITAL - TOP 100,2018,03,,44,Like I Do,Martin Garrix & David Guetta & Brooks,Martin Garrix,Warner Music
SK - SINGLES DIGITAL - TOP 100,2018,03,,45,I Like Me Better,Lauv,Lauv,Nan
SK - SINGLES DIGITAL - TOP 100,2018,03,,46,Let You Down,Nf,Nf,Universal Music
