,hitparada,rok,mesic,pozice,track,interpret,interpret_hlavni,vydavatel
253718,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,11,50,Nemůžu si dovolit,Ben Cristovao,Ben Cristovao,Championship Music
253919,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,1,Nafrněná,Barbora Poláková,Barbora Poláková,Supraphon
253920,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,2,Ty a já,Kryštof,Kryštof,I.richmond.p./universal Music
253921,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,3,Celibát,Slza,Slza,Universal Music
253922,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,4,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
253923,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,5,Katarze,Slza,Slza,Universal Music
253924,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,6,Primetime,Majk Spirit,Majk Spirit,Nan
253925,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,7,Vánoční,Johny Machette & Teri Blitzen,Johny Machette,Championship Music
253926,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,8,Vstříc nekonečnům,Slza,Slza,Universal Music
253927,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,9,Ráno,Atmo Music & Jakub Děkan,Atmo Music,Warner Music
253928,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,10,Toulavá,Sebastian,Sebastian,Warner Music
253929,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,11,Boomerang,Paulie Garand & Kenny Rough,Paulie Garand,Ty Nikdy Records
253930,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,12,Etikety,Slza,Slza,Universal Music
253931,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,13,Ona se smála,Mandrage,Mandrage,Universal Music
253932,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,14,Prázdnej sex,Ektor,Ektor,Detektor/universal Music
253933,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,15,Každý ráno,Chinaski,Chinaski,Brainzone
253934,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,16,Lhůta záruční,Slza,Slza,Universal Music
253935,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,17,Cesta,Kryštof & Tomáš Klus,Kryštof,Universal Music
253936,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,18,Pozice off,Slza,Slza,Universal Music
253937,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,19,Záchranný bod,Sebastian,Sebastian,Warner Music
253938,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,20,Brouci,Mandrage,Mandrage,Universal Music
253939,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,21,Nemůžu si dovolit,Ben Cristovao,Ben Cristovao,Championship Music
253940,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,22,Fáze pád,Slza,Slza,Universal Music
253941,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,23,V dešti zášti,Slza,Slza,Universal Music
253942,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,24,Těžký váhy,Ben Cristovao,Ben Cristovao,Championship Music
253943,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,25,Atrakce,Slza,Slza,Universal Music
253944,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,26,V blbým věku,Xindl X,Xindl X,Universal Music
253945,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,27,Cesta z města,Mirai,Mirai,Universal Music
253946,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,28,Pouta,Slza,Slza,Universal Music
253947,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,29,Srdcebeat,Kryštof,Kryštof,I.richmond.p./universal Music
253948,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,30,Nádech,Paulie Garand & Kenny Rough,Paulie Garand,Ty Nikdy Records
253949,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,31,Me & The Rythm,Selena Gomez,Selena Gomez,Universal Music
253950,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,32,Labyrint,Paulie Garand & Kenny Rough,Paulie Garand,Ty Nikdy Records
253951,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,33,Polety,Atmo Music,Atmo Music,Warner Music
253952,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,34,Víno,Chinaski,Chinaski,Brainzone
253953,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,35,Terapeut,Pavel Callta,Pavel Callta,Warner Music
253954,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,36,Peníze,Ektor & Rytmus,Ektor,Nan
253955,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,37,Sweet Chilli,Ben Cristovao,Ben Cristovao,Championship Music
253956,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,38,Travolta,Mandrage,Mandrage,Universal Music
253957,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,39,Zakázané uvolnění,Michal Hrůza,Michal Hrůza,Universal Music
253958,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,40,Láska & hvězdy,Chinaski,Chinaski,Brainzone
253959,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,41,Jaguár na krku,Mandrage,Mandrage,Universal Music
253960,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,42,Tělo,Ben Cristovao,Ben Cristovao,Championship Music
253961,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,43,Let It Go,James Bay,James Bay,Universal Music
253962,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,44,Instagram,Ben Cristovao,Ben Cristovao,Championship Music
253963,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,45,Hlavolam,Chinaski,Chinaski,Universal Music
253964,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,12,46,Pláštěnky,Nebe,Nebe,Universal Music
