,hitparada,rok,tyden,week,pozice,track,interpret,interpret_hlavni,vydavatel
0,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,1,Starboy,The Weeknd & Daft Punk,The Weeknd,Universal Music
1,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,2,Let Me Love You,Dj Snake & Justin Bieber,Dj Snake,Universal Music
2,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,3,Closer,Chainsmokers & Halsey,Chainsmokers,Sony Music
3,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,4,The Greatest,Sia & Kendrick Lamar,Sia,Sony Music
4,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,5,My Way,Calvin Harris,Calvin Harris,Sony Music
5,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,6,Heathens,Twenty One Pilots,Twenty One Pilots,Warner Music
6,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,7,In The Name Of Love,Martin Garrix & Bebe Rexha,Martin Garrix,Sony Music
7,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,8,Cold Water,Major Lazer & Justin Bieber & Mo,Major Lazer,Warner Music
8,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,9,Perfect Strangers,Jonas Blue,Jonas Blue,Universal Music
9,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,10,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
10,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,11,Side To Side,Ariana Grande & Nicki Minaj,Ariana Grande,Universal Music
11,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,12,Don't Wanna Know,Maroon 5 & Kendrick Lamar,Maroon 5,Universal Music
12,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,13,All We Know,Chainsmokers & Phoebe Ryan,Chainsmokers,Sony Music
13,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,14,The Ocean,Mike Perry & Shy Martin,Mike Perry,Sony Music
14,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,15,Treat You Better,Shawn Mendes,Shawn Mendes,Universal Music
15,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,16,24K Magic,Bruno Mars,Bruno Mars,Warner Music
16,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,17,Shout Out to My Ex,Little Mix,Little Mix,Sony Music
17,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,18,Sucker For Pain,Lil Wayne & Wiz Khalifa & Imagine Dragons,Lil Wayne,Warner Music
18,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,19,Final Song,Mo,Mo,Sony Music
19,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,20,Cheap Thrills,Sia,Sia,Sony Music
20,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,21,We Don't Talk Anymore,Charlie Puth & Selena Gomez,Charlie Puth,Warner Music
21,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,22,Hymn For The Weekend,Coldplay,Coldplay,Warner Music
22,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,23,Say You Won't Let Go,James Arthur,James Arthur,Sony Music
23,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,24,Ain't My Fault,Zara Larsson,Zara Larsson,Sony Music
24,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,25,Don't Let Me Down,Chainsmokers,Chainsmokers,Sony Music
25,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,26,Starving,Hailee Steinfeld & Zedd & Grey,Hailee Steinfeld,Universal Music
26,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,27,This Girl,Kungs & Cookin' On 3 Burners & Kylie Auldist,Kungs,Universal Music
27,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,28,Mercy,Shawn Mendes,Shawn Mendes,Universal Music
28,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,29,Million Reasons,Lady Gaga,Lady Gaga,Universal Music
29,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,30,Cool Girl,Tove Lo,Tove Lo,Universal Music
30,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,31,Sofia,Alvaro Soler,Alvaro Soler,Universal Music
31,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,32,Can´t Stop The Feeling!,Justin Timberlake,Justin Timberlake,Sony Music
32,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,33,False Alarm,The Weeknd,The Weeknd,Universal Music
33,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,34,Still Falling For You,Ellie Goulding,Ellie Goulding,Universal Music
34,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,35,Púšťam ťa,Kali & Peter Pann,Kali,Kali Records
35,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,36,Ride,Twenty One Pilots,Twenty One Pilots,Warner Music
36,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,37,One Dance,Drake,Drake,Universal Music
37,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,38,Into You,Ariana Grande,Ariana Grande,Universal Music
38,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,39,This Is What You Came For,Calvin Harris & Rihanna,Calvin Harris,Sony Music
39,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,40,Perfect Illusion,Lady Gaga,Lady Gaga,Universal Music
40,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,41,Sing Me To sleep,Alan Walker,Alan Walker,Sony Music
41,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,42,Too Good,Drake & Rihanna,Drake,Universal Music
42,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,43,Scars To Your Beautiful,Alessia Cara,Alessia Cara,Universal Music
43,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,44,Alarm,Anne-Marie,Anne-Marie,Warner Music
44,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,45,Let Me Hold You (Turn Me On),Cheat Codes & Dante Klein,Cheat Codes,Warner Music
45,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,46,Capsize,Frenship & Emily Warren,Frenship,Sony Music
46,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,47,Don't Be So Shy,Imany,Imany,Warner Music
47,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,48,Faded,Alan Walker,Alan Walker,Sony Music
48,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,49,Fresh Eyes,Andy Grammer,Andy Grammer,Nan
49,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,50,Please Don't Go,Joel Adams,Joel Adams,Nan
50,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,51,I Took A Pill In Ibiza (SeeB Remix),Mike Posner,Mike Posner,Universal Music
51,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,52,Lost On You,Lp,Lp,Universal Music
52,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,53,You & Me,Marc E. Bassy,Marc E. Bassy,Universal Music
53,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,54,A-YO,Lady Gaga,Lady Gaga,Universal Music
54,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,55,i hate u i love u,Gnash & Olivia O´Brien,Gnash,Warner Music
55,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,56,This Town,Niall Horan,Niall Horan,Universal Music
56,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,57,Ain't Your Mama,Jennifer Lopez,Jennifer Lopez,Sony Music
57,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,58,Podle sebe,Marpo & Rytmus,Marpo,Brainzone
58,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,59,Panda,Desiigner,Desiigner,Universal Music
59,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,60,Call On Me - Ryan Riback Remix,Starley,Starley,Nan
60,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,61,In My Mind,Maty Noyes,Maty Noyes,Universal Music
61,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,62,Stressed Out,Twenty One Pilots,Twenty One Pilots,Warner Music
62,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,63,Wherever I Go,Onerepublic,Onerepublic,Universal Music
63,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,64,Sex,Cheat Codes & Kris Kross Amsterdam,Cheat Codes,Warner Music
64,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,65,Gold,Kiiara,Kiiara,Warner Music
65,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,66,Všetko alebo nič,Dara Rolins,Dara Rolins,Nan
66,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,67,Please Tell Rosie,Alle Farben & Younotus,Alle Farben,Sony Music
67,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,68,Light It Up,Major Lazer & Nyla & Fuse Odg,Major Lazer,Warner Music
68,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,69,Come First,Terror Jr,Terror Jr,Nan
69,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,70,Chandlier,Sia,Sia,Sony Music
70,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,71,Purple Lamborghini,Skrillex & Rick Ross,Skrillex,Warner Music
71,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,72,Body Say,Demi Lovato,Demi Lovato,Universal Music
72,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,73,Send My Love (To Your New Lover),Adele,Adele,Xl Recordings
73,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,74,The Mack,Nevada,Nevada,Universal Music
74,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,75,Angel Down,Lady Gaga,Lady Gaga,Universal Music
75,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,76,Miss You,James Harsey,James Harsey,Universal Music
76,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,77,Sorry,Justin Bieber,Justin Bieber,Universal Music
77,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,78,Cake By The Ocean,Dnce,Dnce,Universal Music
78,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,79,No Money,Galantis,Galantis,Warner Music
79,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,80,Say It,Flume & Tove Lo,Flume,Nan
80,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,81,Would I Lie To You,David Guetta  & Chris Willis,David Guetta,Warner Music
81,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,82,Needed Me,Rihanna,Rihanna,Universal Music
82,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,83,Lean On,Major Lazer & Dj Snake & Mo,Major Lazer,Warner Music
83,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,84,Dynamite,Nause & Pretty Sister,Nause,Warner Music
84,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,85,Neriešme,Ego & Monika Bagárová,Ego,Nan
85,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,86,Fake Love,Drake,Drake,Universal Music
86,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,87,Somebody Else,Vérité,Vérité,Nan
87,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,88,Lush Life,Zara Larsson,Zara Larsson,Sony Music
88,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,89,Hurts So Good,Astrid S,Astrid S,Universal Music
89,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,90,Raging,Kygo Feat. Kodaline,Kygo,Sony Music
90,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,91,Ocean Drive,Duke Dumont,Duke Dumont,Universal Music
91,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,92,Work From Home,Fifth Harmony & Ty Dolla $Ing,Fifth Harmony,Sony Music
92,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,93,John Wayne,Lady Gaga,Lady Gaga,Universal Music
93,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,94,Joanne,Lady Gaga,Lady Gaga,Universal Music
94,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,95,Bailar,Deorro,Deorro,Ultrarecords
95,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,96,Love Yourself,Justin Bieber,Justin Bieber,Universal Music
96,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,97,Fast Car,Jonas Blue & Dakota,Jonas Blue,Universal Music
97,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,98,Love On Me,Galantis & Hook N Sling,Galantis,Warner Music
98,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,99,Once in a While,Timeflies,Timeflies,Sony Music
99,SK - SINGLES DIGITAL - TOP 100,2016,43,2016-43,100,Diamond Heart,Lady Gaga,Lady Gaga,Universal Music
100,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,1,Starboy,The Weeknd & Daft Punk,The Weeknd,Universal Music
101,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,2,Let Me Love You,Dj Snake & Justin Bieber,Dj Snake,Universal Music
102,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,3,My Way,Calvin Harris,Calvin Harris,Sony Music
103,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,4,Closer,Chainsmokers & Halsey,Chainsmokers,Sony Music
104,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,5,The Greatest,Sia & Kendrick Lamar,Sia,Sony Music
