,hitparada,rok,tyden,week,pozice,track,interpret,interpret_hlavni,vydavatel
105,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,6,In The Name Of Love,Martin Garrix & Bebe Rexha,Martin Garrix,Sony Music
106,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,7,Heathens,Twenty One Pilots,Twenty One Pilots,Warner Music
107,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,8,Don't Wanna Know,Maroon 5 & Kendrick Lamar,Maroon 5,Universal Music
108,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,9,Cold Water,Major Lazer & Justin Bieber & Mo,Major Lazer,Warner Music
109,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,10,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
110,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,11,Perfect Strangers,Jonas Blue,Jonas Blue,Universal Music
111,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,12,Side To Side,Ariana Grande & Nicki Minaj,Ariana Grande,Universal Music
112,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,13,Treat You Better,Shawn Mendes,Shawn Mendes,Universal Music
113,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,14,All We Know,Chainsmokers & Phoebe Ryan,Chainsmokers,Sony Music
114,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,15,Say You Won't Let Go,James Arthur,James Arthur,Sony Music
115,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,16,The Ocean,Mike Perry & Shy Martin,Mike Perry,Sony Music
116,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,17,Million Reasons,Lady Gaga,Lady Gaga,Universal Music
117,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,18,Tempo,Dj Wich & Kali & Separ,Dj Wich,Nan
118,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,19,Sucker For Pain,Lil Wayne & Wiz Khalifa & Imagine Dragons,Lil Wayne,Warner Music
119,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,20,24K Magic,Bruno Mars,Bruno Mars,Warner Music
120,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,21,Hymn For The Weekend,Coldplay,Coldplay,Warner Music
121,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,22,XXXXX_10 minút,Nerieš & Dms,Nerieš,Nan
122,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,23,Final Song,Mo,Mo,Sony Music
123,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,24,Ain't My Fault,Zara Larsson,Zara Larsson,Sony Music
124,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,25,Cheap Thrills,Sia,Sia,Sony Music
125,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,26,Starving,Hailee Steinfeld & Zedd & Grey,Hailee Steinfeld,Universal Music
126,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,27,Shout Out to My Ex,Little Mix,Little Mix,Sony Music
127,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,28,Mercy,Shawn Mendes,Shawn Mendes,Universal Music
128,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,29,Don't Let Me Down,Chainsmokers,Chainsmokers,Sony Music
129,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,30,Fake Love,Drake,Drake,Universal Music
130,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,31,We Don't Talk Anymore,Charlie Puth & Selena Gomez,Charlie Puth,Warner Music
131,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,32,Can´t Stop The Feeling!,Justin Timberlake,Justin Timberlake,Sony Music
132,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,33,Cool Girl,Tove Lo,Tove Lo,Universal Music
133,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,34,Púšťam ťa,Kali & Peter Pann,Kali,Kali Records
134,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,35,Call On Me - Ryan Riback Remix,Starley,Starley,Nan
135,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,36,One Dance,Drake,Drake,Universal Music
136,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,37,Perfect Illusion,Lady Gaga,Lady Gaga,Universal Music
137,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,38,Alarm,Anne-Marie,Anne-Marie,Warner Music
138,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,39,This Girl,Kungs & Cookin' On 3 Burners & Kylie Auldist,Kungs,Universal Music
139,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,40,Still Falling For You,Ellie Goulding,Ellie Goulding,Universal Music
140,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,41,Rockabye,Clean Bandit & Sean Paul & Anne-Marie,Clean Bandit,Warner Music
141,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,42,Lost On You,Lp,Lp,Universal Music
142,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,43,Ride,Twenty One Pilots,Twenty One Pilots,Warner Music
143,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,44,This Is What You Came For,Calvin Harris & Rihanna,Calvin Harris,Sony Music
144,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,45,Capsize,Frenship & Emily Warren,Frenship,Sony Music
145,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,46,Sofia,Alvaro Soler,Alvaro Soler,Universal Music
146,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,47,Scars To Your Beautiful,Alessia Cara,Alessia Cara,Universal Music
147,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,48,Fresh Eyes,Andy Grammer,Andy Grammer,Nan
148,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,49,I Took A Pill In Ibiza (SeeB Remix),Mike Posner,Mike Posner,Universal Music
149,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,50,Sing Me To sleep,Alan Walker,Alan Walker,Sony Music
150,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,51,Don't Be So Shy,Imany,Imany,Warner Music
151,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,52,Let Me Hold You (Turn Me On),Cheat Codes & Dante Klein,Cheat Codes,Warner Music
152,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,53,Would I Lie To You,David Guetta  & Chris Willis,David Guetta,Warner Music
153,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,54,Podle sebe,Marpo & Rytmus,Marpo,Brainzone
154,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,55,Please Don't Go,Joel Adams,Joel Adams,Nan
155,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,56,Hallelujah,Pentatonix,Pentatonix,Sony Music
156,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,57,False Alarm,The Weeknd,The Weeknd,Universal Music
157,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,58,i hate u i love u,Gnash & Olivia O´Brien,Gnash,Warner Music
158,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,59,This Town,Niall Horan,Niall Horan,Universal Music
159,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,60,You & Me,Marc E. Bassy,Marc E. Bassy,Universal Music
160,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,61,Too Good,Drake & Rihanna,Drake,Universal Music
161,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,62,Faded,Alan Walker,Alan Walker,Sony Music
162,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,63,The Mack,Nevada,Nevada,Universal Music
163,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,64,Ain't Your Mama,Jennifer Lopez,Jennifer Lopez,Sony Music
164,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,65,Stressed Out,Twenty One Pilots,Twenty One Pilots,Warner Music
165,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,66,Panda,Desiigner,Desiigner,Universal Music
166,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,67,Gold,Kiiara,Kiiara,Warner Music
167,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,68,In My Mind,Maty Noyes,Maty Noyes,Universal Music
168,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,69,Dynamite,Nause & Pretty Sister,Nause,Warner Music
169,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,70,Jazda,Kali,Kali,Kali Records
170,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,71,Into You,Ariana Grande,Ariana Grande,Universal Music
171,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,72,Wherever I Go,Onerepublic,Onerepublic,Universal Music
172,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,73,Trust Nobody,Cashmere Cat & Selena Gomez & Tory Lanez,Cashmere Cat,Universal Music
173,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,74,No Money,Galantis,Galantis,Warner Music
174,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,75,Miss You,James Harsey,James Harsey,Universal Music
175,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,76,Purple Lamborghini,Skrillex & Rick Ross,Skrillex,Warner Music
176,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,77,Light It Up,Major Lazer & Nyla & Fuse Odg,Major Lazer,Warner Music
177,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,78,By Your Side,Jonas Blue & Raye,Jonas Blue,Universal Music
178,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,79,Say It,Flume & Tove Lo,Flume,Nan
179,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,80,Please Tell Rosie,Alle Farben & Younotus,Alle Farben,Sony Music
180,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,81,Body Say,Demi Lovato,Demi Lovato,Universal Music
181,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,82,Love Yourself,Justin Bieber,Justin Bieber,Universal Music
182,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,83,Cake By The Ocean,Dnce,Dnce,Universal Music
183,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,84,Počítaj s nami,H16,H16,Nan
184,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,85,Somebody Else,Vérité,Vérité,Nan
185,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,86,Ocean Drive,Duke Dumont,Duke Dumont,Universal Music
186,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,87,Dosnívané,Kali,Kali,Kali Records
187,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,88,Come First,Terror Jr,Terror Jr,Nan
188,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,89,Send My Love (To Your New Lover),Adele,Adele,Xl Recordings
189,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,90,Sorry,Justin Bieber,Justin Bieber,Universal Music
190,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,91,Sex,Cheat Codes & Kris Kross Amsterdam,Cheat Codes,Warner Music
191,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,92,Fast Car,Jonas Blue & Dakota,Jonas Blue,Universal Music
192,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,93,Neriešme,Ego & Monika Bagárová,Ego,Nan
193,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,94,Hurts So Good,Astrid S,Astrid S,Universal Music
194,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,95,Work From Home,Fifth Harmony & Ty Dolla $Ing,Fifth Harmony,Sony Music
195,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,96,A-YO,Lady Gaga,Lady Gaga,Universal Music
196,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,97,Once in a While,Timeflies,Timeflies,Sony Music
197,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,98,Lean On,Major Lazer & Dj Snake & Mo,Major Lazer,Warner Music
198,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,99,Kill em with kindness,Selena Gomez,Selena Gomez,Universal Music
199,SK - SINGLES DIGITAL - TOP 100,2016,44,2016-44,100,Lush Life,Zara Larsson,Zara Larsson,Sony Music
200,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,1,Starboy,The Weeknd & Daft Punk,The Weeknd,Universal Music
201,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,2,The Greatest,Sia & Kendrick Lamar,Sia,Sony Music
202,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,3,Closer,Chainsmokers & Halsey,Chainsmokers,Sony Music
203,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,4,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
204,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,5,Let Me Love You,Dj Snake & Justin Bieber,Dj Snake,Universal Music
205,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,6,My Way,Calvin Harris,Calvin Harris,Sony Music
206,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,7,Don't Wanna Know,Maroon 5 & Kendrick Lamar,Maroon 5,Universal Music
207,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,8,In The Name Of Love,Martin Garrix & Bebe Rexha,Martin Garrix,Sony Music
208,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,9,Cold Water,Major Lazer & Justin Bieber & Mo,Major Lazer,Warner Music
209,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,10,24K Magic,Bruno Mars,Bruno Mars,Warner Music
210,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,11,Heathens,Twenty One Pilots,Twenty One Pilots,Warner Music
211,SK - SINGLES DIGITAL - TOP 100,2016,45,2016-45,12,Treat You Better,Shawn Mendes,Shawn Mendes,Universal Music
