hitparada,rok,mesic,week,pozice,track,interpret,interpret_hlavni,vydavatel
CZ - RADIO - TOP 50 CZ,2006,05,,1,1+1,Ready Kirken,Ready Kirken,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,2,Síť,Divokej Bill,Divokej Bill,Warner Music
CZ - RADIO - TOP 50 CZ,2006,05,,3,Impossible (Unstoppable),Helena Zeťová,Helena Zeťová,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,4,We All,Dan Bárta,Dan Bárta,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,5,Vrchlabí,Chinaski,Chinaski,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,6,Čím To Je,No Name,No Name,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,7,Hearts Breaker,Gabriela,Gabriela,Warner Music
CZ - RADIO - TOP 50 CZ,2006,05,,8,Orchidej,Tereza Kerndlová,Tereza Kerndlová,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,9,Srdcotepec,Aneta Langerová,Aneta Langerová,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,10,Deň medzi nedelou a pondelkom,Peha,Peha,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,11,Vyznání,Petr Kolář,Petr Kolář,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,12,Túžim,Dara Rolins,Dara Rolins,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,13,Hotel California,Victoria,Victoria,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,14,Za Tebou,Peha,Peha,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,15,Island Sun,Clou,Clou,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,16,Pod vodou,Temperamento,Temperamento,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,17,Láskoliek,Miro Žbirka,Miro Žbirka,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,18,"Láska, ta nebezpečná věc",Petr Muk,Petr Muk,Warner Music
CZ - RADIO - TOP 50 CZ,2006,05,,19,Místo v životě,Basiková Bára/Kamil Střihavka,Basiková Bára,Warner Music
CZ - RADIO - TOP 50 CZ,2006,05,,20,Morituri te salutant,Daniel Landa,Daniel Landa,Warner Music
CZ - RADIO - TOP 50 CZ,2006,05,,21,Tabáček,Chinaski,Chinaski,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,22,Pocit,Divokej Bill,Divokej Bill,Warner Music
CZ - RADIO - TOP 50 CZ,2006,05,,23,On My Head,Dan Bárta,Dan Bárta,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,24,On My Line,Support Lesbiens,Support Lesbiens,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,25,Starosta,No Name,No Name,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,26,Poslední dobou,Ready Kirken,Ready Kirken,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,27,Cliché,Support Lesbiens,Support Lesbiens,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,28,Jsi Volná,Petr Kolář,Petr Kolář,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,29,Zlato nech mě,Věra Martinová,Věra Martinová,Pm
CZ - RADIO - TOP 50 CZ,2006,05,,30,Svět se točí dál,Janek Ledecký,Janek Ledecký,Pm
CZ - RADIO - TOP 50 CZ,2006,05,,31,Big Sur,Koa,Koa,Ir
CZ - RADIO - TOP 50 CZ,2006,05,,32,Už to tak vyzerá,Richard Müller,Richard Müller,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,33,Stýskání,Věra Špinarová,Věra Špinarová,Supraphon
CZ - RADIO - TOP 50 CZ,2006,05,,34,Závrať,Michal Hudček,Michal Hudček,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,35,Pocestný,Zuzana Smatanová,Zuzana Smatanová,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,36,Někdy stačí dát jen dech,Miro Žbirka/Frühlingová Iva,Miro Žbirka,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,37,Anděl perutí máchď,Petr Bende,Petr Bende,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,38,Vítr,Lucie Vondráčková,Lucie Vondráčková,Tr
CZ - RADIO - TOP 50 CZ,2006,05,,39,Srdce,Kryštof,Kryštof,Warner Music
CZ - RADIO - TOP 50 CZ,2006,05,,40,Nad horu,Petr Bende,Petr Bende,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,41,Co Tě Napadá,Vlastimil Horváth,Vlastimil Horváth,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,42,Zákulisí,Martin Maxa,Martin Maxa,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,43,Expert,Michael Foret,Michael Foret,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,44,Jackpot,Petr Spálený,Petr Spálený,Supraphon
CZ - RADIO - TOP 50 CZ,2006,05,,45,Skvělej nápad,Aneta Langerová,Aneta Langerová,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,46,Já vím,Michael Foret,Michael Foret,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,47,Ou tu veux quand tu veux,Iva,Iva,Warner Music
CZ - RADIO - TOP 50 CZ,2006,05,,48,Víra nevinná,Vlastimil Horváth,Vlastimil Horváth,Sony Music
CZ - RADIO - TOP 50 CZ,2006,05,,49,Vlčí oči,Lenka Dusilová,Lenka Dusilová,Universal Music
CZ - RADIO - TOP 50 CZ,2006,05,,50,Len pomaly,Peter Nagy,Peter Nagy,Supraphon
CZ - RADIO - TOP 50 CZ,2012,02,,1,Šrouby a matice,Mandrage,Mandrage,Universal Music
