hitparada,rok,mesic,week,pozice,track,interpret,interpret_hlavni,vydavatel
SK - RADIO - TOP 100,2018,04,,1,Whatever It Takes,Imagine Dragons,Imagine Dragons,Universal Music
SK - RADIO - TOP 100,2018,04,,2,Say Something,Justin Timberlake,Justin Timberlake,Sony Music
SK - RADIO - TOP 100,2018,04,,3,Zůstaň tu se mnou (Za sny),Kryštof,Kryštof,I.Richmond.P./Universal Music
SK - RADIO - TOP 100,2018,04,,4,Crazy,Lost Frequencies & Zonderling,Lost Frequencies,Nan
SK - RADIO - TOP 100,2018,04,,5,Dusk Till Dawn,Zayn & Sia,Zayn,Sony Music
SK - RADIO - TOP 100,2018,04,,6,Beautiful Trauma,P!Nk,P!Nk,Sony Music
SK - RADIO - TOP 100,2018,04,,7,Anywhere,Rita Ora,Rita Ora,Warner Music
SK - RADIO - TOP 100,2018,04,,8,Dreamer,Axwell / Ingrosso,Axwell,Universal Music
SK - RADIO - TOP 100,2018,04,,9,For You (Fifty Shades Freed),Liam Payne & Rita Ora,Liam Payne,Universal Music
SK - RADIO - TOP 100,2018,04,,10,Feel It Still,Portugal. The Man,Portugal. The Man,Warner Music
SK - RADIO - TOP 100,2018,04,,11,Échame la culpa,Luis Fonsi & Demi Lovato,Luis Fonsi,Universal Music
SK - RADIO - TOP 100,2018,04,,12,Breathe,Jax Jones & Ina Wroldsen,Jax Jones,Universal Music
SK - RADIO - TOP 100,2018,04,,13,Katchi,Ofenbach & Nick Waterhouse,Ofenbach,Warner Music
SK - RADIO - TOP 100,2018,04,,14,Perfect,Ed Sheeran,Ed Sheeran,Warner Music
SK - RADIO - TOP 100,2018,04,,15,I Like Me Better,Lauv,Lauv,Nan
SK - RADIO - TOP 100,2018,04,,16,Rooftop,Nico Santos,Nico Santos,Universal Music
SK - RADIO - TOP 100,2018,04,,17,Havana,Camila Cabello,Camila Cabello,Sony Music
SK - RADIO - TOP 100,2018,04,,18,"These Days (feat. Jess Glynne, Macklemore...)",Rudimental,Rudimental,Warner Music
SK - RADIO - TOP 100,2018,04,,19,El baňo,Enrique Iglesias,Enrique Iglesias,Sony Music
SK - RADIO - TOP 100,2018,04,,20,Oteckovia,Hex,Hex,Clockwise
SK - RADIO - TOP 100,2018,04,,21,Stargazing,Kygo,Kygo,Sony Music
SK - RADIO - TOP 100,2018,04,,22,Prajem si,Bystrík,Bystrík,Street Production
SK - RADIO - TOP 100,2018,04,,23,So Far Away,Martin Garrix & David Guetta,Martin Garrix,Sony Music
SK - RADIO - TOP 100,2018,04,,24,Skin,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
SK - RADIO - TOP 100,2018,04,,25,Lúč,Buranowski,Buranowski,Universal Music
SK - RADIO - TOP 100,2018,04,,26,Wolves,Selena Gomez & Marshmello,Selena Gomez,Universal Music
SK - RADIO - TOP 100,2018,04,,27,Legendary,Welshly Arms,Welshly Arms,Universal Music
SK - RADIO - TOP 100,2018,04,,28,Sick Boy,Chainsmokers,Chainsmokers,Sony Music
SK - RADIO - TOP 100,2018,04,,29,No Excuses,Meghan Trainor,Meghan Trainor,Sony Music
SK - RADIO - TOP 100,2018,04,,30,Skúšame sa nájsť,Peter Bič Project,Peter Bič Project,Universal Music
SK - RADIO - TOP 100,2018,04,,31,Shape of You,Ed Sheeran,Ed Sheeran,Warner Music
SK - RADIO - TOP 100,2018,04,,32,Leave a Light On,Tom Walker,Tom Walker,Sony Music
SK - RADIO - TOP 100,2018,04,,33,"Hej, sokoly!",I.M.T. Smile & Ondrej Kandráč,I.M.T. Smile,Universal Music
SK - RADIO - TOP 100,2018,04,,34,Something Just Like This,Chainsmokers & Coldplay,Chainsmokers,Sony Music
SK - RADIO - TOP 100,2018,04,,35,Go Away,Celeste Buckingham,Celeste Buckingham,Nan
SK - RADIO - TOP 100,2018,04,,36,El Préstamo,Maluma,Maluma,Sony Music
SK - RADIO - TOP 100,2018,04,,37,Words,Emma Drobná,Emma Drobná,Warner Music
SK - RADIO - TOP 100,2018,04,,38,More Than You Know,Axwell / Ingrosso,Axwell,Universal Music
SK - RADIO - TOP 100,2018,04,,39,Unforgettable,Robin Schulz,Robin Schulz,Warner Music
SK - RADIO - TOP 100,2018,04,,40,What About Us,P!Nk,P!Nk,Sony Music
SK - RADIO - TOP 100,2018,04,,41,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
SK - RADIO - TOP 100,2018,04,,42,Don't Be So Shy,Imany,Imany,Warner Music
SK - RADIO - TOP 100,2018,04,,43,Flames,David Guetta & Sia,David Guetta,Warner Music
SK - RADIO - TOP 100,2018,04,,44,Got U (Ready Or Not),Kokab,Kokab,Warner Music
SK - RADIO - TOP 100,2018,04,,45,Good Old Days (feat. Kesha),Macklemore,Macklemore,Warner Music
SK - RADIO - TOP 100,2018,04,,46,Keď muž miluje ženu,Robo Opatovský,Robo Opatovský,Nan
SK - RADIO - TOP 100,2018,04,,47,Ain’t Nobody (Loves Me better),Felix Jaehn & Jasmine Thompson,Felix Jaehn,Universal Music
SK - RADIO - TOP 100,2018,04,,48,Friends,Marshmello & Anne-Marie,Marshmello,Warner Music
SK - RADIO - TOP 100,2018,04,,49,Be The One,Dua Lipa,Dua Lipa,Warner Music
SK - RADIO - TOP 100,2018,04,,50,Little Hollywood,Alle Farben & Janieck,Alle Farben,Sony Music
SK - RADIO - TOP 100,2018,04,,51,Love Yourself,Justin Bieber,Justin Bieber,Universal Music
SK - RADIO - TOP 100,2018,04,,52,rockstar,Post Malone & 21 Savage,Post Malone,Universal Music
SK - RADIO - TOP 100,2018,04,,53,V meste snov,Ego,Ego,Ego
SK - RADIO - TOP 100,2018,04,,54,Nejsom ten pravý,Kali,Kali,Kali Records
SK - RADIO - TOP 100,2018,04,,55,Nevrav mi aký som,Desmod,Desmod,Samonáklad
SK - RADIO - TOP 100,2018,04,,56,Lost On You,Lp,Lp,Universal Music
SK - RADIO - TOP 100,2018,04,,57,I Took A Pill In Ibiza (SeeB Remix),Mike Posner,Mike Posner,Universal Music
SK - RADIO - TOP 100,2018,04,,58,Pop Don't Stop,Kim Wilde,Kim Wilde,Universal Music
SK - RADIO - TOP 100,2018,04,,59,Faded,Alan Walker,Alan Walker,Sony Music
SK - RADIO - TOP 100,2018,04,,60,Far Away,Katarina Korcek,Katarina Korcek,Nan
SK - RADIO - TOP 100,2018,04,,61,All Falls Down,Alan Walker & Noah Cyrus & Digital Farm Animals,Alan Walker,Sony Music
SK - RADIO - TOP 100,2018,04,,62,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,Sofia Reyes,Warner Music
SK - RADIO - TOP 100,2018,04,,63,Light Me Up,Gromee & Meijer Lukas,Gromee,Sony Music
SK - RADIO - TOP 100,2018,04,,64,That's What I Like,Bruno Mars,Bruno Mars,Warner Music
SK - RADIO - TOP 100,2018,04,,65,Don't Make Me Wait,Sting & Shaggy,Sting,Universal Music
SK - RADIO - TOP 100,2018,04,,66,Dancing,Kylie Minogue,Kylie Minogue,Warner Music
SK - RADIO - TOP 100,2018,04,,67,Thunder,Imagine Dragons,Imagine Dragons,Universal Music
SK - RADIO - TOP 100,2018,04,,68,Poďme do hory,Kristina,Kristina,Nan
SK - RADIO - TOP 100,2018,04,,69,Meant to Be,Bebe Rexha,Bebe Rexha,Warner Music
SK - RADIO - TOP 100,2018,04,,70,Mad Love,Sean Paul & David Guetta,Sean Paul,Universal Music
SK - RADIO - TOP 100,2018,04,,71,Ocean Drive,Duke Dumont,Duke Dumont,Universal Music
SK - RADIO - TOP 100,2018,04,,72,Love My Life,Robbie Williams,Robbie Williams,Sony Music
SK - RADIO - TOP 100,2018,04,,73,Unikát,Mária Čírová,Mária Čírová,Street Production
SK - RADIO - TOP 100,2018,04,,74,That's How You Write A Song,Rybak Alexander,Rybak Alexander,Nan
SK - RADIO - TOP 100,2018,04,,75,IDGAF,Dua Lipa,Dua Lipa,Warner Music
SK - RADIO - TOP 100,2018,04,,76,Cheap Thrills,Sia,Sia,Sony Music
SK - RADIO - TOP 100,2018,04,,77,Pray For Me,The Weeknd & Kendrick Lamar,The Weeknd,Universal Music
