,hitparada,rok,tyden,pozice,track,interpret,interpret_hlavni,vydavatel
0,SK - SINGLES DIGITAL - TOP 100,2016,43,1,Starboy,The Weeknd & Daft Punk,The Weeknd,Universal Music
1,SK - SINGLES DIGITAL - TOP 100,2016,43,2,Let Me Love You,Dj Snake & Justin Bieber,Dj Snake,Universal Music
2,SK - SINGLES DIGITAL - TOP 100,2016,43,3,Closer,Chainsmokers & Halsey,Chainsmokers,Sony Music
3,SK - SINGLES DIGITAL - TOP 100,2016,43,4,The Greatest,Sia & Kendrick Lamar,Sia,Sony Music
4,SK - SINGLES DIGITAL - TOP 100,2016,43,5,My Way,Calvin Harris,Calvin Harris,Sony Music
5,SK - SINGLES DIGITAL - TOP 100,2016,43,6,Heathens,Twenty One Pilots,Twenty One Pilots,Warner Music
6,SK - SINGLES DIGITAL - TOP 100,2016,43,7,In The Name Of Love,Martin Garrix & Bebe Rexha,Martin Garrix,Sony Music
7,SK - SINGLES DIGITAL - TOP 100,2016,43,8,Cold Water,Major Lazer & Justin Bieber & Mo,Major Lazer,Warner Music
8,SK - SINGLES DIGITAL - TOP 100,2016,43,9,Perfect Strangers,Jonas Blue,Jonas Blue,Universal Music
9,SK - SINGLES DIGITAL - TOP 100,2016,43,10,Human,Rag 'n' Bone Man,Rag 'n' Bone Man,Sony Music
10,SK - SINGLES DIGITAL - TOP 100,2016,43,11,Side To Side,Ariana Grande & Nicki Minaj,Ariana Grande,Universal Music
11,SK - SINGLES DIGITAL - TOP 100,2016,43,12,Don't Wanna Know,Maroon 5 & Kendrick Lamar,Maroon 5,Universal Music
12,SK - SINGLES DIGITAL - TOP 100,2016,43,13,All We Know,Chainsmokers & Phoebe Ryan,Chainsmokers,Sony Music
13,SK - SINGLES DIGITAL - TOP 100,2016,43,14,The Ocean,Mike Perry & Shy Martin,Mike Perry,Sony Music
14,SK - SINGLES DIGITAL - TOP 100,2016,43,15,Treat You Better,Shawn Mendes,Shawn Mendes,Universal Music
15,SK - SINGLES DIGITAL - TOP 100,2016,43,16,24K Magic,Bruno Mars,Bruno Mars,Warner Music
16,SK - SINGLES DIGITAL - TOP 100,2016,43,17,Shout Out to My Ex,Little Mix,Little Mix,Sony Music
17,SK - SINGLES DIGITAL - TOP 100,2016,43,18,Sucker For Pain,Lil Wayne & Wiz Khalifa & Imagine Dragons,Lil Wayne,Warner Music
18,SK - SINGLES DIGITAL - TOP 100,2016,43,19,Final Song,Mo,Mo,Sony Music
19,SK - SINGLES DIGITAL - TOP 100,2016,43,20,Cheap Thrills,Sia,Sia,Sony Music
20,SK - SINGLES DIGITAL - TOP 100,2016,43,21,We Don't Talk Anymore,Charlie Puth & Selena Gomez,Charlie Puth,Warner Music
21,SK - SINGLES DIGITAL - TOP 100,2016,43,22,Hymn For The Weekend,Coldplay,Coldplay,Warner Music
22,SK - SINGLES DIGITAL - TOP 100,2016,43,23,Say You Won't Let Go,James Arthur,James Arthur,Sony Music
23,SK - SINGLES DIGITAL - TOP 100,2016,43,24,Ain't My Fault,Zara Larsson,Zara Larsson,Sony Music
24,SK - SINGLES DIGITAL - TOP 100,2016,43,25,Don't Let Me Down,Chainsmokers,Chainsmokers,Sony Music
25,SK - SINGLES DIGITAL - TOP 100,2016,43,26,Starving,Hailee Steinfeld & Zedd & Grey,Hailee Steinfeld,Universal Music
26,SK - SINGLES DIGITAL - TOP 100,2016,43,27,This Girl,Kungs & Cookin' On 3 Burners & Kylie Auldist,Kungs,Universal Music
27,SK - SINGLES DIGITAL - TOP 100,2016,43,28,Mercy,Shawn Mendes,Shawn Mendes,Universal Music
28,SK - SINGLES DIGITAL - TOP 100,2016,43,29,Million Reasons,Lady Gaga,Lady Gaga,Universal Music
29,SK - SINGLES DIGITAL - TOP 100,2016,43,30,Cool Girl,Tove Lo,Tove Lo,Universal Music
30,SK - SINGLES DIGITAL - TOP 100,2016,43,31,Sofia,Alvaro Soler,Alvaro Soler,Universal Music
31,SK - SINGLES DIGITAL - TOP 100,2016,43,32,Can´t Stop The Feeling!,Justin Timberlake,Justin Timberlake,Sony Music
32,SK - SINGLES DIGITAL - TOP 100,2016,43,33,False Alarm,The Weeknd,The Weeknd,Universal Music
33,SK - SINGLES DIGITAL - TOP 100,2016,43,34,Still Falling For You,Ellie Goulding,Ellie Goulding,Universal Music
34,SK - SINGLES DIGITAL - TOP 100,2016,43,35,Púšťam ťa,Kali & Peter Pann,Kali,Kali Records
35,SK - SINGLES DIGITAL - TOP 100,2016,43,36,Ride,Twenty One Pilots,Twenty One Pilots,Warner Music
36,SK - SINGLES DIGITAL - TOP 100,2016,43,37,One Dance,Drake,Drake,Universal Music
37,SK - SINGLES DIGITAL - TOP 100,2016,43,38,Into You,Ariana Grande,Ariana Grande,Universal Music
