,hitparada,rok,tyden,pozice,track,interpret,interpret_hlavni,vydavatel
0,CZ - RADIO - TOP 50 CZ,2006,1,1,Hotel California,Victoria,Victoria,Universal Music
1,CZ - RADIO - TOP 50 CZ,2006,1,2,Impossible (Unstoppable),Helena Zeťová,Helena Zeťová,Universal Music
2,CZ - RADIO - TOP 50 CZ,2006,1,3,Starosta,No Name,No Name,Universal Music
3,CZ - RADIO - TOP 50 CZ,2006,1,4,Tabáček,Chinaski,Chinaski,Universal Music
4,CZ - RADIO - TOP 50 CZ,2006,1,5,Čím To Je,No Name,No Name,Universal Music
5,CZ - RADIO - TOP 50 CZ,2006,1,6,Za Tebou,Peha,Peha,Universal Music
6,CZ - RADIO - TOP 50 CZ,2006,1,7,Island Sun,Clou,Clou,Sony Music
7,CZ - RADIO - TOP 50 CZ,2006,1,8,On My Line,Support Lesbiens,Support Lesbiens,Sony Music
8,CZ - RADIO - TOP 50 CZ,2006,1,9,Někdy stačí dát jen dech,Žbirka Miro/frühlingová Iva,Žbirka Miro,Universal Music
9,CZ - RADIO - TOP 50 CZ,2006,1,10,Vrchlabí,Chinaski,Chinaski,Universal Music
10,CZ - RADIO - TOP 50 CZ,2006,1,11,On My Head,Dan Bárta,Dan Bárta,Sony Music
11,CZ - RADIO - TOP 50 CZ,2006,1,12,Písmena,Leoš Mareš,Leoš Mareš,Universal Music
12,CZ - RADIO - TOP 50 CZ,2006,1,13,Voda živá,Aneta Langerová,Aneta Langerová,Sony Music
13,CZ - RADIO - TOP 50 CZ,2006,1,14,Pocit,Divokej Bill,Divokej Bill,Warner Music
14,CZ - RADIO - TOP 50 CZ,2006,1,15,Zrcadlení,Kryštof,Kryštof,Warner Music
15,CZ - RADIO - TOP 50 CZ,2006,1,16,Morituri te salutant,Daniel Landa,Daniel Landa,Warner Music
16,CZ - RADIO - TOP 50 CZ,2006,1,17,Cliché,Support Lesbiens,Support Lesbiens,Sony Music
17,CZ - RADIO - TOP 50 CZ,2006,1,18,Hříšná těla křídla motýlí,Aneta Langerová,Aneta Langerová,Sony Music
18,CZ - RADIO - TOP 50 CZ,2006,1,19,Noc na zemi,Anna K.,Anna K.,Universal Music
19,CZ - RADIO - TOP 50 CZ,2006,1,20,Anděl perutí máchď,Petr Bende,Petr Bende,Sony Music
20,CZ - RADIO - TOP 50 CZ,2006,1,21,Poslední dobou,Ready Kirken,Ready Kirken,Universal Music
21,CZ - RADIO - TOP 50 CZ,2006,1,22,Láska a jiná násilí,Chinaski,Chinaski,Um/mp
22,CZ - RADIO - TOP 50 CZ,2006,1,23,Vyznání,Petr Kolář,Petr Kolář,Universal Music
23,CZ - RADIO - TOP 50 CZ,2006,1,24,Už to tak vyzerá,Richard Müller,Richard Müller,Sony Music
24,CZ - RADIO - TOP 50 CZ,2006,1,25,Dokud Tě Mám,Janek Ledecký,Janek Ledecký,Pm
25,CZ - RADIO - TOP 50 CZ,2006,1,26,Co Tě Napadá,Horváth Vlastimil,Horváth Vlastimil,Sony Music
26,CZ - RADIO - TOP 50 CZ,2006,1,27,Čaje z Indie,Těžkej Pokondr,Těžkej Pokondr,Sony Music
27,CZ - RADIO - TOP 50 CZ,2006,1,28,Saint Tropez,Matuš Bohuš,Matuš Bohuš,Am
28,CZ - RADIO - TOP 50 CZ,2006,1,29,Vlčí oči,Lenka Dusilová,Lenka Dusilová,Universal Music
29,CZ - RADIO - TOP 50 CZ,2006,1,30,Stýskání,Věra Špinarová,Věra Špinarová,Supraphon
30,CZ - RADIO - TOP 50 CZ,2006,1,31,Nebuď hloupá,Savka Tomáš,Savka Tomáš,Warner Music
31,CZ - RADIO - TOP 50 CZ,2006,1,32,Srdcotepec,Aneta Langerová,Aneta Langerová,Sony Music
32,CZ - RADIO - TOP 50 CZ,2006,1,33,O kousek vedle tebe,Anna K.& Vartecký Tomáš,Anna K.& Vartecký Tomáš,Universal Music
33,CZ - RADIO - TOP 50 CZ,2006,1,34,Modlitba,Pavel Vítek,Pavel Vítek,Am
34,CZ - RADIO - TOP 50 CZ,2006,1,35,"Budu všechno,co si budeš přát",Janek Ledecký,Janek Ledecký,Universal Music
35,CZ - RADIO - TOP 50 CZ,2006,1,36,Stěny ticha,Martin Maxa,Martin Maxa,Universal Music
36,CZ - RADIO - TOP 50 CZ,2006,1,37,Když trápení je dvou,Hron Vláďa,Hron Vláďa,Universal Music
37,CZ - RADIO - TOP 50 CZ,2006,1,38,Lean On My Shoulder,Clou,Clou,Sony Music
38,CZ - RADIO - TOP 50 CZ,2006,1,39,Krasohled,Ready Kirken,Ready Kirken,Universal Music
39,CZ - RADIO - TOP 50 CZ,2006,1,40,Protestsong,Daniel Landa,Daniel Landa,Sony Music
40,CZ - RADIO - TOP 50 CZ,2006,1,41,Seš v tom sám,Brzobohatá Katka,Brzobohatá Katka,Warner Music
41,CZ - RADIO - TOP 50 CZ,2006,1,42,Pumpa,Tři Sestry,Tři Sestry,Warner Music
42,CZ - RADIO - TOP 50 CZ,2006,1,43,Oh LďAmor,Petr Muk,Petr Muk,Warner Music
43,CZ - RADIO - TOP 50 CZ,2006,1,44,Znamení,Divokej Bill,Divokej Bill,Warner Music
44,CZ - RADIO - TOP 50 CZ,2006,1,45,Jediná,Pavol Habera,Pavol Habera,Sony Music
45,CZ - RADIO - TOP 50 CZ,2006,1,46,"XXXXXXXXJeště že Tě, lásko, mám 2009 (live)",Petr Kolář,Petr Kolář,Universal Music
46,CZ - RADIO - TOP 50 CZ,2006,1,47,Srdce prodávám,Poláček Petr,Poláček Petr,Pm
47,CZ - RADIO - TOP 50 CZ,2006,1,48,Medvídek,Lucie,Lucie,Universal Music
48,CZ - RADIO - TOP 50 CZ,2006,1,49,Víra nevinná,Horváth Vlastimil,Horváth Vlastimil,Sony Music
49,CZ - RADIO - TOP 50 CZ,2006,1,50,Bratříček,Martin Maxa,Martin Maxa,Universal Music
0,CZ - RADIO - TOP 50 CZ,2006,10,1,Čím To Je,No Name,No Name,Universal Music
1,CZ - RADIO - TOP 50 CZ,2006,10,2,Impossible (Unstoppable),Helena Zeťová,Helena Zeťová,Universal Music
2,CZ - RADIO - TOP 50 CZ,2006,10,3,Vrchlabí,Chinaski,Chinaski,Universal Music
3,CZ - RADIO - TOP 50 CZ,2006,10,4,1+1,Ready Kirken,Ready Kirken,Universal Music
4,CZ - RADIO - TOP 50 CZ,2006,10,5,Hotel California,Victoria,Victoria,Universal Music
5,CZ - RADIO - TOP 50 CZ,2006,10,6,Dokud Tě Mám,Janek Ledecký,Janek Ledecký,Pm
6,CZ - RADIO - TOP 50 CZ,2006,10,7,Srdcotepec,Aneta Langerová,Aneta Langerová,Sony Music
7,CZ - RADIO - TOP 50 CZ,2006,10,8,Za Tebou,Peha,Peha,Universal Music
8,CZ - RADIO - TOP 50 CZ,2006,10,9,Síť,Divokej Bill,Divokej Bill,Warner Music
9,CZ - RADIO - TOP 50 CZ,2006,10,10,Starosta,No Name,No Name,Universal Music
10,CZ - RADIO - TOP 50 CZ,2006,10,11,Vyznání,Petr Kolář,Petr Kolář,Universal Music
11,CZ - RADIO - TOP 50 CZ,2006,10,12,Tabáček,Chinaski,Chinaski,Universal Music
12,CZ - RADIO - TOP 50 CZ,2006,10,13,Island Sun,Clou,Clou,Sony Music
13,CZ - RADIO - TOP 50 CZ,2006,10,14,Pocit,Divokej Bill,Divokej Bill,Warner Music
14,CZ - RADIO - TOP 50 CZ,2006,10,15,Morituri te salutant,Daniel Landa,Daniel Landa,Warner Music
15,CZ - RADIO - TOP 50 CZ,2006,10,16,Anděl perutí máchď,Petr Bende,Petr Bende,Sony Music
16,CZ - RADIO - TOP 50 CZ,2006,10,17,On My Head,Dan Bárta,Dan Bárta,Sony Music
17,CZ - RADIO - TOP 50 CZ,2006,10,18,Láska a jiná násilí,Chinaski,Chinaski,Um/mp
18,CZ - RADIO - TOP 50 CZ,2006,10,19,Cliché,Support Lesbiens,Support Lesbiens,Sony Music
19,CZ - RADIO - TOP 50 CZ,2006,10,20,"Láska, ta nebezpečná věc",Petr Muk,Petr Muk,Warner Music
20,CZ - RADIO - TOP 50 CZ,2006,10,21,Expert,Foret Michael,Foret Michael,Sony Music
21,CZ - RADIO - TOP 50 CZ,2006,10,22,Čaje z Indie,Těžkej Pokondr,Těžkej Pokondr,Sony Music
22,CZ - RADIO - TOP 50 CZ,2006,10,23,Jsi Volná,Petr Kolář,Petr Kolář,Universal Music
23,CZ - RADIO - TOP 50 CZ,2006,10,24,Voda živá,Aneta Langerová,Aneta Langerová,Sony Music
24,CZ - RADIO - TOP 50 CZ,2006,10,25,Ladovská zima,Jaromír Nohavica,Jaromír Nohavica,Sony Music
25,CZ - RADIO - TOP 50 CZ,2006,10,26,Vlčí oči,Lenka Dusilová,Lenka Dusilová,Universal Music
26,CZ - RADIO - TOP 50 CZ,2006,10,27,Už to tak vyzerá,Richard Müller,Richard Müller,Sony Music
27,CZ - RADIO - TOP 50 CZ,2006,10,28,Dej mi,Le Monde,Le Monde,Hfr
28,CZ - RADIO - TOP 50 CZ,2006,10,29,Stěny ticha,Martin Maxa,Martin Maxa,Universal Music
29,CZ - RADIO - TOP 50 CZ,2006,10,30,Amerika,Škwor,Škwor,Warner Music
30,CZ - RADIO - TOP 50 CZ,2006,10,31,Krasohled,Ready Kirken,Ready Kirken,Universal Music
31,CZ - RADIO - TOP 50 CZ,2006,10,32,Co Tě Napadá,Horváth Vlastimil,Horváth Vlastimil,Sony Music
32,CZ - RADIO - TOP 50 CZ,2006,10,33,Závrať,Hudček Michal,Hudček Michal,Sony Music
33,CZ - RADIO - TOP 50 CZ,2006,10,34,Víra nevinná,Horváth Vlastimil,Horváth Vlastimil,Sony Music
34,CZ - RADIO - TOP 50 CZ,2006,10,35,Protestsong,Daniel Landa,Daniel Landa,Sony Music
35,CZ - RADIO - TOP 50 CZ,2006,10,36,Pumpa,Tři Sestry,Tři Sestry,Warner Music
36,CZ - RADIO - TOP 50 CZ,2006,10,37,Jediná,Pavol Habera,Pavol Habera,Sony Music
37,CZ - RADIO - TOP 50 CZ,2006,10,38,Sníh,Richard Müller,Richard Müller,Sony Music
38,CZ - RADIO - TOP 50 CZ,2006,10,39,O kousek vedle tebe,Anna K.& Vartecký Tomáš,Anna K.& Vartecký Tomáš,Universal Music
39,CZ - RADIO - TOP 50 CZ,2006,10,40,Skvělej nápad,Aneta Langerová,Aneta Langerová,Sony Music
40,CZ - RADIO - TOP 50 CZ,2006,10,41,Saint Tropez,Matuš Bohuš,Matuš Bohuš,Am
41,CZ - RADIO - TOP 50 CZ,2006,10,42,Malování,Divokej Bill,Divokej Bill,Warner Music
42,CZ - RADIO - TOP 50 CZ,2006,10,43,Nad horu,Petr Bende,Petr Bende,Sony Music
43,CZ - RADIO - TOP 50 CZ,2006,10,44,Motel na konci světa,Savka Tomáš,Savka Tomáš,Warner Music
44,CZ - RADIO - TOP 50 CZ,2006,10,45,Až zastavíme čas,Issa Sámer,Issa Sámer,Sony Music
45,CZ - RADIO - TOP 50 CZ,2006,10,46,Není svatozář,Maya,Maya,Universal Music
46,CZ - RADIO - TOP 50 CZ,2006,10,47,Královna rannej krasy,Miro Žbirka,Miro Žbirka,Universal Music
47,CZ - RADIO - TOP 50 CZ,2006,10,48,Zákulisí,Martin Maxa,Martin Maxa,Universal Music
48,CZ - RADIO - TOP 50 CZ,2006,10,49,Láska tě spoutá,Petr Muk,Petr Muk,Warner Music
