,hitparada,rok,tyden,pozice,track,interpret,interpret_hlavni,vydavatel
0,SK - RADIO - TOP 100,2016,43,1,Sofia,Alvaro Soler,Alvaro Soler,Universal Music
1,SK - RADIO - TOP 100,2016,43,2,Don't Be So Shy,Imany,Imany,Warner Music
2,SK - RADIO - TOP 100,2016,43,3,This Girl,Kungs & Cookin' On 3 Burners & Kylie Auldist,Kungs,Universal Music
3,SK - RADIO - TOP 100,2016,43,4,Sing Me To sleep,Alan Walker,Alan Walker,Sony Music
4,SK - RADIO - TOP 100,2016,43,5,Please Tell Rosie,Alle Farben & Younotus,Alle Farben,Sony Music
5,SK - RADIO - TOP 100,2016,43,6,Treat You Better,Shawn Mendes,Shawn Mendes,Universal Music
6,SK - RADIO - TOP 100,2016,43,7,Let Me Love You,Dj Snake & Justin Bieber,Dj Snake,Universal Music
7,SK - RADIO - TOP 100,2016,43,8,Perfect Strangers,Jonas Blue,Jonas Blue,Universal Music
8,SK - RADIO - TOP 100,2016,43,9,Spirits,Strumbellas,Strumbellas,Universal Music
9,SK - RADIO - TOP 100,2016,43,10,Ain't Your Mama,Jennifer Lopez,Jennifer Lopez,Sony Music
10,SK - RADIO - TOP 100,2016,43,11,Cheap Thrills,Sia,Sia,Sony Music
11,SK - RADIO - TOP 100,2016,43,12,The Ocean,Mike Perry & Shy Martin,Mike Perry,Sony Music
12,SK - RADIO - TOP 100,2016,43,13,Lost On You,Lp,Lp,Universal Music
13,SK - RADIO - TOP 100,2016,43,14,If I Were Sorry,Frans,Frans,Sony Music
14,SK - RADIO - TOP 100,2016,43,15,Veľký sen mora,Škampi Na Žaru,Škampi Na Žaru,Nan
15,SK - RADIO - TOP 100,2016,43,16,Duele el Corazon,Enrique Iglesias & Wisin,Enrique Iglesias,Sony Music
16,SK - RADIO - TOP 100,2016,43,17,FEA,Katarína Knechtová,Katarína Knechtová,Sukuba Agency
17,SK - RADIO - TOP 100,2016,43,18,We Don't Talk Anymore,Charlie Puth & Selena Gomez,Charlie Puth,Warner Music
18,SK - RADIO - TOP 100,2016,43,19,Try Everything,Shakira,Shakira,Sony Music
19,SK - RADIO - TOP 100,2016,43,20,Stressed Out,Twenty One Pilots,Twenty One Pilots,Warner Music
20,SK - RADIO - TOP 100,2016,43,21,Still Falling For You,Ellie Goulding,Ellie Goulding,Universal Music
21,SK - RADIO - TOP 100,2016,43,22,Hymn For The Weekend,Coldplay,Coldplay,Warner Music
22,SK - RADIO - TOP 100,2016,43,23,Raging,Kygo Feat. Kodaline,Kygo,Sony Music
23,SK - RADIO - TOP 100,2016,43,24,Messin' Around,Pitbull & Enrique Iglesias,Pitbull,Sony Music
24,SK - RADIO - TOP 100,2016,43,25,Send My Love (To Your New Lover),Adele,Adele,Xl Recordings
25,SK - RADIO - TOP 100,2016,43,26,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
26,SK - RADIO - TOP 100,2016,43,27,Miracle,Julian Perretta,Julian Perretta,Sony Music
27,SK - RADIO - TOP 100,2016,43,28,Cold Water,Major Lazer & Justin Bieber & Mo,Major Lazer,Warner Music
28,SK - RADIO - TOP 100,2016,43,29,Stay,Kygo,Kygo,Sony Music
29,SK - RADIO - TOP 100,2016,43,30,I Took A Pill In Ibiza (SeeB Remix),Mike Posner,Mike Posner,Universal Music
30,SK - RADIO - TOP 100,2016,43,31,The Greatest,Sia & Kendrick Lamar,Sia,Sony Music
31,SK - RADIO - TOP 100,2016,43,32,Faded,Alan Walker,Alan Walker,Sony Music
32,SK - RADIO - TOP 100,2016,43,33,Stole The Show,Kygo,Kygo,Sony Music
33,SK - RADIO - TOP 100,2016,43,34,My Way,Calvin Harris,Calvin Harris,Sony Music
34,SK - RADIO - TOP 100,2016,43,35,Renegades,X Ambassadors,X Ambassadors,Universal Music
35,SK - RADIO - TOP 100,2016,43,36,Nothing,Lina Mayer,Lina Mayer,Lina Mayer
36,SK - RADIO - TOP 100,2016,43,37,Be The One,Dua Lipa,Dua Lipa,Warner Music
37,SK - RADIO - TOP 100,2016,43,38,Anna,I.M.T.Smile,I.M.T.Smile,Universal Music
38,SK - RADIO - TOP 100,2016,43,39,Mercy,Shawn Mendes,Shawn Mendes,Universal Music
39,SK - RADIO - TOP 100,2016,43,40,History,One Direction,One Direction,Sony Music
40,SK - RADIO - TOP 100,2016,43,41,Ain’t Nobody (Loves Me better),Felix Jaehn & Jasmine Thompson,Felix Jaehn,Universal Music
41,SK - RADIO - TOP 100,2016,43,42,Starboy,The Weeknd & Daft Punk,The Weeknd,Universal Music
42,SK - RADIO - TOP 100,2016,43,43,Catch & Release,Matt Simons,Matt Simons,Universal Music
43,SK - RADIO - TOP 100,2016,43,44,Heathens,Twenty One Pilots,Twenty One Pilots,Warner Music
44,SK - RADIO - TOP 100,2016,43,45,Fast Car,Jonas Blue & Dakota,Jonas Blue,Universal Music
45,SK - RADIO - TOP 100,2016,43,46,Closer,Chainsmokers & Halsey,Chainsmokers,Sony Music
46,SK - RADIO - TOP 100,2016,43,47,24K Magic,Bruno Mars,Bruno Mars,Warner Music
47,SK - RADIO - TOP 100,2016,43,48,Všetko alebo nič,Dara Rolins,Dara Rolins,Nan
48,SK - RADIO - TOP 100,2016,43,49,Love Yourself,Justin Bieber,Justin Bieber,Universal Music
49,SK - RADIO - TOP 100,2016,43,50,Ocean Drive,Duke Dumont,Duke Dumont,Universal Music
50,SK - RADIO - TOP 100,2016,43,51,Would I Lie To You,David Guetta  & Chris Willis,David Guetta,Warner Music
51,SK - RADIO - TOP 100,2016,43,52,Spolu,Adam Ďurica,Adam Ďurica,Universal Music
52,SK - RADIO - TOP 100,2016,43,53,Can´t Stop The Feeling!,Justin Timberlake,Justin Timberlake,Sony Music
53,SK - RADIO - TOP 100,2016,43,54,In The Name Of Love,Martin Garrix & Bebe Rexha,Martin Garrix,Sony Music
54,SK - RADIO - TOP 100,2016,43,55,Kill em with kindness,Selena Gomez,Selena Gomez,Universal Music
55,SK - RADIO - TOP 100,2016,43,56,Firestone,Kygo,Kygo,Sony Music
56,SK - RADIO - TOP 100,2016,43,57,This Town,Niall Horan,Niall Horan,Universal Music
57,SK - RADIO - TOP 100,2016,43,58,Party Like a Russian,Robbie Williams,Robbie Williams,Sony Music
58,SK - RADIO - TOP 100,2016,43,59,Love Me Like You Do,Ellie Goulding,Ellie Goulding,Universal Music
59,SK - RADIO - TOP 100,2016,43,60,Take Me To Church,Hozier,Hozier,Universal Music
60,SK - RADIO - TOP 100,2016,43,61,Sucker For Pain,Lil Wayne & Wiz Khalifa & Imagine Dragons,Lil Wayne,Warner Music
61,SK - RADIO - TOP 100,2016,43,62,Perfect Illusion,Lady Gaga,Lady Gaga,Universal Music
62,SK - RADIO - TOP 100,2016,43,63,Julia Roberts,Richard Müller,Richard Müller,Universal Music
63,SK - RADIO - TOP 100,2016,43,64,Greenlight,Pitbull & Flo Rida & Lunchmoney Lewis,Pitbull,Sony Music
64,SK - RADIO - TOP 100,2016,43,65,Bonfire,Felix Jaehn,Felix Jaehn,Universal Music
65,SK - RADIO - TOP 100,2016,43,66,Reality,Lost Frequencies & Janieck Devy,Lost Frequencies,Universal Music
66,SK - RADIO - TOP 100,2016,43,67,You Don't Know Love,Olly Murs,Olly Murs,Sony Music
67,SK - RADIO - TOP 100,2016,43,68,Dovtedy,Adam Ďurica,Adam Ďurica,Universal Music
68,SK - RADIO - TOP 100,2016,43,69,Hurts,Emeli Sandé,Emeli Sandé,Universal Music
69,SK - RADIO - TOP 100,2016,43,70,Kto dokáže,No Name & Sosr,No Name,Brainzone
70,SK - RADIO - TOP 100,2016,43,71,Breathe,Seeb,Seeb,Universal Music
71,SK - RADIO - TOP 100,2016,43,72,Ain't My Fault,Zara Larsson,Zara Larsson,Sony Music
72,SK - RADIO - TOP 100,2016,43,73,Stay With Me,Sam Smith,Sam Smith,Universal Music
73,SK - RADIO - TOP 100,2016,43,74,The Room of Ghosts,Elevenhill,Elevenhill,Elevenhill
74,SK - RADIO - TOP 100,2016,43,75,Don't You Know,Kungs,Kungs,Universal Music
75,SK - RADIO - TOP 100,2016,43,76,Mandolína,Adam Ďurica,Adam Ďurica,Universal Music
76,SK - RADIO - TOP 100,2016,43,77,Thinking Out Loud,Ed Sheeran,Ed Sheeran,Warner Music
77,SK - RADIO - TOP 100,2016,43,78,Budapest,George Ezra,George Ezra,Sony Music
78,SK - RADIO - TOP 100,2016,43,79,Cheerleader,Omi,Omi,Sony Music
79,SK - RADIO - TOP 100,2016,43,80,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
80,SK - RADIO - TOP 100,2016,43,81,Fresh Eyes,Andy Grammer,Andy Grammer,Nan
81,SK - RADIO - TOP 100,2016,43,82,Láska bombová,Kristina,Kristina,Universal Music
82,SK - RADIO - TOP 100,2016,43,83,Say Something,A Great Big World & Christina Aguilera,A Great Big World,Sony Music
83,SK - RADIO - TOP 100,2016,43,84,All Of Me,John Legend,John Legend,Sony Music
84,SK - RADIO - TOP 100,2016,43,85,Side To Side,Ariana Grande & Nicki Minaj,Ariana Grande,Universal Music
85,SK - RADIO - TOP 100,2016,43,86,Turn Me On,Carmel Paradise,Carmel Paradise,Nan
86,SK - RADIO - TOP 100,2016,43,87,Hotter Than Hell,Dua Lipa,Dua Lipa,Warner Music
87,SK - RADIO - TOP 100,2016,43,88,I Was Wrong,Celeste Buckingham & Majk Spirit,Celeste Buckingham,Nan
88,SK - RADIO - TOP 100,2016,43,89,Supergirl,Anna Naklab & Alle Farben & Younotus,Anna Naklab,Sony Music
89,SK - RADIO - TOP 100,2016,43,90,Hello,Adele,Adele,Nan
90,SK - RADIO - TOP 100,2016,43,91,Impossible,James Arthur,James Arthur,Sony Music
91,SK - RADIO - TOP 100,2016,43,92,Body Say,Demi Lovato,Demi Lovato,Universal Music
92,SK - RADIO - TOP 100,2016,43,93,Toothbrush,Dnce,Dnce,Universal Music
93,SK - RADIO - TOP 100,2016,43,94,Smile,Emma Drobná,Emma Drobná,Warner Music
94,SK - RADIO - TOP 100,2016,43,95,All In My Head,Fifth Harmony & Fetty Wap,Fifth Harmony,Sony Music
95,SK - RADIO - TOP 100,2016,43,96,Don't Wanna Know,Maroon 5 & Kendrick Lamar,Maroon 5,Universal Music
96,SK - RADIO - TOP 100,2016,43,97,Cool Girl,Tove Lo,Tove Lo,Universal Music
97,SK - RADIO - TOP 100,2016,43,98,Happy,Pharrell Williams,Pharrell Williams,Sony Music
98,SK - RADIO - TOP 100,2016,43,99,Si sám,Tina,Tina,Warner Music
99,SK - RADIO - TOP 100,2016,43,100,Stitches,Shawn Mendes,Shawn Mendes,Universal Music
100,SK - RADIO - TOP 100,2016,44,1,Don't Be So Shy,Imany,Imany,Warner Music
101,SK - RADIO - TOP 100,2016,44,2,Please Tell Rosie,Alle Farben & Younotus,Alle Farben,Sony Music
102,SK - RADIO - TOP 100,2016,44,3,Sofia,Alvaro Soler,Alvaro Soler,Universal Music
103,SK - RADIO - TOP 100,2016,44,4,This Girl,Kungs & Cookin' On 3 Burners & Kylie Auldist,Kungs,Universal Music
104,SK - RADIO - TOP 100,2016,44,5,Sing Me To sleep,Alan Walker,Alan Walker,Sony Music
105,SK - RADIO - TOP 100,2016,44,6,Treat You Better,Shawn Mendes,Shawn Mendes,Universal Music
106,SK - RADIO - TOP 100,2016,44,7,Let Me Love You,Dj Snake & Justin Bieber,Dj Snake,Universal Music
107,SK - RADIO - TOP 100,2016,44,8,Perfect Strangers,Jonas Blue,Jonas Blue,Universal Music
108,SK - RADIO - TOP 100,2016,44,9,Spirits,Strumbellas,Strumbellas,Universal Music
109,SK - RADIO - TOP 100,2016,44,10,The Ocean,Mike Perry & Shy Martin,Mike Perry,Sony Music
110,SK - RADIO - TOP 100,2016,44,11,FEA,Katarína Knechtová,Katarína Knechtová,Sukuba Agency
111,SK - RADIO - TOP 100,2016,44,12,If I Were Sorry,Frans,Frans,Sony Music
112,SK - RADIO - TOP 100,2016,44,13,Ain't Your Mama,Jennifer Lopez,Jennifer Lopez,Sony Music
113,SK - RADIO - TOP 100,2016,44,14,Cheap Thrills,Sia,Sia,Sony Music
114,SK - RADIO - TOP 100,2016,44,15,Lost On You,Lp,Lp,Universal Music
115,SK - RADIO - TOP 100,2016,44,16,Try Everything,Shakira,Shakira,Sony Music
116,SK - RADIO - TOP 100,2016,44,17,Veľký sen mora,Škampi Na Žaru,Škampi Na Žaru,Nan
117,SK - RADIO - TOP 100,2016,44,18,Stressed Out,Twenty One Pilots,Twenty One Pilots,Warner Music
118,SK - RADIO - TOP 100,2016,44,19,Still Falling For You,Ellie Goulding,Ellie Goulding,Universal Music
119,SK - RADIO - TOP 100,2016,44,20,Raging,Kygo Feat. Kodaline,Kygo,Sony Music
120,SK - RADIO - TOP 100,2016,44,21,Send My Love (To Your New Lover),Adele,Adele,Xl Recordings
121,SK - RADIO - TOP 100,2016,44,22,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
122,SK - RADIO - TOP 100,2016,44,23,We Don't Talk Anymore,Charlie Puth & Selena Gomez,Charlie Puth,Warner Music
123,SK - RADIO - TOP 100,2016,44,24,Nothing,Lina Mayer,Lina Mayer,Lina Mayer
124,SK - RADIO - TOP 100,2016,44,25,Messin' Around,Pitbull & Enrique Iglesias,Pitbull,Sony Music
125,SK - RADIO - TOP 100,2016,44,26,Miracle,Julian Perretta,Julian Perretta,Sony Music
126,SK - RADIO - TOP 100,2016,44,27,Všetko alebo nič,Dara Rolins,Dara Rolins,Nan
127,SK - RADIO - TOP 100,2016,44,28,Cold Water,Major Lazer & Justin Bieber & Mo,Major Lazer,Warner Music
128,SK - RADIO - TOP 100,2016,44,29,The Greatest,Sia & Kendrick Lamar,Sia,Sony Music
129,SK - RADIO - TOP 100,2016,44,30,Hymn For The Weekend,Coldplay,Coldplay,Warner Music
130,SK - RADIO - TOP 100,2016,44,31,Duele el Corazon,Enrique Iglesias & Wisin,Enrique Iglesias,Sony Music
131,SK - RADIO - TOP 100,2016,44,32,My Way,Calvin Harris,Calvin Harris,Sony Music
132,SK - RADIO - TOP 100,2016,44,33,History,One Direction,One Direction,Sony Music
133,SK - RADIO - TOP 100,2016,44,34,I Took A Pill In Ibiza (SeeB Remix),Mike Posner,Mike Posner,Universal Music
134,SK - RADIO - TOP 100,2016,44,35,Stole The Show,Kygo,Kygo,Sony Music
135,SK - RADIO - TOP 100,2016,44,36,Faded,Alan Walker,Alan Walker,Sony Music
136,SK - RADIO - TOP 100,2016,44,37,Be The One,Dua Lipa,Dua Lipa,Warner Music
137,SK - RADIO - TOP 100,2016,44,38,Renegades,X Ambassadors,X Ambassadors,Universal Music
138,SK - RADIO - TOP 100,2016,44,39,Stay,Kygo,Kygo,Sony Music
139,SK - RADIO - TOP 100,2016,44,40,Anna,I.M.T.Smile,I.M.T.Smile,Universal Music
140,SK - RADIO - TOP 100,2016,44,41,Would I Lie To You,David Guetta  & Chris Willis,David Guetta,Warner Music
141,SK - RADIO - TOP 100,2016,44,42,Kill em with kindness,Selena Gomez,Selena Gomez,Universal Music
142,SK - RADIO - TOP 100,2016,44,43,Dovtedy,Adam Ďurica,Adam Ďurica,Universal Music
143,SK - RADIO - TOP 100,2016,44,44,Closer,Chainsmokers & Halsey,Chainsmokers,Sony Music
144,SK - RADIO - TOP 100,2016,44,45,Heathens,Twenty One Pilots,Twenty One Pilots,Warner Music
145,SK - RADIO - TOP 100,2016,44,46,Mercy,Shawn Mendes,Shawn Mendes,Universal Music
146,SK - RADIO - TOP 100,2016,44,47,Starboy,The Weeknd & Daft Punk,The Weeknd,Universal Music
147,SK - RADIO - TOP 100,2016,44,48,24K Magic,Bruno Mars,Bruno Mars,Warner Music
148,SK - RADIO - TOP 100,2016,44,49,Can´t Stop The Feeling!,Justin Timberlake,Justin Timberlake,Sony Music
149,SK - RADIO - TOP 100,2016,44,50,Don't You Need Somebody,Redone,Redone,Nan
150,SK - RADIO - TOP 100,2016,44,51,Grow Up,Olly Murs,Olly Murs,Sony Music
151,SK - RADIO - TOP 100,2016,44,52,In The Name Of Love,Martin Garrix & Bebe Rexha,Martin Garrix,Sony Music
152,SK - RADIO - TOP 100,2016,44,53,Láska bombová,Kristina,Kristina,Universal Music
153,SK - RADIO - TOP 100,2016,44,54,This Town,Niall Horan,Niall Horan,Universal Music
154,SK - RADIO - TOP 100,2016,44,55,Perfect Illusion,Lady Gaga,Lady Gaga,Universal Music
155,SK - RADIO - TOP 100,2016,44,56,Greenlight,Pitbull & Flo Rida & Lunchmoney Lewis,Pitbull,Sony Music
156,SK - RADIO - TOP 100,2016,44,57,Kids,Onerepublic,Onerepublic,Universal Music
157,SK - RADIO - TOP 100,2016,44,58,Party Like a Russian,Robbie Williams,Robbie Williams,Sony Music
158,SK - RADIO - TOP 100,2016,44,59,Catch & Release,Matt Simons,Matt Simons,Universal Music
159,SK - RADIO - TOP 100,2016,44,60,Unikát,Mária Čírová,Mária Čírová,Street Production
160,SK - RADIO - TOP 100,2016,44,61,Bonfire,Felix Jaehn,Felix Jaehn,Universal Music
161,SK - RADIO - TOP 100,2016,44,62,Goldmine,Colbie Caillat,Colbie Caillat,Nan
162,SK - RADIO - TOP 100,2016,44,63,Sucker For Pain,Lil Wayne & Wiz Khalifa & Imagine Dragons,Lil Wayne,Warner Music
163,SK - RADIO - TOP 100,2016,44,64,Hotter Than Hell,Dua Lipa,Dua Lipa,Warner Music
164,SK - RADIO - TOP 100,2016,44,65,Fast Car,Jonas Blue & Dakota,Jonas Blue,Universal Music
165,SK - RADIO - TOP 100,2016,44,66,Keď sme sami,Hex,Hex,Clockwise
