,hitparada,rok,mesic,pozice,track,interpret,interpret_hlavni,vydavatel
361517,SK - RADIO - TOP 50 SK,2016,11,1,FEA,Katarína Knechtová,Katarína Knechtová,Sukuba Agency
361518,SK - RADIO - TOP 50 SK,2016,11,2,Dovtedy,Adam Ďurica,Adam Ďurica,Universal Music
361519,SK - RADIO - TOP 50 SK,2016,11,3,Veľký sen mora,Škampi Na Žaru,Škampi Na Žaru,Nan
361520,SK - RADIO - TOP 50 SK,2016,11,4,Všetko alebo nič,Dara Rolins,Dara Rolins,Nan
361521,SK - RADIO - TOP 50 SK,2016,11,5,Anna,I.m.t.smile,I.m.t.smile,Universal Music
361522,SK - RADIO - TOP 50 SK,2016,11,6,Smile,Emma Drobná,Emma Drobná,Warner Music
361523,SK - RADIO - TOP 50 SK,2016,11,7,Láska bombová,Kristina,Kristina,Universal Music
361524,SK - RADIO - TOP 50 SK,2016,11,8,Púšťam ťa,Kali & Peter Pann,Kali,Kali Records
361525,SK - RADIO - TOP 50 SK,2016,11,9,Keď sme sami,Hex,Hex,Clockwise
361526,SK - RADIO - TOP 50 SK,2016,11,10,Nothing,Lina Mayer,Lina Mayer,Lina Mayer
361527,SK - RADIO - TOP 50 SK,2016,11,11,Unikát,Mária Čírová,Mária Čírová,Street Production
361528,SK - RADIO - TOP 50 SK,2016,11,12,Kto dokáže,No Name & Sosr,No Name,Brainzone
361529,SK - RADIO - TOP 50 SK,2016,11,13,Papierové kone,Nocadeň,Nocadeň,Warner Music
361530,SK - RADIO - TOP 50 SK,2016,11,14,Klidná jako voda,Jelen,Jelen,Singlton/universal Music
361531,SK - RADIO - TOP 50 SK,2016,11,15,Cesty II. triedy,Ivan Tásler & Imt Smile,Ivan Tásler,Universal Music
361532,SK - RADIO - TOP 50 SK,2016,11,16,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
361533,SK - RADIO - TOP 50 SK,2016,11,17,Neľutujem,Adam Ďurica,Adam Ďurica,Universal Music
361534,SK - RADIO - TOP 50 SK,2016,11,18,The Room of Ghosts,Elevenhill,Elevenhill,Elevenhill
361535,SK - RADIO - TOP 50 SK,2016,11,19,Mandolína,Adam Ďurica,Adam Ďurica,Universal Music
361536,SK - RADIO - TOP 50 SK,2016,11,20,Slová,Martin Brečko,Martin Brečko,Nan
361537,SK - RADIO - TOP 50 SK,2016,11,21,Pokoj v duši,Jana Kirschner,Jana Kirschner,Wm/forza
361538,SK - RADIO - TOP 50 SK,2016,11,22,Spolu,Adam Ďurica,Adam Ďurica,Universal Music
361539,SK - RADIO - TOP 50 SK,2016,11,23,V blbým věku,Xindl X,Xindl X,Universal Music
361540,SK - RADIO - TOP 50 SK,2016,11,24,Hvězda,Aneta Langerová,Aneta Langerová,Art Shock/supraphon
361541,SK - RADIO - TOP 50 SK,2016,11,25,"Nebo, peklo, raj",Dara Rolins & Tomi Popovič,Dara Rolins,Hm/emi
361542,SK - RADIO - TOP 50 SK,2016,11,26,Julia Roberts,Richard Müller,Richard Müller,Universal Music
361543,SK - RADIO - TOP 50 SK,2016,11,27,V dobrom aj v zlom,Zuzana Smatanová,Zuzana Smatanová,Pandora Art
361544,SK - RADIO - TOP 50 SK,2016,11,28,Anjel,Desmod,Desmod,Orpheus Production
361545,SK - RADIO - TOP 50 SK,2016,11,29,Popelka,Xindl X,Xindl X,Universal Music
361546,SK - RADIO - TOP 50 SK,2016,11,30,I'm Not Sorry,Celeste Buckingham,Celeste Buckingham,Nan
361547,SK - RADIO - TOP 50 SK,2016,11,31,Jazda,Kali,Kali,Kali Records
361548,SK - RADIO - TOP 50 SK,2016,11,32,Naveky,Katarína Knechtová,Katarína Knechtová,Sukuba Agency
361549,SK - RADIO - TOP 50 SK,2016,11,33,Let Me,Dj Chingy & Mišo Biely,Dj Chingy,Nan
361550,SK - RADIO - TOP 50 SK,2016,11,34,Run Run Run,Celeste Buckingham,Celeste Buckingham,Nan
361551,SK - RADIO - TOP 50 SK,2016,11,35,Medzitým,Instinct,Instinct,Warner Music
361552,SK - RADIO - TOP 50 SK,2016,11,36,Miesta,Zuzana Smatanová & Adam Ďurica,Zuzana Smatanová,Nan
361553,SK - RADIO - TOP 50 SK,2016,11,37,Hey Now,Peter Bič Project,Peter Bič Project,Universal Music
361554,SK - RADIO - TOP 50 SK,2016,11,38,Ta ne,Kristina,Kristina,Spinaker
361555,SK - RADIO - TOP 50 SK,2016,11,39,Personal Sky,Lina Mayer,Lina Mayer,Nan
361556,SK - RADIO - TOP 50 SK,2016,11,40,Neriešme,Ego & Monika Bagárová,Ego,Nan
361557,SK - RADIO - TOP 50 SK,2016,11,41,It's You,Drozďo & Demex,Drozďo,Nan
361558,SK - RADIO - TOP 50 SK,2016,11,42,Si sám,Tina,Tina,Warner Music
361559,SK - RADIO - TOP 50 SK,2016,11,43,Cesta,Kryštof & Tomáš Klus,Kryštof,Universal Music
361560,SK - RADIO - TOP 50 SK,2016,11,44,Horou,Zuzana Smatanová,Zuzana Smatanová,Pandora Art
361561,SK - RADIO - TOP 50 SK,2016,11,45,Say My Name,Peter Bažík,Peter Bažík,Nan
361562,SK - RADIO - TOP 50 SK,2016,11,46,Neverili nám,Elpe,Elpe,Galgan Music
361563,SK - RADIO - TOP 50 SK,2016,11,47,#Heygirl,Šorty & Adiss & Elpe,Šorty,Nan
361564,SK - RADIO - TOP 50 SK,2016,11,48,Molýľ Hlavolam,Katarína Knechtová,Katarína Knechtová,Nan
361565,SK - RADIO - TOP 50 SK,2016,11,49,Obchodník s deštěm,Kryštof,Kryštof,Warner Music
361566,SK - RADIO - TOP 50 SK,2016,11,50,Daydream,Laris Diam,Laris Diam,Nan
361767,SK - RADIO - TOP 50 SK,2016,12,1,FEA,Katarína Knechtová,Katarína Knechtová,Sukuba Agency
361768,SK - RADIO - TOP 50 SK,2016,12,2,Dovtedy,Adam Ďurica,Adam Ďurica,Universal Music
361769,SK - RADIO - TOP 50 SK,2016,12,3,Papierové kone,Nocadeň,Nocadeň,Warner Music
361770,SK - RADIO - TOP 50 SK,2016,12,4,Chlap z kríža,Škampi Na Žaru,Škampi Na Žaru,Nan
361771,SK - RADIO - TOP 50 SK,2016,12,5,Veľký sen mora,Škampi Na Žaru,Škampi Na Žaru,Nan
361772,SK - RADIO - TOP 50 SK,2016,12,6,Chýbanie,Desmod,Desmod,Orpheus Production
361773,SK - RADIO - TOP 50 SK,2016,12,7,Smile,Emma Drobná,Emma Drobná,Warner Music
361774,SK - RADIO - TOP 50 SK,2016,12,8,Svätojánske mušky,Sima Martausová & Richard Müller,Sima Martausová,Nan
361775,SK - RADIO - TOP 50 SK,2016,12,9,Klidná jako voda,Jelen,Jelen,Singlton/universal Music
361776,SK - RADIO - TOP 50 SK,2016,12,10,Púšťam ťa,Kali & Peter Pann,Kali,Kali Records
361777,SK - RADIO - TOP 50 SK,2016,12,11,Každý deň budú vraj Vianoce,Lojzo & Miro Žbirka,Lojzo,Opus
361778,SK - RADIO - TOP 50 SK,2016,12,12,Keď sme sami,Hex,Hex,Clockwise
361779,SK - RADIO - TOP 50 SK,2016,12,13,Všetko alebo nič,Dara Rolins,Dara Rolins,Nan
361780,SK - RADIO - TOP 50 SK,2016,12,14,Unikát,Mária Čírová,Mária Čírová,Street Production
361781,SK - RADIO - TOP 50 SK,2016,12,15,V blbým věku,Xindl X,Xindl X,Universal Music
361782,SK - RADIO - TOP 50 SK,2016,12,16,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
361783,SK - RADIO - TOP 50 SK,2016,12,17,My Last Song,Celeste Buckingham,Celeste Buckingham,Nan
361784,SK - RADIO - TOP 50 SK,2016,12,18,Mandolína,Adam Ďurica,Adam Ďurica,Universal Music
361785,SK - RADIO - TOP 50 SK,2016,12,19,Horou,Zuzana Smatanová,Zuzana Smatanová,Pandora Art
361786,SK - RADIO - TOP 50 SK,2016,12,20,Anna,I.m.t.smile,I.m.t.smile,Universal Music
361787,SK - RADIO - TOP 50 SK,2016,12,21,Spolu,Adam Ďurica,Adam Ďurica,Universal Music
361788,SK - RADIO - TOP 50 SK,2016,12,22,Pokoj v duši,Jana Kirschner,Jana Kirschner,Wm/forza
361789,SK - RADIO - TOP 50 SK,2016,12,23,All I Can See,Šorty,Šorty,Nan
361790,SK - RADIO - TOP 50 SK,2016,12,24,Lighthouse,Nina Kraljič,Nina Kraljič,Universal Music
361791,SK - RADIO - TOP 50 SK,2016,12,25,The Room of Ghosts,Elevenhill,Elevenhill,Elevenhill
361792,SK - RADIO - TOP 50 SK,2016,12,26,Biela krása,No Name,No Name,Sony Music
361793,SK - RADIO - TOP 50 SK,2016,12,27,Si sám,Tina,Tina,Warner Music
361794,SK - RADIO - TOP 50 SK,2016,12,28,I Was Wrong,Celeste Buckingham & Majk Spirit,Celeste Buckingham,Nan
