hitparada,rok,tyden,week,pozice,track,interpret,interpret_hlavni,vydavatel
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,16,Křídla z mýdla,Kryštof/Jaromír Nohavica,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,17,Toulavá,Sebastian,Sebastian,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,18,Brouci,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,19,Pláštěnky,Nebe,Nebe,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,20,Tráva,Aneta Langerová,Aneta Langerová,Art Shock/Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,21,Lhůta záruční,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,22,Burlaci,Kabát,Kabát,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,23,Každý ráno,Chinaski,Chinaski,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,24,Polety,Atmo Music,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,25,Každé ráno,Kryštof,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,26,Spolu,Ondřej Brzobohatý,Ondřej Brzobohatý,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,27,V naší ulici,Voxel,Voxel,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,28,Záchranný bod,Sebastian,Sebastian,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,29,Nadčasová,Tata Bojs,Tata Bojs,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,30,Gastronaut,Tata Bojs,Tata Bojs,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,31,Víno,Chinaski,Chinaski,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,32,Co bylo dál?,Jelen & Jana Kirschner,Jelen,Singlton/Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,33,Inzerát,Kryštof,Kryštof,Um/Richrec
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,34,Zatančím,Kryštof,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,35,Atentát,Kryštof,Kryštof,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,36,Zakázané uvolnění,Michal Hrůza,Michal Hrůza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,37,Bones,Lenny,Lenny,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,38,Barbína,Xindl X,Xindl X,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,39,Magdaléna,Jelen,Jelen,Singlton/Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,40,Sweet Chilli,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,41,Hlavolam,Chinaski,Chinaski,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,42,GenerácYa,Majk Spirit,Majk Spirit,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,43,Plán,Kryštof,Kryštof,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,44,Ráno,Michal Hrůza,Michal Hrůza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,45,Římská,Kryštof,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,46,Jelen,Jelen,Jelen,Singlton/Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,47,Dívka,Aneta Langerová,Aneta Langerová,Art Shock/Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,48,Panna,Aneta Langerová,Aneta Langerová,Art Shock/Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,49,Tragédie u nás na vsi,Aneta Langerová,Aneta Langerová,Art Shock/Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,50,Žijeme len raz,Ego Feat. Robert Burian,Ego,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,1,Ty a já,Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,2,Katarze,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,3,Nafrněná,Barbora Poláková,Barbora Poláková,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,4,Primetime,Majk Spirit,Majk Spirit,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,5,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,6,Celibát,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,7,Ráno,Atmo Music & Jakub Děkan,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,8,Každý ráno,Chinaski,Chinaski,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,9,Toulavá,Sebastian,Sebastian,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,10,Srdcebeat,Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,11,Lhůta záruční,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,12,Záchranný bod,Sebastian,Sebastian,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,13,Cesta,Kryštof & Tomáš Klus,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,14,Cesta z města,Mirai,Mirai,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,15,Sonda,Tata Bojs,Tata Bojs,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,16,Terapeut,Pavel Callta,Pavel Callta,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,17,Brouci,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,18,Sweet Chilli,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,19,Víno,Chinaski,Chinaski,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,20,V blbým věku,Xindl X,Xindl X,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,21,Let It Go,James Bay,James Bay,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,22,Zakázané uvolnění,Michal Hrůza,Michal Hrůza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,23,Těžký váhy,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,24,Polety,Atmo Music,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,25,Láska & hvězdy,Chinaski,Chinaski,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,26,Co bylo dál?,Jelen & Jana Kirschner,Jelen,Singlton/Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,27,Křídla z mýdla,Kryštof/Jaromír Nohavica,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,28,Peníze,Ektor & Rytmus,Ektor,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,29,Gastronaut,Tata Bojs,Tata Bojs,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,30,Pláštěnky,Nebe,Nebe,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,31,Svaz českých bohémů,Wohnout,Wohnout,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,32,Instagram,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,33,GenerácYa,Majk Spirit,Majk Spirit,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,34,Hlavolam,Chinaski,Chinaski,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,35,Tělo,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,36,Inzerát,Kryštof,Kryštof,Um/Richrec
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,37,Sampuss,Majk Spirit,Majk Spirit,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,38,Andělé,Atmo Music,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,39,Ženy treba ľúbiť,Majk Spirit,Majk Spirit,Sony Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,40,Jelen,Jelen,Jelen,Singlton/Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,41,Magdaléna,Jelen,Jelen,Singlton/Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,42,I Have No Inspiration,Thom Artway,Thom Artway,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,43,Jak jinak,Ektor,Ektor,Detektor/Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,44,Nadčasová,Tata Bojs,Tata Bojs,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,45,Ráno,Michal Hrůza,Michal Hrůza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,46,Vloupám se,O5 & Radeček Feat. Mária Čírová,O5,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,47,Hladina,Paulie Garand & Kenny Rough Feat. Lenny,Paulie Garand,Ty Nikdy / Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,48,Byla to láska,David Michal a Lucie Vondráčková,David Michal,Sony Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,49,Každé ráno,Kryštof,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2015-45,50,Víno je grunt,Ewa Farna & František Segrado,Ewa Farna,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,1,Katarze,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,2,Ty a já,Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,3,Etikety,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,4,Vstříc nekonečnům,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,5,Pozice off,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,6,Atrakce,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,7,Celibát,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,8,Fáze pád,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,9,V dešti zášti,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,10,Lhůta záruční,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,11,Pouta,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,12,Nafrněná,Barbora Poláková,Barbora Poláková,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,13,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,14,Me & The Rythm,Selena Gomez,Selena Gomez,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,15,Primetime,Majk Spirit,Majk Spirit,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,16,All My Friends,Snakehips,Snakehips,Sony Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,17,Každý ráno,Chinaski,Chinaski,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,18,Ráno,Atmo Music & Jakub Děkan,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,19,Cesta,Kryštof & Tomáš Klus,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,20,Toulavá,Sebastian,Sebastian,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,21,Záchranný bod,Sebastian,Sebastian,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,22,Sonda,Tata Bojs,Tata Bojs,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,23,Terapeut,Pavel Callta,Pavel Callta,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,24,V blbým věku,Xindl X,Xindl X,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,25,Srdcebeat,Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,26,Víno,Chinaski,Chinaski,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,27,Brouci,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,28,Těžký váhy,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,29,Polety,Atmo Music,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,30,Cesta z města,Mirai,Mirai,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,31,Sweet Chilli,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,32,Let It Go,James Bay,James Bay,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,33,Křídla z mýdla,Kryštof/Jaromír Nohavica,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,34,Peníze,Ektor & Rytmus,Ektor,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,35,Gastronaut,Tata Bojs,Tata Bojs,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,36,Hlavolam,Chinaski,Chinaski,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,37,Zakázané uvolnění,Michal Hrůza,Michal Hrůza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,38,Láska & hvězdy,Chinaski,Chinaski,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,39,GenerácYa,Majk Spirit,Majk Spirit,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,40,Instagram,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,41,Co bylo dál?,Jelen & Jana Kirschner,Jelen,Singlton/Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,42,Tělo,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,43,Pláštěnky,Nebe,Nebe,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,44,Andělé,Atmo Music,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,45,Nadčasová,Tata Bojs,Tata Bojs,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,46,Ženy treba ľúbiť,Majk Spirit,Majk Spirit,Sony Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,47,Inzerát,Kryštof,Kryštof,Um/Richrec
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,48,Zloděj roku,Johny Machette & Gabriela Heclová,Johny Machette,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,49,Na střeše města,Atmo Music,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,46,2015-46,50,Sampuss,Majk Spirit,Majk Spirit,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,1,Katarze,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,2,Etikety,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,3,Vstříc nekonečnům,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,4,Celibát,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,5,Pozice off,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,6,Atrakce,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,7,Fáze pád,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,8,V dešti zášti,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,9,Lhůta záruční,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,10,Ty a já,Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,11,Pouta,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,12,Me & The Rythm,Selena Gomez,Selena Gomez,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,13,Nafrněná,Barbora Poláková,Barbora Poláková,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,14,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,15,Primetime,Majk Spirit,Majk Spirit,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,16,All My Friends,Snakehips,Snakehips,Sony Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,17,Brouci,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,18,Ráno,Atmo Music & Jakub Děkan,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,19,Travolta,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,20,Toulavá,Sebastian,Sebastian,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,21,Jaguár na krku,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,22,Cesta,Kryštof & Tomáš Klus,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,23,Záchranný bod,Sebastian,Sebastian,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,24,Všechno je trapný,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,25,Ona se smála,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,26,Marmeláda,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,27,Každý ráno,Chinaski,Chinaski,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,28,Je mi to líto,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,29,V blbým věku,Xindl X,Xindl X,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,30,Nemůžu si dovolit,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,31,Potmě jsou všechny kočky černý,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,32,Terapeut,Pavel Callta,Pavel Callta,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,33,Víno,Chinaski,Chinaski,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,34,Sweet Chilli,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,35,Těžký váhy,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,36,Srdcebeat,Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,37,Polety,Atmo Music,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,38,Cesta z města,Mirai,Mirai,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,39,Co bylo dál?,Jelen & Jana Kirschner,Jelen,Singlton/Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,40,Peníze,Ektor & Rytmus,Ektor,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,41,Pláštěnky,Nebe,Nebe,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,42,Zakázané uvolnění,Michal Hrůza,Michal Hrůza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,43,Láska & hvězdy,Chinaski,Chinaski,Brainzone
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,44,Instagram,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,45,Sonda,Tata Bojs,Tata Bojs,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,46,Let It Go,James Bay,James Bay,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,47,Tělo,Ben Cristovao,Ben Cristovao,Championship Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,48,Andělé,Atmo Music,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,49,Křídla z mýdla,Kryštof/Jaromír Nohavica,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,47,2015-47,50,GenerácYa,Majk Spirit,Majk Spirit,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,48,2015-48,1,Katarze,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,48,2015-48,2,Ty a já,Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,48,2015-48,3,All My Friends,Snakehips,Snakehips,Sony Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,48,2015-48,4,Boomerang,Paulie Garand & Kenny Rough,Paulie Garand,Ty Nikdy Records
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,48,2015-48,5,Nafrněná,Barbora Poláková,Barbora Poláková,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,48,2015-48,6,Celibát,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,48,2015-48,7,Primetime,Majk Spirit,Majk Spirit,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,48,2015-48,8,Vstříc nekonečnům,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,48,2015-48,9,Etikety,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,48,2015-48,10,Brouci,Mandrage,Mandrage,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,48,2015-48,11,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
