hitparada,rok,tyden,week,pozice,track,interpret,interpret_hlavni,vydavatel
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,1,Ty a já,Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,2,Katarze,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,3,Nafrněná,Barbora Poláková,Barbora Poláková,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,4,Primetime,Majk Spirit,Majk Spirit,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,5,Celibát,Slza,Slza,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,6,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,7,Cesta z města,Mirai,Mirai,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,8,Ráno,Atmo Music & Jakub Děkan,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,9,Srdcebeat,Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,10,Sonda,Tata Bojs,Tata Bojs,Supraphon
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,11,Peníze,Ektor & Rytmus,Ektor,Nan
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,12,Andělé,Atmo Music,Atmo Music,Warner Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,13,Fair Play,Miro Žbirka,Miro Žbirka,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,14,Cesta,Kryštof & Tomáš Klus,Kryštof,Universal Music
CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2015-44,15,V blbým věku,Xindl X,Xindl X,Universal Music
