,hitparada,rok,tyden,pozice,album,interpret,interpret_hlavni,vydavatel
190039,CZ - ALBUMS CLASSICAL - TOP 10,2006,50,2,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190040,CZ - ALBUMS CLASSICAL - TOP 10,2006,50,3,Mozart - Best Of Mozart,Různí,Různí,Supraphon
190041,CZ - ALBUMS CLASSICAL - TOP 10,2006,50,4,Dvořák/Suk - Díla pro housle a klavír,Šporcl/jiříkovský,Šporcl,Supraphon
190042,CZ - ALBUMS CLASSICAL - TOP 10,2006,50,5,"Brahms - Klavírní koncerty 1 d moll, 2 B dur",Čf/bělohlávek,Čf,Supraphon
190043,CZ - ALBUMS CLASSICAL - TOP 10,2006,50,6,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
190044,CZ - ALBUMS CLASSICAL - TOP 10,2006,50,7,Nápoj lásky  DVD,Donizetti/eschwe,Donizetti,Warner Music
190045,CZ - ALBUMS CLASSICAL - TOP 10,2006,50,8,Sub olea pacis et palma virtutis,Zelenka/štryncl,Zelenka,Supraphon
190046,CZ - ALBUMS CLASSICAL - TOP 10,2006,50,9,Bach - Cello suites 1-6,Bárta Jiří/j.s.bach,Bárta Jiří,Supraphon
190047,CZ - ALBUMS CLASSICAL - TOP 10,2006,50,10,Dvořák - Requiem,Čf/sawallisch,Čf,Supraphon
190048,CZ - ALBUMS CLASSICAL - TOP 10,2006,5152,1,Mozart - Best Of Mozart,Různí,Různí,Supraphon
190049,CZ - ALBUMS CLASSICAL - TOP 10,2006,5152,2,Arias,Kožená/mozart,Kožená,Universal Music
190050,CZ - ALBUMS CLASSICAL - TOP 10,2006,5152,3,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190051,CZ - ALBUMS CLASSICAL - TOP 10,2006,5152,4,Dvořák/Suk - Díla pro housle a klavír,Šporcl/jiříkovský,Šporcl,Supraphon
190052,CZ - ALBUMS CLASSICAL - TOP 10,2006,5152,5,Piano & Cello Concert,Bárta Jiří/a.dvořák,Bárta Jiří,Supraphon
190053,CZ - ALBUMS CLASSICAL - TOP 10,2006,5152,6,Bach - Cello suites 1-6,Bárta Jiří/j.s.bach,Bárta Jiří,Supraphon
190054,CZ - ALBUMS CLASSICAL - TOP 10,2006,5152,7,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
190055,CZ - ALBUMS CLASSICAL - TOP 10,2006,5152,8,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190056,CZ - ALBUMS CLASSICAL - TOP 10,2006,5152,9,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
190057,CZ - ALBUMS CLASSICAL - TOP 10,2006,5152,10,Dvořák - Requiem,Čf/sawallisch,Čf,Supraphon
190058,CZ - ALBUMS CLASSICAL - TOP 10,2007,1,1,Arias,Kožená/mozart,Kožená,Universal Music
190059,CZ - ALBUMS CLASSICAL - TOP 10,2007,1,2,Mozart - Best Of Mozart,Různí,Různí,Supraphon
190060,CZ - ALBUMS CLASSICAL - TOP 10,2007,1,3,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190061,CZ - ALBUMS CLASSICAL - TOP 10,2007,1,4,Dvořák/Suk - Díla pro housle a klavír,Šporcl/jiříkovský,Šporcl,Supraphon
190062,CZ - ALBUMS CLASSICAL - TOP 10,2007,1,5,Sub olea pacis et palma virtutis,Zelenka/štryncl,Zelenka,Supraphon
190063,CZ - ALBUMS CLASSICAL - TOP 10,2007,1,6,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
190064,CZ - ALBUMS CLASSICAL - TOP 10,2007,1,7,Piano & Cello Concert,Bárta Jiří/a.dvořák,Bárta Jiří,Supraphon
190065,CZ - ALBUMS CLASSICAL - TOP 10,2007,1,8,"Brahms - Klavírní koncerty 1 d moll, 2 B dur",Čf/bělohlávek,Čf,Supraphon
190066,CZ - ALBUMS CLASSICAL - TOP 10,2007,1,9,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
190067,CZ - ALBUMS CLASSICAL - TOP 10,2007,1,10,Dvořák - Requiem,Čf/sawallisch,Čf,Supraphon
190145,CZ - ALBUMS CLASSICAL - TOP 10,2007,10,1,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190146,CZ - ALBUMS CLASSICAL - TOP 10,2007,10,2,Best Of Mozart,Různí,Různí,Supraphon
190147,CZ - ALBUMS CLASSICAL - TOP 10,2007,10,3,Má vlast,Čf/kubelík,Čf,Supraphon
190148,CZ - ALBUMS CLASSICAL - TOP 10,2007,10,4,Best Of Bach,Různí,Různí,Supraphon
190149,CZ - ALBUMS CLASSICAL - TOP 10,2007,10,5,Dvořák/Suk - Díla pro housle a klavír,Šporcl/jiříkovský,Šporcl,Supraphon
190150,CZ - ALBUMS CLASSICAL - TOP 10,2007,10,6,Best Of Chopin,Různí,Různí,Supraphon
190151,CZ - ALBUMS CLASSICAL - TOP 10,2007,10,7,Gitano-Zarzuela-Arias,Villazon Rolando,Villazon Rolando,Warner Music
190152,CZ - ALBUMS CLASSICAL - TOP 10,2007,10,8,Antonín Dvořák - Slovanské tance,Čf/neumann,Čf,Supraphon
190153,CZ - ALBUMS CLASSICAL - TOP 10,2007,10,9,Best Of Beethoven,Různí,Různí,Supraphon
190154,CZ - ALBUMS CLASSICAL - TOP 10,2007,10,10,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
190155,CZ - ALBUMS CLASSICAL - TOP 10,2007,11,1,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190156,CZ - ALBUMS CLASSICAL - TOP 10,2007,11,2,Best Of Mozart,Různí,Různí,Supraphon
190157,CZ - ALBUMS CLASSICAL - TOP 10,2007,11,3,Má vlast,Čf/kubelík,Čf,Supraphon
190158,CZ - ALBUMS CLASSICAL - TOP 10,2007,11,4,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
190159,CZ - ALBUMS CLASSICAL - TOP 10,2007,11,5,Gitano-Zarzuela-Arias,Villazon Rolando,Villazon Rolando,Warner Music
190160,CZ - ALBUMS CLASSICAL - TOP 10,2007,11,6,Best Of Bach,Různí,Různí,Supraphon
190161,CZ - ALBUMS CLASSICAL - TOP 10,2007,11,7,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190162,CZ - ALBUMS CLASSICAL - TOP 10,2007,11,8,Best Of Čajkovskij,Různí,Různí,Supraphon
190163,CZ - ALBUMS CLASSICAL - TOP 10,2007,11,9,Best Of Beethoven,Různí,Různí,Supraphon
190164,CZ - ALBUMS CLASSICAL - TOP 10,2007,11,10,Arias,Kožená/mozart,Kožená,Universal Music
190165,CZ - ALBUMS CLASSICAL - TOP 10,2007,12,1,Best Of Mozart,Různí,Různí,Supraphon
190166,CZ - ALBUMS CLASSICAL - TOP 10,2007,12,2,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190167,CZ - ALBUMS CLASSICAL - TOP 10,2007,12,3,Best Of Bach,Různí,Různí,Supraphon
190168,CZ - ALBUMS CLASSICAL - TOP 10,2007,12,4,Best Of Beethoven,Různí,Různí,Supraphon
190169,CZ - ALBUMS CLASSICAL - TOP 10,2007,12,5,Best Of Chopin,Různí,Různí,Supraphon
190170,CZ - ALBUMS CLASSICAL - TOP 10,2007,12,6,Gitano-Zarzuela-Arias,Villazon Rolando,Villazon Rolando,Warner Music
190171,CZ - ALBUMS CLASSICAL - TOP 10,2007,12,7,Best Of Čajkovskij,Různí,Různí,Supraphon
190172,CZ - ALBUMS CLASSICAL - TOP 10,2007,12,8,Arias,Kožená/mozart,Kožená,Universal Music
190173,CZ - ALBUMS CLASSICAL - TOP 10,2007,12,9,Koncerty pro 2 lesní rohy,Různí,Různí,Supraphon
190174,CZ - ALBUMS CLASSICAL - TOP 10,2007,12,10,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
190175,CZ - ALBUMS CLASSICAL - TOP 10,2007,13,1,Best Of Mozart,Různí,Různí,Supraphon
190176,CZ - ALBUMS CLASSICAL - TOP 10,2007,13,2,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190177,CZ - ALBUMS CLASSICAL - TOP 10,2007,13,3,Best Of Bach,Různí,Různí,Supraphon
190178,CZ - ALBUMS CLASSICAL - TOP 10,2007,13,4,Má vlast,Čf/kubelík,Čf,Supraphon
190179,CZ - ALBUMS CLASSICAL - TOP 10,2007,13,5,Best Of Čajkovskij,Různí,Různí,Supraphon
190180,CZ - ALBUMS CLASSICAL - TOP 10,2007,13,6,Best Of Chopin,Různí,Různí,Supraphon
190181,CZ - ALBUMS CLASSICAL - TOP 10,2007,13,7,Best Of Beethoven,Různí,Různí,Supraphon
190182,CZ - ALBUMS CLASSICAL - TOP 10,2007,13,8,Gitano-Zarzuela-Arias,Villazon Rolando,Villazon Rolando,Warner Music
190183,CZ - ALBUMS CLASSICAL - TOP 10,2007,13,9,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190184,CZ - ALBUMS CLASSICAL - TOP 10,2007,13,10,"Dvořák - Symfonie 8,9",Čf/mackerras,Čf,Supraphon
190185,CZ - ALBUMS CLASSICAL - TOP 10,2007,14,1,Best Of Mozart,Různí,Různí,Supraphon
190186,CZ - ALBUMS CLASSICAL - TOP 10,2007,14,2,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190187,CZ - ALBUMS CLASSICAL - TOP 10,2007,14,3,Duety,Villazon Rolando,Villazon Rolando,Universal Music
190188,CZ - ALBUMS CLASSICAL - TOP 10,2007,14,4,Best Of Beethoven,Různí,Různí,Supraphon
190189,CZ - ALBUMS CLASSICAL - TOP 10,2007,14,5,Best of Czech Classics,Různí,Různí,Supraphon
190190,CZ - ALBUMS CLASSICAL - TOP 10,2007,14,6,Best Of Chopin,Různí,Různí,Supraphon
190191,CZ - ALBUMS CLASSICAL - TOP 10,2007,14,7,Best Of Bach,Různí,Různí,Supraphon
190192,CZ - ALBUMS CLASSICAL - TOP 10,2007,14,8,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190193,CZ - ALBUMS CLASSICAL - TOP 10,2007,14,9,Má vlast,Čf/kubelík,Čf,Supraphon
190194,CZ - ALBUMS CLASSICAL - TOP 10,2007,14,10,Best Of Čajkovskij,Různí,Různí,Supraphon
190195,CZ - ALBUMS CLASSICAL - TOP 10,2007,15,1,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190196,CZ - ALBUMS CLASSICAL - TOP 10,2007,15,2,Duety,Villazon Rolando,Villazon Rolando,Universal Music
190197,CZ - ALBUMS CLASSICAL - TOP 10,2007,15,3,Má vlast,Čf/kubelík,Čf,Supraphon
190198,CZ - ALBUMS CLASSICAL - TOP 10,2007,15,4,B.Martinů/E.Leichner - Klavírní koncert 1-5,Čf/bělohlávek,Čf,Supraphon
190199,CZ - ALBUMS CLASSICAL - TOP 10,2007,15,5,Arias,Kožená/mozart,Kožená,Universal Music
190200,CZ - ALBUMS CLASSICAL - TOP 10,2007,15,6,Best Of Čajkovskij,Různí,Různí,Supraphon
190201,CZ - ALBUMS CLASSICAL - TOP 10,2007,15,7,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190202,CZ - ALBUMS CLASSICAL - TOP 10,2007,15,8,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
190203,CZ - ALBUMS CLASSICAL - TOP 10,2007,15,9,Dvořák - Symfonie 4-6,Čf/neumann,Čf,Supraphon
190204,CZ - ALBUMS CLASSICAL - TOP 10,2007,15,10,Best Of Mozart,Různí,Různí,Supraphon
190205,CZ - ALBUMS CLASSICAL - TOP 10,2007,16,1,Dvořák Antonín - Král a uhlíř,Různí,Různí,Supraphon
190206,CZ - ALBUMS CLASSICAL - TOP 10,2007,16,2,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190207,CZ - ALBUMS CLASSICAL - TOP 10,2007,16,3,Martinů Bohuslav - Tři přání,Různí,Různí,Supraphon
190208,CZ - ALBUMS CLASSICAL - TOP 10,2007,16,4,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
190209,CZ - ALBUMS CLASSICAL - TOP 10,2007,16,5,Duety,Villazon Rolando,Villazon Rolando,Universal Music
190210,CZ - ALBUMS CLASSICAL - TOP 10,2007,16,6,Má vlast,Čf/kubelík,Čf,Supraphon
190211,CZ - ALBUMS CLASSICAL - TOP 10,2007,16,7,Antonín Dvořák - Slovanské tance,Čf/neumann,Čf,Supraphon
190212,CZ - ALBUMS CLASSICAL - TOP 10,2007,16,8,Arias,Kožená/mozart,Kožená,Universal Music
190213,CZ - ALBUMS CLASSICAL - TOP 10,2007,16,9,B.Martinů/E.Leichner - Klavírní koncert 1-5,Čf/bělohlávek,Čf,Supraphon
190214,CZ - ALBUMS CLASSICAL - TOP 10,2007,16,10,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190215,CZ - ALBUMS CLASSICAL - TOP 10,2007,17,1,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190216,CZ - ALBUMS CLASSICAL - TOP 10,2007,17,2,Best Of Mozart,Různí,Různí,Supraphon
190217,CZ - ALBUMS CLASSICAL - TOP 10,2007,17,3,Duety,Villazon Rolando,Villazon Rolando,Universal Music
190218,CZ - ALBUMS CLASSICAL - TOP 10,2007,17,4,Má vlast,Čf/kubelík,Čf,Supraphon
190219,CZ - ALBUMS CLASSICAL - TOP 10,2007,17,5,Goldbergs 1981,Gould Glenn,Gould Glenn,Sony Music
190220,CZ - ALBUMS CLASSICAL - TOP 10,2007,17,6,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190221,CZ - ALBUMS CLASSICAL - TOP 10,2007,17,7,Svatá Ludmila,Fok/smetáček,Fok,Supraphon
190222,CZ - ALBUMS CLASSICAL - TOP 10,2007,17,8,Arias,Kožená/mozart,Kožená,Universal Music
190223,CZ - ALBUMS CLASSICAL - TOP 10,2007,17,9,Gitano-Zarzuela-Arias,Villazon Rolando,Villazon Rolando,Warner Music
190224,CZ - ALBUMS CLASSICAL - TOP 10,2007,17,10,Best Of Bach,Různí,Různí,Supraphon
190225,CZ - ALBUMS CLASSICAL - TOP 10,2007,18,1,Má vlast,Čf/kubelík,Čf,Supraphon
190226,CZ - ALBUMS CLASSICAL - TOP 10,2007,18,2,Best Of Mozart,Různí,Různí,Supraphon
190227,CZ - ALBUMS CLASSICAL - TOP 10,2007,18,3,Arias,Kožená/mozart,Kožená,Universal Music
190228,CZ - ALBUMS CLASSICAL - TOP 10,2007,18,4,Carmen - Arias,Dagmar Pecková,Dagmar Pecková,Supraphon
190229,CZ - ALBUMS CLASSICAL - TOP 10,2007,18,5,Best Of Bach,Různí,Různí,Supraphon
190230,CZ - ALBUMS CLASSICAL - TOP 10,2007,18,6,Best Of Čajkovskij,Různí,Různí,Supraphon
190231,CZ - ALBUMS CLASSICAL - TOP 10,2007,18,7,Duety,Villazon Rolando,Villazon Rolando,Universal Music
190232,CZ - ALBUMS CLASSICAL - TOP 10,2007,18,8,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190233,CZ - ALBUMS CLASSICAL - TOP 10,2007,18,9,Best Of Chopin,Různí,Různí,Supraphon
190234,CZ - ALBUMS CLASSICAL - TOP 10,2007,18,10,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
190235,CZ - ALBUMS CLASSICAL - TOP 10,2007,19,1,Smetana - Greatest Hits,Různí,Různí,Supraphon
190236,CZ - ALBUMS CLASSICAL - TOP 10,2007,19,2,Má vlast,Čf/kubelík,Čf,Supraphon
190237,CZ - ALBUMS CLASSICAL - TOP 10,2007,19,3,Best Of Bach,Různí,Různí,Supraphon
190238,CZ - ALBUMS CLASSICAL - TOP 10,2007,19,4,Best Of Čajkovskij,Různí,Různí,Supraphon
190239,CZ - ALBUMS CLASSICAL - TOP 10,2007,19,5,Best Of Chopin,Různí,Různí,Supraphon
190240,CZ - ALBUMS CLASSICAL - TOP 10,2007,19,6,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
190241,CZ - ALBUMS CLASSICAL - TOP 10,2007,19,7,Goldbergs 1981,Gould Glenn,Gould Glenn,Sony Music
190242,CZ - ALBUMS CLASSICAL - TOP 10,2007,19,8,Arie,Kožená/bach,Kožená,Universal Music
190243,CZ - ALBUMS CLASSICAL - TOP 10,2007,19,9,Portrait of the Artist,Magdalena Kožená,Magdalena Kožená,Universal Music
190244,CZ - ALBUMS CLASSICAL - TOP 10,2007,19,10,Best Of Beethoven,Různí,Různí,Supraphon
190068,CZ - ALBUMS CLASSICAL - TOP 10,2007,2,1,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190069,CZ - ALBUMS CLASSICAL - TOP 10,2007,2,2,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
190070,CZ - ALBUMS CLASSICAL - TOP 10,2007,2,3,Mozart - Best Of Mozart,Různí,Různí,Supraphon
190071,CZ - ALBUMS CLASSICAL - TOP 10,2007,2,4,Dvořák - Requiem,Čf/sawallisch,Čf,Supraphon
190072,CZ - ALBUMS CLASSICAL - TOP 10,2007,2,5,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
190073,CZ - ALBUMS CLASSICAL - TOP 10,2007,2,6,"Brahms - Klavírní koncerty 1 d moll, 2 B dur",Čf/bělohlávek,Čf,Supraphon
190074,CZ - ALBUMS CLASSICAL - TOP 10,2007,2,7,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190245,CZ - ALBUMS CLASSICAL - TOP 10,2007,20,1,Má vlast,Čf/kubelík,Čf,Supraphon
190246,CZ - ALBUMS CLASSICAL - TOP 10,2007,20,2,Best Of Čajkovskij,Různí,Různí,Supraphon
190247,CZ - ALBUMS CLASSICAL - TOP 10,2007,20,3,Best Of Bach,Různí,Různí,Supraphon
190248,CZ - ALBUMS CLASSICAL - TOP 10,2007,20,4,"Smetana, Dvořák - Operní árie",Různí,Různí,Supraphon
190249,CZ - ALBUMS CLASSICAL - TOP 10,2007,20,5,Best Of Mozart,Různí,Různí,Supraphon
190250,CZ - ALBUMS CLASSICAL - TOP 10,2007,20,6,Best Of Beethoven,Různí,Různí,Supraphon
190251,CZ - ALBUMS CLASSICAL - TOP 10,2007,20,7,Best Of Chopin,Různí,Různí,Supraphon
190252,CZ - ALBUMS CLASSICAL - TOP 10,2007,20,8,Goldbergs 1981,Gould Glenn,Gould Glenn,Sony Music
190253,CZ - ALBUMS CLASSICAL - TOP 10,2007,20,9,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190254,CZ - ALBUMS CLASSICAL - TOP 10,2007,20,10,Portrait of the Artist,Magdalena Kožená,Magdalena Kožená,Universal Music
190255,CZ - ALBUMS CLASSICAL - TOP 10,2007,21,1,Best Of Mozart,Různí,Různí,Supraphon
190256,CZ - ALBUMS CLASSICAL - TOP 10,2007,21,2,Best Of Čajkovskij,Různí,Různí,Supraphon
190257,CZ - ALBUMS CLASSICAL - TOP 10,2007,21,3,Má vlast,Čf/kubelík,Čf,Supraphon
190258,CZ - ALBUMS CLASSICAL - TOP 10,2007,21,4,Best Of Bach,Různí,Různí,Supraphon
190259,CZ - ALBUMS CLASSICAL - TOP 10,2007,21,5,Portrait of the Artist,Magdalena Kožená,Magdalena Kožená,Universal Music
190260,CZ - ALBUMS CLASSICAL - TOP 10,2007,21,6,Best Of Beethoven,Různí,Různí,Supraphon
190261,CZ - ALBUMS CLASSICAL - TOP 10,2007,21,7,"Smetana, Dvořák - Operní árie",Různí,Různí,Supraphon
190262,CZ - ALBUMS CLASSICAL - TOP 10,2007,21,8,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190263,CZ - ALBUMS CLASSICAL - TOP 10,2007,21,9,Má vlast,Čf/mackerras,Čf,Supraphon
190264,CZ - ALBUMS CLASSICAL - TOP 10,2007,21,10,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190265,CZ - ALBUMS CLASSICAL - TOP 10,2007,22,1,Má vlast - B. Smetana,Čf/ančerl,Čf,Supraphon
190266,CZ - ALBUMS CLASSICAL - TOP 10,2007,22,2,Best Of Mozart,Různí,Různí,Supraphon
190267,CZ - ALBUMS CLASSICAL - TOP 10,2007,22,3,Sinfinietta - L. Janáček,Různí,Různí,Supraphon
190268,CZ - ALBUMS CLASSICAL - TOP 10,2007,22,4,Arie,Kožená/bach,Kožená,Universal Music
190269,CZ - ALBUMS CLASSICAL - TOP 10,2007,22,5,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
190270,CZ - ALBUMS CLASSICAL - TOP 10,2007,22,6,Goldbergs 1981,Gould Glenn,Gould Glenn,Sony Music
190271,CZ - ALBUMS CLASSICAL - TOP 10,2007,22,7,Portrait of the Artist,Magdalena Kožená,Magdalena Kožená,Universal Music
190272,CZ - ALBUMS CLASSICAL - TOP 10,2007,22,8,Best Of Beethoven,Různí,Různí,Supraphon
190273,CZ - ALBUMS CLASSICAL - TOP 10,2007,22,9,Best Of Bach,Různí,Různí,Supraphon
190274,CZ - ALBUMS CLASSICAL - TOP 10,2007,22,10,Má vlast,Čf/kubelík,Čf,Supraphon
190275,CZ - ALBUMS CLASSICAL - TOP 10,2007,23,1,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190276,CZ - ALBUMS CLASSICAL - TOP 10,2007,23,2,Best Of Mozart,Různí,Různí,Supraphon
190277,CZ - ALBUMS CLASSICAL - TOP 10,2007,23,3,Má vlast,Čf/kubelík,Čf,Supraphon
190278,CZ - ALBUMS CLASSICAL - TOP 10,2007,23,4,Má vlast - B. Smetana,Čf/ančerl,Čf,Supraphon
190279,CZ - ALBUMS CLASSICAL - TOP 10,2007,23,5,Best Of Chopin,Různí,Různí,Supraphon
190280,CZ - ALBUMS CLASSICAL - TOP 10,2007,23,6,Best Of Beethoven,Různí,Různí,Supraphon
190281,CZ - ALBUMS CLASSICAL - TOP 10,2007,23,7,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
190282,CZ - ALBUMS CLASSICAL - TOP 10,2007,23,8,Duety,Villazon Rolando,Villazon Rolando,Universal Music
190283,CZ - ALBUMS CLASSICAL - TOP 10,2007,23,9,Best Of Bach,Různí,Různí,Supraphon
190284,CZ - ALBUMS CLASSICAL - TOP 10,2007,23,10,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
190285,CZ - ALBUMS CLASSICAL - TOP 10,2007,24,1,Best Of Mozart,Různí,Různí,Supraphon
190286,CZ - ALBUMS CLASSICAL - TOP 10,2007,24,2,Best Of Chopin,Různí,Různí,Supraphon
190287,CZ - ALBUMS CLASSICAL - TOP 10,2007,24,3,Martinů Bohuslav - Tři přání,Různí,Různí,Supraphon
190288,CZ - ALBUMS CLASSICAL - TOP 10,2007,24,4,Má vlast,Čf/kubelík,Čf,Supraphon
190289,CZ - ALBUMS CLASSICAL - TOP 10,2007,24,5,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
190290,CZ - ALBUMS CLASSICAL - TOP 10,2007,24,6,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190291,CZ - ALBUMS CLASSICAL - TOP 10,2007,24,7,Bedřich Smetana - Švédské symfonické básně,Čf/neumann,Čf,Supraphon
190292,CZ - ALBUMS CLASSICAL - TOP 10,2007,24,8,Má vlast,Čf/smetáček,Čf,Supraphon
190293,CZ - ALBUMS CLASSICAL - TOP 10,2007,24,9,"Smetana, Dvořák - Operní árie",Různí,Různí,Supraphon
190294,CZ - ALBUMS CLASSICAL - TOP 10,2007,24,10,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190295,CZ - ALBUMS CLASSICAL - TOP 10,2007,25,1,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190296,CZ - ALBUMS CLASSICAL - TOP 10,2007,25,2,Best Of Mozart,Různí,Různí,Supraphon
190297,CZ - ALBUMS CLASSICAL - TOP 10,2007,25,3,Best Of Dvořák,Různí,Různí,Supraphon
190298,CZ - ALBUMS CLASSICAL - TOP 10,2007,25,4,Otvírání studánek - B. MArtinů,Různí,Různí,Supraphon
190299,CZ - ALBUMS CLASSICAL - TOP 10,2007,25,5,Skladby inspirované jazzem - B. Martinů,Různí,Různí,Supraphon
190300,CZ - ALBUMS CLASSICAL - TOP 10,2007,25,6,Má vlast,Čf/kubelík,Čf,Supraphon
190301,CZ - ALBUMS CLASSICAL - TOP 10,2007,25,7,Dvořák - Symfonie 1-3,Čf/neumann,Čf,Supraphon
190302,CZ - ALBUMS CLASSICAL - TOP 10,2007,25,8,Best Of Eva Urbanová,Eva Urbanová,Eva Urbanová,Supraphon
