,hitparada,rok,tyden,pozice,album,interpret,interpret_hlavni,vydavatel
190018,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,1,Mozart - Best Of Mozart,Různí,Různí,Supraphon
190019,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,2,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190020,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,3,Arias,Kožená/mozart,Kožená,Universal Music
190021,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,4,Bach - Cello suites 1-6,Bárta Jiří/j.s.bach,Bárta Jiří,Supraphon
190022,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,5,"Brahms - Klavírní koncerty 1 d moll, 2 B dur",Čf/bělohlávek,Čf,Supraphon
190023,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,6,Dvořák/Suk - Díla pro housle a klavír,Šporcl/jiříkovský,Šporcl,Supraphon
190024,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,7,Sub olea pacis et palma virtutis,Zelenka/štryncl,Zelenka,Supraphon
190025,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,8,Dvořák - Stabat mater op. 58,Čf/sawallisch,Čf,Supraphon
190026,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,9,Pastorální mše,Pavlica/zrunek,Pavlica,Supraphon
190027,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,10,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190028,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,1,Mozart - Best Of Mozart,Různí,Různí,Supraphon
190029,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,2,Arias,Kožená/mozart,Kožená,Universal Music
190030,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,3,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
190031,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,4,Dvořák/Suk - Díla pro housle a klavír,Šporcl/jiříkovský,Šporcl,Supraphon
190032,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,5,Čajkovskij: Best Of,Různí,Různí,Supraphon
190033,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,6,Bach - Cello suites 1-6,Bárta Jiří/j.s.bach,Bárta Jiří,Supraphon
190034,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,7,Smetana - Prodaná nevěsta   DVD,Čf/košler,Čf,Supraphon
190035,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,8,Dvořák - Symfonie 7-9,Čf/neumann,Čf,Supraphon
190036,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,9,Dvořák - Requiem,Čf/sawallisch,Čf,Supraphon
190037,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,10,Sub olea pacis et palma virtutis,Zelenka/štryncl,Zelenka,Supraphon
190038,CZ - ALBUMS CLASSICAL - TOP 10,2006,50,1,Arias,Kožená/mozart,Kožená,Universal Music
