hitparada,rok,tyden,week,pozice,track,interpret,interpret_hlavni,vydavatel
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,1,Nic není nastálo,David Koller,David Koller,Universal Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,2,Nothing Is Something,Support Lesbiens,Support Lesbiens,Universal Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,3,Snow,Red Hot Chili Peppers,Red Hot Chili Peppers,Warner Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,4,Welcome To The Black Parade,My Chemical Romance,My Chemical Romance,Warner Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,5,Saints Are Coming,U2/Green Day,U2,Universal Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,6,What I´ve Done,Linkin Park,Linkin Park,Warner Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,7,Ganga,Wohnout,Wohnout,Sony Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,8,Burlaci,Kabát,Kabát,Warner Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,9,Martyr,Depeche Mode,Depeche Mode,Warner Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,10,Move,Ro(C)K Podvraťáků-Zpívá V.Dyk,Ro(C)K Podvraťáků-Zpívá V.Dyk,Sony Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,11,Kde jsou,Bára Zemanová,Bára Zemanová,Sony Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,12,No Fear,Rasmus,Rasmus,Universal Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,13,"This Ain´t a Scene, It´s an Arms Race",Fall Out Boy,Fall Out Boy,Universal Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,14,Smiley Faces,Gnarls Barkley,Gnarls Barkley,Warner Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,15,Is It Any Wonder,Keane,Keane,Universal Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,16,Bleed It Out,Linkin Park,Linkin Park,Warner Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,17,Starlight,Muse,Muse,Warner Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,18,Boulevard Of Broken Dreams,Green Day,Green Day,Warner Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,19,Hole In The Earth,Deftones,Deftones,Warner Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,01,2006-01,20,Miss Murder,Afi,Afi,Interscope
CZ - RADIO - TOP 20 MODERN ROCK,2006,40,2006-40,1,Kdo naslouchá mrtvým,Aleš Brichta,Aleš Brichta,Pm
CZ - RADIO - TOP 20 MODERN ROCK,2006,40,2006-40,2,Starej pes,Alkehol,Alkehol,Spv
CZ - RADIO - TOP 20 MODERN ROCK,2006,40,2006-40,3,Realita,Aleš Brichta,Aleš Brichta,Pm
CZ - RADIO - TOP 20 MODERN ROCK,2006,40,2006-40,4,Dope Sick,Clou,Clou,Sony Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,40,2006-40,5,Perfect Strangers,Inxs,Inxs,Universal Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,40,2006-40,6,Bank Robber Man,Lenny Kravitz ,Lenny Kravitz,Warner Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,40,2006-40,7,New White Car,1St Choice,1St Choice,Frm Rec.
CZ - RADIO - TOP 20 MODERN ROCK,2006,40,2006-40,8,Is It Any Wonder,Keane,Keane,Universal Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,40,2006-40,9,Bare Grace Misery,Nightwish,Nightwish,Universal Music
CZ - RADIO - TOP 20 MODERN ROCK,2006,40,2006-40,10,Everybody's Gone To War,Pallot Nerina,Pallot Nerina,Warner Music
