,hitparada,rok,tyden,week,pozice,album,interpret,interpret_hlavni,vydavatel
0,SK - ALBUMS - TOP 100,2016,43,2016-43,1,55,Richard Müller,Richard Müller,Universal Music
1,SK - ALBUMS - TOP 100,2016,43,2016-43,2,Joanne,Lady Gaga,Lady Gaga,Universal Music
2,SK - ALBUMS - TOP 100,2016,43,2016-43,3,You Want It Darker,Leonard Cohen,Leonard Cohen,Sony Music
3,SK - ALBUMS - TOP 100,2016,43,2016-43,4,40 slavíků,Karel Gott,Karel Gott,Supraphon
4,SK - ALBUMS - TOP 100,2016,43,2016-43,5,History,I.M.T.Smile,I.M.T.Smile,Universal Music
5,SK - ALBUMS - TOP 100,2016,43,2016-43,6,Premeny,Katarína Knechtová,Katarína Knechtová,Sukuba Agency
6,SK - ALBUMS - TOP 100,2016,43,2016-43,7,Nobody But Me,Michael Bublé,Michael Bublé,Warner Music
7,SK - ALBUMS - TOP 100,2016,43,2016-43,8,Pesničky pre (ne)poslušné deti,Miro Jaroš,Miro Jaroš,Galgan Music
8,SK - ALBUMS - TOP 100,2016,43,2016-43,9,Fíha tralala a rozprávková družina (Live DVD),Martina Jelenová,Martina Jelenová,Jelen Drums
9,SK - ALBUMS - TOP 100,2016,43,2016-43,10,The Serenity of Suffering,Korn,Korn,Warner Music
10,SK - ALBUMS - TOP 100,2016,43,2016-43,11,25,Adele,Adele,Xl Recordings
11,SK - ALBUMS - TOP 100,2016,43,2016-43,12,Zlý príklad,Kali,Kali,Kali Records
12,SK - ALBUMS - TOP 100,2016,43,2016-43,13,Spievankovo 5 / O povolaniach,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
13,SK - ALBUMS - TOP 100,2016,43,2016-43,14,Tie naj,Kristina,Kristina,Spinaker
14,SK - ALBUMS - TOP 100,2016,43,2016-43,15,Fíha tralala - Bumbarasa,Rôzni,Rôzni,Jelen Drums
15,SK - ALBUMS - TOP 100,2016,43,2016-43,16,Fíha tralala a kamaráti (rozšírená verzia),Martina Jelenová,Martina Jelenová,Jelen Drums
16,SK - ALBUMS - TOP 100,2016,43,2016-43,17,Spievanky a riekanky spod zlatej brany,Rôzni,Rôzni,"Musica, S.R.O."
17,SK - ALBUMS - TOP 100,2016,43,2016-43,18,Best Of,Elán,Elán,Universal Music
18,SK - ALBUMS - TOP 100,2016,43,2016-43,19,A Head Full Of Dreams,Coldplay,Coldplay,Warner Music
19,SK - ALBUMS - TOP 100,2016,43,2016-43,20,Živých nás nedostanú,Elán,Elán,Warner Music
20,SK - ALBUMS - TOP 100,2016,43,2016-43,21,Revolution Radio,Green Day,Green Day,Warner Music
21,SK - ALBUMS - TOP 100,2016,43,2016-43,22,Piesne 3,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
22,SK - ALBUMS - TOP 100,2016,43,2016-43,23,Fíha tralala - cvičíme od mala,Martina Jelenová,Martina Jelenová,Jelen Drums
23,SK - ALBUMS - TOP 100,2016,43,2016-43,24,Oh My My,Onerepublic,Onerepublic,Universal Music
24,SK - ALBUMS - TOP 100,2016,43,2016-43,25,Čáry máry fuk,Smejko a Tanculienka,Smejko,Nan
25,SK - ALBUMS - TOP 100,2016,43,2016-43,26,Day Breaks,Norah Jones,Norah Jones,Universal Music
26,SK - ALBUMS - TOP 100,2016,43,2016-43,27,Spievankovo 4,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
27,SK - ALBUMS - TOP 100,2016,43,2016-43,28,Fíha tralala - farebný svet,Martina Jelenová,Martina Jelenová,Jelen Drums
28,SK - ALBUMS - TOP 100,2016,43,2016-43,29,NRJ Summer Hits Only 2016,Různí,Různí,Warner Music
29,SK - ALBUMS - TOP 100,2016,43,2016-43,30,Platinum Collection,Horkýže Slíže,Horkýže Slíže,Warner Music
30,SK - ALBUMS - TOP 100,2016,43,2016-43,31,O Lásce,Hana Zagorová,Hana Zagorová,Supraphon
31,SK - ALBUMS - TOP 100,2016,43,2016-43,32,Galakoncert,Kandráčovci,Kandráčovci,Forte Production
32,SK - ALBUMS - TOP 100,2016,43,2016-43,33,20 Naj II,Karol Duchoň,Karol Duchoň,Opus
33,SK - ALBUMS - TOP 100,2016,43,2016-43,34,Y White,Majk Spirit,Majk Spirit,Spinaker
34,SK - ALBUMS - TOP 100,2016,43,2016-43,35,Spievankovo 2,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
35,SK - ALBUMS - TOP 100,2016,43,2016-43,36,Deťom 1,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
36,SK - ALBUMS - TOP 100,2016,43,2016-43,37,Fíha tralala 1: A kamaráti,Martina Jelenová,Martina Jelenová,Jelen Drums
37,SK - ALBUMS - TOP 100,2016,43,2016-43,38,This Is Acting,Sia,Sia,Sony Music
38,SK - ALBUMS - TOP 100,2016,43,2016-43,39,Piesne z DVD Spievankovo 1 a 2,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
39,SK - ALBUMS - TOP 100,2016,43,2016-43,40,The Best of The Best,Rytmus,Rytmus,Warner Music
40,SK - ALBUMS - TOP 100,2016,43,2016-43,41,Lemonade,Beyoncé,Beyoncé,Sony Music
41,SK - ALBUMS - TOP 100,2016,43,2016-43,42,Suma Sumárum - Best Of (25.výročí) + DVD,Kabát,Kabát,Warner Music
42,SK - ALBUMS - TOP 100,2016,43,2016-43,43,Deleted Scenes From The Cutting Room Floor,Emerald Caro,Emerald Caro,Universal Music
43,SK - ALBUMS - TOP 100,2016,43,2016-43,44,Emma Drobná,Emma Drobná,Emma Drobná,Warner Music
44,SK - ALBUMS - TOP 100,2016,43,2016-43,45,N!kto,Kali & Peter Pann,Kali,Kali Records
45,SK - ALBUMS - TOP 100,2016,43,2016-43,46,Agnostika,Katarzia,Katarzia,Nan
46,SK - ALBUMS - TOP 100,2016,43,2016-43,47,Best Of 1988-2005,Pavol Habera & Team,Pavol Habera,Universal Music
47,SK - ALBUMS - TOP 100,2016,43,2016-43,48,Just Dance 2016,Různí,Různí,Universal Music
48,SK - ALBUMS - TOP 100,2016,43,2016-43,49,"Dobrý deň, to som ja",Sima Martausová Band,Sima Martausová Band,Nan
49,SK - ALBUMS - TOP 100,2016,43,2016-43,50,Mandolína,Adam Ďurica,Adam Ďurica,Universal Music
50,SK - ALBUMS - TOP 100,2016,43,2016-43,51,Greatest Hits,Cure,Cure,Universal Music
51,SK - ALBUMS - TOP 100,2016,43,2016-43,52,X,Ed Sheeran,Ed Sheeran,Warner Music
52,SK - ALBUMS - TOP 100,2016,43,2016-43,53,Shocking Miss Emerald,Emerald Caro,Emerald Caro,Universal Music
53,SK - ALBUMS - TOP 100,2016,43,2016-43,54,Walls,Kings Of Leon,Kings Of Leon,Sony Music
54,SK - ALBUMS - TOP 100,2016,43,2016-43,55,Y Black,Majk Spirit,Majk Spirit,Závodský
55,SK - ALBUMS - TOP 100,2016,43,2016-43,56,The Singles,Phil Collins,Phil Collins,Warner Music
56,SK - ALBUMS - TOP 100,2016,43,2016-43,57,Ibiza Evolution 2016,Různí,Různí,Universal Music
57,SK - ALBUMS - TOP 100,2016,43,2016-43,58,Blurryface,Twenty One Pilots,Twenty One Pilots,Warner Music
58,SK - ALBUMS - TOP 100,2016,43,2016-43,59,Rock Or Bust,Ac/Dc,Ac,Sony Music
59,SK - ALBUMS - TOP 100,2016,43,2016-43,60,Eterno Agosto,Alvaro Soler,Alvaro Soler,Universal Music
60,SK - ALBUMS - TOP 100,2016,43,2016-43,61,Encore: Movie Partners Sing Broadway,Barbra Streisand,Barbra Streisand,Sony Music
61,SK - ALBUMS - TOP 100,2016,43,2016-43,62,Moruša čierna,Jana Kirschner,Jana Kirschner,Slnko Records
62,SK - ALBUMS - TOP 100,2016,43,2016-43,63,Tenkrát / Nostalgie 90.let,Jaromír Nohavica,Jaromír Nohavica,Warner Music
63,SK - ALBUMS - TOP 100,2016,43,2016-43,64,Kladivo na život,Katapult,Katapult,Warner Music
64,SK - ALBUMS - TOP 100,2016,43,2016-43,65,BBC Sessions,Led Zeppelin,Led Zeppelin,Warner Music
65,SK - ALBUMS - TOP 100,2016,43,2016-43,66,Vyznanie,Marika Gombitová,Marika Gombitová,Opus
66,SK - ALBUMS - TOP 100,2016,43,2016-43,67,Smrt žije,Prago Union,Prago Union,Warner Music
67,SK - ALBUMS - TOP 100,2016,43,2016-43,68,Suicide Squad  O.S.T.,Různí,Různí,Warner Music
68,SK - ALBUMS - TOP 100,2016,43,2016-43,69,Taneční liga 184,Různí,Různí,Universal Music
69,SK - ALBUMS - TOP 100,2016,43,2016-43,70,Illuminate,Shawn Mendes,Shawn Mendes,Universal Music
70,SK - ALBUMS - TOP 100,2016,43,2016-43,71,Time and Again,A-Ha,A-Ha,Warner Music
71,SK - ALBUMS - TOP 100,2016,43,2016-43,72,Dangerous Woman,Ariana Grande,Ariana Grande,Universal Music
72,SK - ALBUMS - TOP 100,2016,43,2016-43,73,Angels & Ghosts,Dave Gahan & Soulsavers,Dave Gahan,Sony Music
73,SK - ALBUMS - TOP 100,2016,43,2016-43,74,Listen (Again),David Guetta,David Guetta,Warner Music
74,SK - ALBUMS - TOP 100,2016,43,2016-43,75,Detektor II,Ektor,Ektor,Warner Music
75,SK - ALBUMS - TOP 100,2016,43,2016-43,76,Very Best of Enya,Enya,Enya,Warner Music
76,SK - ALBUMS - TOP 100,2016,43,2016-43,77,Eros 30,Eros Ramazzotti,Eros Ramazzotti,Sony Music
77,SK - ALBUMS - TOP 100,2016,43,2016-43,78,The Score,Fugees,Fugees,Sony Music
78,SK - ALBUMS - TOP 100,2016,43,2016-43,79,American Idiot,Green Day,Green Day,Warner Music
79,SK - ALBUMS - TOP 100,2016,43,2016-43,80,Cesta (Písně 1960-2016),Hana Hegerová,Hana Hegerová,Supraphon
80,SK - ALBUMS - TOP 100,2016,43,2016-43,81,Mini World,Indila,Indila,Sony Music
81,SK - ALBUMS - TOP 100,2016,43,2016-43,82,Je tu niekto?,Iné Kafe,Iné Kafe,Universal Music
82,SK - ALBUMS - TOP 100,2016,43,2016-43,83,Krásná neznámá,Iveta Bartošová,Iveta Bartošová,Warner Music
83,SK - ALBUMS - TOP 100,2016,43,2016-43,84,Corrida,Kabát,Kabát,Warner Music
84,SK - ALBUMS - TOP 100,2016,43,2016-43,85,70 hitů - Když jsem já byl tenkrát kluk,Karel Gott,Karel Gott,Supraphon
85,SK - ALBUMS - TOP 100,2016,43,2016-43,86,Velké hity pro slavnostní chvíle,Lucie Bílá,Lucie Bílá,Warner Music
86,SK - ALBUMS - TOP 100,2016,43,2016-43,87,S láskou,No Name,No Name,Spinaker
87,SK - ALBUMS - TOP 100,2016,43,2016-43,88,Wish You Were Here,Pink Floyd,Pink Floyd,Warner Music
88,SK - ALBUMS - TOP 100,2016,43,2016-43,89,A Moon Shaped Pool,Radiohead,Radiohead,Sony Music
89,SK - ALBUMS - TOP 100,2016,43,2016-43,90,80 Hits Of The 80´s,Různí,Různí,Warner Music
90,SK - ALBUMS - TOP 100,2016,43,2016-43,91,Megahits 2016/3,Různí,Různí,Universal Music
91,SK - ALBUMS - TOP 100,2016,43,2016-43,92,Retro stereo párty 80.léta,Různí,Různí,Universal Music
92,SK - ALBUMS - TOP 100,2016,43,2016-43,93,Platinum Collection,Alkehol,Alkehol,Warner Music
93,SK - ALBUMS - TOP 100,2016,43,2016-43,94,Cinema,Andrea Bocelli,Andrea Bocelli,Universal Music
94,SK - ALBUMS - TOP 100,2016,43,2016-43,95,Glory,Britney Spears,Britney Spears,Sony Music
95,SK - ALBUMS - TOP 100,2016,43,2016-43,96,Anthology 1980 - 2005,Bryan Adams,Bryan Adams,Universal Music
96,SK - ALBUMS - TOP 100,2016,43,2016-43,97,Paper Monsters,Dave Gahan,Dave Gahan,Warner Music
97,SK - ALBUMS - TOP 100,2016,43,2016-43,98,Music For The Masses,Depeche Mode,Depeche Mode,Sony Music
98,SK - ALBUMS - TOP 100,2016,43,2016-43,99,Sounds Of The Universe,Depeche Mode,Depeche Mode,Warner Music
99,SK - ALBUMS - TOP 100,2016,43,2016-43,100,Forever Man,Eric Clapton,Eric Clapton,Warner Music
100,SK - ALBUMS - TOP 100,2016,44,2016-44,1,Sokoly,Kandráčovci,Kandráčovci,Forte Production
101,SK - ALBUMS - TOP 100,2016,44,2016-44,2,55,Richard Müller,Richard Müller,Universal Music
102,SK - ALBUMS - TOP 100,2016,44,2016-44,3,Spolu,Adam Ďurica,Adam Ďurica,Universal Music
103,SK - ALBUMS - TOP 100,2016,44,2016-44,4,Joanne,Lady Gaga,Lady Gaga,Universal Music
104,SK - ALBUMS - TOP 100,2016,44,2016-44,5,Spievankovo 5 / O povolaniach,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
105,SK - ALBUMS - TOP 100,2016,44,2016-44,6,You Want It Darker,Leonard Cohen,Leonard Cohen,Sony Music
106,SK - ALBUMS - TOP 100,2016,44,2016-44,7,40 slavíků,Karel Gott,Karel Gott,Supraphon
107,SK - ALBUMS - TOP 100,2016,44,2016-44,8,Premeny,Katarína Knechtová,Katarína Knechtová,Sukuba Agency
108,SK - ALBUMS - TOP 100,2016,44,2016-44,9,This Is Acting,Sia,Sia,Sony Music
109,SK - ALBUMS - TOP 100,2016,44,2016-44,10,History,I.M.T.Smile,I.M.T.Smile,Universal Music
110,SK - ALBUMS - TOP 100,2016,44,2016-44,11,Fíha tralala a rozprávková družina (Live DVD),Martina Jelenová,Martina Jelenová,Jelen Drums
111,SK - ALBUMS - TOP 100,2016,44,2016-44,12,Fíha tralala - cvičíme od mala,Martina Jelenová,Martina Jelenová,Jelen Drums
112,SK - ALBUMS - TOP 100,2016,44,2016-44,13,Tie naj,Kristina,Kristina,Spinaker
113,SK - ALBUMS - TOP 100,2016,44,2016-44,14,Piesne z DVD Spievankovo 1 a 2,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
114,SK - ALBUMS - TOP 100,2016,44,2016-44,15,Fíha tralala - farebný svet,Martina Jelenová,Martina Jelenová,Jelen Drums
115,SK - ALBUMS - TOP 100,2016,44,2016-44,16,Back From The Edge,James Arthur,James Arthur,Sony Music
116,SK - ALBUMS - TOP 100,2016,44,2016-44,17,Pesničky pre (ne)poslušné deti,Miro Jaroš,Miro Jaroš,Galgan Music
117,SK - ALBUMS - TOP 100,2016,44,2016-44,18,Čáry máry fuk,Smejko a Tanculienka,Smejko,Nan
118,SK - ALBUMS - TOP 100,2016,44,2016-44,19,Fíha tralala - Bumbarasa,Rôzni,Rôzni,Jelen Drums
119,SK - ALBUMS - TOP 100,2016,44,2016-44,20,Spievanky a riekanky spod zlatej brany,Rôzni,Rôzni,"Musica, S.R.O."
120,SK - ALBUMS - TOP 100,2016,44,2016-44,21,Zlý príklad,Kali,Kali,Kali Records
121,SK - ALBUMS - TOP 100,2016,44,2016-44,22,History,Thomas Anders,Thomas Anders,Sony Music
122,SK - ALBUMS - TOP 100,2016,44,2016-44,23,Agnostika,Katarzia,Katarzia,Nan
123,SK - ALBUMS - TOP 100,2016,44,2016-44,24,Best Of,Elán,Elán,Universal Music
124,SK - ALBUMS - TOP 100,2016,44,2016-44,25,Nobody But Me,Michael Bublé,Michael Bublé,Warner Music
125,SK - ALBUMS - TOP 100,2016,44,2016-44,26,A Pentatonix Christmas,Pentatonix,Pentatonix,Sony Music
126,SK - ALBUMS - TOP 100,2016,44,2016-44,27,Živých nás nedostanú,Elán,Elán,Warner Music
127,SK - ALBUMS - TOP 100,2016,44,2016-44,28,Spievankovo 2,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
128,SK - ALBUMS - TOP 100,2016,44,2016-44,29,Day Breaks,Norah Jones,Norah Jones,Universal Music
129,SK - ALBUMS - TOP 100,2016,44,2016-44,30,Purpose,Justin Bieber,Justin Bieber,Universal Music
130,SK - ALBUMS - TOP 100,2016,44,2016-44,31,Piesne 3,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
131,SK - ALBUMS - TOP 100,2016,44,2016-44,32,Fíha tralala a kamaráti (rozšírená verzia),Martina Jelenová,Martina Jelenová,Jelen Drums
132,SK - ALBUMS - TOP 100,2016,44,2016-44,33,Oh My My,Onerepublic,Onerepublic,Universal Music
133,SK - ALBUMS - TOP 100,2016,44,2016-44,34,Brotherhood Of The Snake,Testament,Testament,Mystic Production
134,SK - ALBUMS - TOP 100,2016,44,2016-44,35,Platinum Collection,Horkýže Slíže,Horkýže Slíže,Warner Music
135,SK - ALBUMS - TOP 100,2016,44,2016-44,36,10 rokov s vami,Kandráčovci,Kandráčovci,Nan
136,SK - ALBUMS - TOP 100,2016,44,2016-44,37,Od A po Zet,Team,Team,Opus
137,SK - ALBUMS - TOP 100,2016,44,2016-44,38,This House Is Not For Sale,Bon Jovi,Bon Jovi,Universal Music
138,SK - ALBUMS - TOP 100,2016,44,2016-44,39,Kam ideme,Korben Dallas,Korben Dallas,Nan
139,SK - ALBUMS - TOP 100,2016,44,2016-44,40,Deťom 1,Mária Podhradská & Richard Čanaky,Mária Podhradská,Tonada
140,SK - ALBUMS - TOP 100,2016,44,2016-44,41,Fíha tralala 1: A kamaráti,Martina Jelenová,Martina Jelenová,Jelen Drums
141,SK - ALBUMS - TOP 100,2016,44,2016-44,42,The Best of The Best,Rytmus,Rytmus,Warner Music
142,SK - ALBUMS - TOP 100,2016,44,2016-44,43,"Dobrý deň, to som ja",Sima Martausová Band,Sima Martausová Band,Nan
