,interpret_hlavni,track,youtube
2752,Norah Jones,,
2765,Karel Svoboda,,
2881,Scooter,,
2932,Laďka Kozderková,,
2933,Gipsy.Cz,,
2938,Hnilička Jaromír,,
2940,Drobný Milan,,
2969,Horkýže Slíže,,
2974,Manowar,,
2997,Michael Jackson,,
3047,Petr Spálený,,
3048,Tina,,
3090,Within Temptation,,
3122,Udg,,
3135,Nerez,,
3154,Škwor,,
3167,Sunshine,,
3179,Precedens,,
3193,Jean Michel Jarre,,
3211,Kosheen,,
3214,Xavier Baumaxa,,
3215,Joe Cocker,,
3227,Stone Joss,,
3237,Macy Gray,,
3249,Mika,,
3250,Zbyněk Drda,,
3252,Gaia Mesiah,,
3296,Amy Winehouse,,
3297,Grinderman,,
3300,Tata Bojs,,
3304,Avril Lavigne,,
3339,Nine Inch Nails,,
3393,Greenhorns,,
3394,Bára Zemanová,,
3465,Björk,,
3500,Linkin Park,,
3509,Pražský Výběr Ii,,
3537,Turbo,,
3554,Ozzy Osbourne,,
3589,Traband,,
3596,Arakain,,https://www.youtube.com/playlist?list=OLAK5uy_mugoGL24Syr7Ytx5d8w1aUf7RPCc45S_Q
3646,Scorpions,,
3661,Marilyn Manson,,
3682,Dream Theater,,
3686,Suzanne Vega,,
3709,Bon Jovi,,
3731,La4,,
3741,Anderson Laurie,,
3742,Genesis,,
3749,Argema,,
3828,Paul Mccartney,,
3888,Thirty Seconds To Mars,,
3931,Smashing Pumpkins,,
4038,Brontosauři,,
4054,Korn,,
4090,Chemical Brothers,,
4098,Police,,
4139,Enrique Iglesias,,
4149,Abba,,
4247,Timbaland,,
4284,David Guetta,,
4358,Paul Van Dyk,,
4362,50 Cent,,
4393,Natalia Imbruglia,,
4407,Him,,
4410,Manu Chao,,
4411,Svěrák,,
4424,Bow Wave,,
4433,Marquess,,
4440,Mark Knopfler,,
4475,Foo Fighters,,
4502,Nightwish,,
4513,Annie Lennox,,
4516,Sto Zvířat,,
4549,Misha,,
4591,Green Day,,
4640,Eric Clapton,,
4646,Zuzana Smatanová,,
4656,Michal Hrůza,,
4658,Gahan  Dave,,
4666,Tankian Serj,,
4687,Kontrafakt,,
4688,Le Monde,,
4689,Eros Ramazzotti,,
4709,Helloween,,
4710,Peter Lipa,,
4714,Marpo,,
4715,Robert Křesťan,,
4726,Britney Spears,,
4794,Zagorová,,
4829,Led Zeppelin,,
4832,Seal,,
4844,Khoiba,,
4882,Turunen Tarja,,
4896,Duran Duran,,
4944,Celine Dion,,
4945,Eagles,,
5040,Magdalena Kožená,,
5097,Zmožek Jiří,,
5141,Kylie Minogue,,
5184,Alicia Keys,,
5279,Rak Jan-Matěj,,
5305,Avantasia,,
5312,Vladimir 518,,
5314,Eva Olmerová,,
5320,Leona Lewis,,
5351,Lenny Kravitz,,
5385,Karel Černoch,,
5408,Simple Plan,,
5428,O. Havelka,,
5439,Toxique,,
5483,Viktor Sodoma,,
5486,Sheryl Crow,,
5489,Rezek Petr,,
5496,Autopilote,,
5499,Johnson Jack,,
5518,Luboš Pospíšil,,
5536,Jaksi Taksi,,
5539,"Vlasta Redl, Ag Flek, Hradišťan",,
5549,Flamengo,,
5595,Desmod,,
5598,Airfare,,
5659,Bryan Adams,,
5663,Sarah Brightman,,
5671,Mike Oldfield,,
5682,Visací Zámek,,
5708,Blue Effect,,
5716,Shayne Ward,,
5732,Onerepublic,,
5737,Sugababes,,
5744,Vec,,
5750,R.E.M.,,
5805,Golden Kids,,
5821,Niceland,,
5841,Duffy,,
5883,Rolling Stones,,
5926,Whitesnake,,
5944,Colbie Caillat,,
5957,Portishead,,
5980,Def Leppard,,
5984,Bohemia,,
5986,Rangers,,
5996,Testament,,
6005,Lou Fanánek Hagen,,
6038,Mariah Carey,,
6042,Kreyson,,
6049,Era,,
6068,Marsyas,,
6088,Ilona Csáková,,
6090,Ruslana,,
6091,Orlík,,
6099,Cascada,,
6173,H16,,
6184,Usher,,
6192,Pio Squad,,
6194,Hrdinové Nové Fronty,,
6231,Děda Mládek Illegal Band,,
6234,Radiohead,,
6249,Tomáš Klus,,
6293,Wabi Daněk,,
6296,Sahula František,,
6300,Bratři Ebenové,,
6301,Coldplay,,
6302,Judas Priest,,
6330,Offspring,,
6382,Pavel Žalman Lohonka,,
6428,Hugo Toxxx,,
6432,Sigur Ros,,
6449,Čech František Ringo,,
6476,Karel Zich,,
6514,Code Red,,
6690,Načeva,,
6817,Verve,,
6825,Basshunter,,
6829,Slipknot,,
6833,Vladimír Mišík,,
6841,Shaun Baker,,
6851,Yvonne Sanchez,,
6900,Metallica,,
6948,Petr Janda,,
6953,Queen And Paul Rodgers,,
6985,Kate Ryan,,
6987,Katy Perry,,
6988,Morandi,,
7027,Volek Miki,,
7029,Jaroslav Wykrent,,
7061,Rasmus,,
7065,Leonard Cohen,,
7090,Shalom,,
7114,Oasis,,
7129,Amy Macdonald,,
7149,Miley Cyrus,,
7153,Marek Ztracený,,
7168,Jiří Schmitzer,,
7190,Müller,,
7193,Josef Vágner,,
7200,Ac,,
7210,Jiří Zonyga,,
7233,Dusilová  L.,,
7256,Cure,,
7277,Yvetta Simonová,,
7288,Gabriella Cilmi,,
7318,Kamil Střihavka,,
7350,Michal Horáček,,
7391,Rytmus,,
7445,Dido,,
7452,Guns N'Roses,,
7497,Jiří Korn,,
7509,Dj Wich,,
7523,Katarína Knechtová,,
7543,Lunetic,,
7573,Tobias Szidi,,
7686,Orion,,
7742,Nightwork,,
7834,Kreator,,
7839,Lady Gaga,,
7892,Franz Ferdinand,,
7896,Killers,,
7898,Holki,,
7924,Garage,,
7936,Óčko Allstars,,
7949,Doro,,
7963,Lily Allen,,
8040,Bára Basiková,,
8082,Hammerfall,,
8091,Robert Plant,,
8092,Dvorský R.A.,,
8113,Moja Reč,,
8122,Prodigy,,
8232,September,,
8249,Mig 21,,
8289,Avishai Cohen,,
8364,Ota Petřina,,
8386,Taylor Swift,,
8398,Pj Harvey,,
8443,Hannah Montana,,
8447,Hudgens Vanessa,,
8478,Petra Janů,,
8526,Xiii. Století,,
8531,Heaven,,
8541,Tina Turner,,
8549,Xindl X,,
8680,Manic Street Preachers,,
8696,Sandra,,
8697,Amos Tori,,
8734,Nironic,,
8789,Druhá Tráva,,
8795,Iggy Pop,,
8837,David Deyl,,
8879,Eva Pilarová,,
8893,Queen,,
8894,George Harrison,,
8895,Jonas Brothers,,
8935,Grossmann Jiří,,
8939,A-Ha,,
9195,Kašpárek V Rohlíku 2,,
9225,Homola Honza,,
9239,Leona Machálková,,
9280,Kašpárek V Rohlíku,,
9347,Supercrooo,,
9420,Houston Whitney,,
9489,Megadeth,,
9503,Muse,,
9578,Barbra Streisand,,
9585,Sonata Arctica,,
9590,Ryvolovi Wabi,,
9594,Europe,,
9616,Alice In Chains,,
9652,Kiss,,
9663,James Cole,,
9742,Epica,,
9793,Dj Tiesto,,
9830,Sting,,
9854,Doctor P.P.,,
9929,Jamie Cullum,,
10001,Lucie,,
10002,Divadlo J. Cimrmana,,
10006,Bogza Anda-Louise,,
10042,M.Horáček(Slova),,
10083,Tomáš Hanák,,
10090,Boyle Susan,,
10136,Svěcený J.,,
10146,Collegium Marianum,,
10272,Oceán,,
10296,Marta Jandová,,
10297,Nirvana,,
10358,Wiener Philharmoniker,,
10389,Tafrob,,
10419,Matadors,,
10437,Jaroslav Olin Nejezchleba,,
10447,Mandrage,,
10453,Sade,,
10486,Plastic People Of The Universe,,
10487,Alois Jirásek,,
10489,Werich Jan,,
10516,Gamma Ray,,
10552,Peter Gabriel,,
10583,Čermák Marko,,
10599,Gainsbourg Charlotte,,
10606,Inna,,
10610,Petr Kalandra,,
10646,Ringo Starr,,
10655,Štaidl Ladislav,,
10682,Milan Chladil,,
10703,Jimi Hendrix,,
10705,Gorillaz,,
10770,Kamelie,,
10774,Mcferrin Bobby,,
10797,Molavcová Jitka,,
10867,Neruda,,
10929,Justin Bieber,,
10942,Petr  Skoumal,,
10998,Slash,,
11010,Katapult 2010,,
11014,Charlie Straight,,
11016,Kotvald,,
11024,Recoil,,
11040,Cypress Hill,,
11082,Jeff Beck,,
11098,Třešňák Vlastimil,,
11113,Prago Union,,
11124,Navigators,,
11146,Madskill,,
11147,Asia,,
11198,Čf,,
11247,Markéta Konvičková,,
11248,Cheryl Cole,,
11283,Masterplan,,
11306,Citron,,
11402,Martin Chodúr,,
11444,Jitka Zelenková,,
11490,Morcheeba,,
11565,Česká Filharmonie,,
11570,Ben Cristovao,,
11719,Pavel Šporcl,,
11794,Arcade Fire,,
11889,Accept,,
