,hitparada,rok,tyden,pozice,track,interpret,interpret_hlavni,vydavatel
100,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,1,Ty a já,Kryštof,Kryštof,I.Richmond.P./Universal Music
101,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,2,Katarze,Slza,Slza,Universal Music
102,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,3,Nafrněná,Barbora Poláková,Barbora Poláková,Supraphon
103,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,4,Primetime,Majk Spirit,Majk Spirit,Nan
104,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,5,Celibát,Slza,Slza,Universal Music
105,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,6,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
106,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,7,Cesta z města,Mirai,Mirai,Universal Music
107,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,8,Ráno,Atmo Music & Jakub Děkan,Atmo Music,Warner Music
108,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,9,Srdcebeat,Kryštof,Kryštof,I.Richmond.P./Universal Music
109,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,10,Sonda,Tata Bojs,Tata Bojs,Supraphon
110,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,11,Peníze,Ektor & Rytmus,Ektor,Nan
111,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,12,Andělé,Atmo Music,Atmo Music,Warner Music
112,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,13,Fair Play,Miro Žbirka,Miro Žbirka,Universal Music
113,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,14,Cesta,Kryštof & Tomáš Klus,Kryštof,Universal Music
114,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,15,V blbým věku,Xindl X,Xindl X,Universal Music
115,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,16,Křídla z mýdla,Kryštof/Jaromír Nohavica,Kryštof,Universal Music
116,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,17,Toulavá,Sebastian,Sebastian,Warner Music
117,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,18,Brouci,Mandrage,Mandrage,Universal Music
118,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,19,Pláštěnky,Nebe,Nebe,Universal Music
119,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,20,Tráva,Aneta Langerová,Aneta Langerová,Art Shock/Supraphon
120,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,21,Lhůta záruční,Slza,Slza,Universal Music
121,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,22,Burlaci,Kabát,Kabát,Warner Music
122,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,23,Každý ráno,Chinaski,Chinaski,Brainzone
123,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,24,Polety,Atmo Music,Atmo Music,Warner Music
124,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,25,Každé ráno,Kryštof,Kryštof,Universal Music
125,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,26,Spolu,Ondřej Brzobohatý,Ondřej Brzobohatý,Supraphon
126,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,27,V naší ulici,Voxel,Voxel,Warner Music
127,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,28,Záchranný bod,Sebastian,Sebastian,Warner Music
128,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,29,Nadčasová,Tata Bojs,Tata Bojs,Supraphon
129,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,30,Gastronaut,Tata Bojs,Tata Bojs,Supraphon
130,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,31,Víno,Chinaski,Chinaski,Brainzone
131,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,32,Co bylo dál?,Jelen & Jana Kirschner,Jelen,Singlton/Universal Music
132,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,33,Inzerát,Kryštof,Kryštof,Um/Richrec
133,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,34,Zatančím,Kryštof,Kryštof,Universal Music
134,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,35,Atentát,Kryštof,Kryštof,Warner Music
135,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,36,Zakázané uvolnění,Michal Hrůza,Michal Hrůza,Universal Music
136,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,37,Bones,Lenny,Lenny,Universal Music
137,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,38,Barbína,Xindl X,Xindl X,Universal Music
138,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,39,Magdaléna,Jelen,Jelen,Singlton/Universal Music
139,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,40,Sweet Chilli,Ben Cristovao,Ben Cristovao,Championship Music
140,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,41,Hlavolam,Chinaski,Chinaski,Universal Music
141,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,42,GenerácYa,Majk Spirit,Majk Spirit,Nan
142,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,43,Plán,Kryštof,Kryštof,Warner Music
143,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,44,Ráno,Michal Hrůza,Michal Hrůza,Universal Music
144,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,45,Římská,Kryštof,Kryštof,Universal Music
145,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,46,Jelen,Jelen,Jelen,Singlton/Universal Music
146,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,47,Dívka,Aneta Langerová,Aneta Langerová,Art Shock/Supraphon
147,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,48,Panna,Aneta Langerová,Aneta Langerová,Art Shock/Supraphon
148,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,49,Tragédie u nás na vsi,Aneta Langerová,Aneta Langerová,Art Shock/Supraphon
149,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,44,50,Žijeme len raz,Ego Feat. Robert Burian,Ego,Warner Music
150,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,1,Ty a já,Kryštof,Kryštof,I.Richmond.P./Universal Music
151,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,2,Katarze,Slza,Slza,Universal Music
152,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,3,Nafrněná,Barbora Poláková,Barbora Poláková,Supraphon
153,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,4,Primetime,Majk Spirit,Majk Spirit,Nan
154,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,5,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
155,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,6,Celibát,Slza,Slza,Universal Music
156,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,7,Ráno,Atmo Music & Jakub Děkan,Atmo Music,Warner Music
157,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,8,Každý ráno,Chinaski,Chinaski,Brainzone
158,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,9,Toulavá,Sebastian,Sebastian,Warner Music
159,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,10,Srdcebeat,Kryštof,Kryštof,I.Richmond.P./Universal Music
160,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,11,Lhůta záruční,Slza,Slza,Universal Music
161,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,12,Záchranný bod,Sebastian,Sebastian,Warner Music
162,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,13,Cesta,Kryštof & Tomáš Klus,Kryštof,Universal Music
163,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,14,Cesta z města,Mirai,Mirai,Universal Music
164,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,15,Sonda,Tata Bojs,Tata Bojs,Supraphon
165,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,16,Terapeut,Pavel Callta,Pavel Callta,Warner Music
166,CZ - SINGLES DIGITAL - TOP 50  CZ,2015,45,17,Brouci,Mandrage,Mandrage,Universal Music
