,hitparada,rok,tyden,pozice,track,interpret,interpret_hlavni,vydavatel
171730,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,1,Nic není nastálo,David Koller,David Koller,Universal Music
171731,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,2,Nothing Is Something,Support Lesbiens,Support Lesbiens,Universal Music
171732,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,3,Snow,Red Hot Chili Peppers,Red Hot Chili Peppers,Warner Music
171733,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,4,Welcome To The Black Parade,My Chemical Romance,My Chemical Romance,Warner Music
171734,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,5,Saints Are Coming,U2/green Day,U2,Universal Music
171735,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,6,What I´ve Done,Linkin Park,Linkin Park,Warner Music
171736,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,7,Ganga,Wohnout,Wohnout,Sony Music
171737,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,8,Burlaci,Kabát,Kabát,Warner Music
171738,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,9,Martyr,Depeche Mode,Depeche Mode,Warner Music
171739,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,10,Move,Ro(c)k Podvraťáků-zpívá V.dyk,Ro(c)k Podvraťáků-zpívá V.dyk,Sony Music
171740,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,11,Kde jsou,Zemanová Bára,Zemanová Bára,Sony Music
171741,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,12,No Fear,Rasmus,Rasmus,Universal Music
171742,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,13,"This Ain´t a Scene, It´s an Arms Race",Fall Out Boy,Fall Out Boy,Universal Music
171743,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,14,Smiley Faces,Gnarls Barkley,Gnarls Barkley,Warner Music
171744,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,15,Is It Any Wonder,Keane,Keane,Universal Music
171745,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,16,Bleed It Out,Linkin Park,Linkin Park,Warner Music
171746,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,17,Starlight,Muse,Muse,Warner Music
171747,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,18,Boulevard Of Broken Dreams,Green Day,Green Day,Warner Music
171748,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,19,Hole In The Earth,Deftones,Deftones,Warner Music
171749,CZ - RADIO - TOP 20 MODERN ROCK,2006,1,20,Miss Murder,Afi,Afi,Interscope
171550,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,1,Kdo naslouchá mrtvým,Aleš Brichta,Aleš Brichta,Pm
171551,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,2,Starej pes,Alkehol,Alkehol,Spv
171552,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,3,Realita,Aleš Brichta,Aleš Brichta,Pm
171553,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,4,Dope Sick,Clou,Clou,Sony Music
171554,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,5,Perfect Strangers,Inxs,Inxs,Universal Music
171555,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,6,Bank Robber Man,Lenny Kravitz,Lenny Kravitz,Warner Music
171556,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,7,New White Car,1st Choice,1st Choice,Frm Rec.
171557,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,8,Is It Any Wonder,Keane,Keane,Universal Music
171558,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,9,Bare Grace Misery,Nightwish,Nightwish,Universal Music
171559,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,10,Everybody's Gone To War,Pallot Nerina,Pallot Nerina,Warner Music
171560,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,11,Encounter,Enochian,Enochian,Universal Music
171561,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,12,I Want You So Hard,Eagles Of Death Metal,Eagles Of Death Metal,Sony Music
171562,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,13,Ganga,Wohnout,Wohnout,Sony Music
171563,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,14,Kde se život zastavil,Aleš Brichta,Aleš Brichta,Pm
171564,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,15,Bitter to Bitter,Die Happy,Die Happy,Sony Music
171565,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,16,Under the Rose,Him,Him,Universal Music
171566,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,17,Wheels of Fire,Judas Priest,Judas Priest,Sony Music
171567,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,18,Jsou kolem nás,Petr Kolář,Petr Kolář,Universal Music
171568,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,19,Back to the Drive,Suzi Quatro,Suzi Quatro,Warner Music
171569,CZ - RADIO - TOP 20 MODERN ROCK,2006,40,20,Hmyzákův víkend,Visací Zámek,Visací Zámek,Warner Music
171570,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,1,Return,Enochian,Enochian,Universal Music
171571,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,2,Welcome To The Black Parade,My Chemical Romance,My Chemical Romance,Warner Music
171572,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,3,I Want You So Hard,Eagles Of Death Metal,Eagles Of Death Metal,Sony Music
171573,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,4,Hole In The Earth,Deftones,Deftones,Warner Music
171574,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,5,Call Me When You´re ...,Evanescence,Evanescence,Sony Music
171575,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,6,Ganga,Wohnout,Wohnout,Sony Music
171576,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,7,Mr. Performer,Vladivojna La Chia,Vladivojna La Chia,Vladivojna
171577,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,8,Land of Confusion,Disturbed,Disturbed,Warner Music
171578,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,9,Eleanor Put Your Boots On,Franz Ferdinand,Franz Ferdinand,Dr
171579,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,10,Starlight,Muse,Muse,Warner Music
171580,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,11,In the Morning,Razorlight,Razorlight,Universal Music
171581,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,12,Tell Me Baby,Red Hot Chili Peppers,Red Hot Chili Peppers,Warner Music
171582,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,13,Miss Murder,Afi,Afi,Interscope
171583,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,14,Seš mrtvej!,Dymytry,Dymytry,Om
171584,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,15,Dimension,Wolfmother,Wolfmother,Universal Music
171585,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,16,Hardest Part,Coldplay,Coldplay,Warner Music
171586,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,17,Shut the Fuck Up!,Flaming Cocks,Flaming Cocks,Cr
171587,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,18,Pull the Trigger,Flaming Cocks,Flaming Cocks,Cr
171588,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,19,Bunny,Flaming Cocks,Flaming Cocks,Cr
171589,CZ - RADIO - TOP 20 MODERN ROCK,2006,41,20,Crossroads,Flaming Cocks,Flaming Cocks,Cr
171590,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,1,Realita,Aleš Brichta,Aleš Brichta,Pm
171591,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,2,Kdo naslouchá mrtvým,Aleš Brichta,Aleš Brichta,Pm
171592,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,3,Different World,Iron Maiden,Iron Maiden,Warner Music
171593,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,4,Jsou kolem nás,Petr Kolář,Petr Kolář,Universal Music
171594,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,5,Starej pes,Alkehol,Alkehol,Spv
171595,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,6,Kde se život zastavil,Aleš Brichta,Aleš Brichta,Pm
171596,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,7,Under the Rose,Him,Him,Universal Music
171597,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,8,Perfect Strangers,Inxs,Inxs,Universal Music
171598,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,9,Is It Any Wonder,Keane,Keane,Universal Music
171599,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,10,Bank Robber Man,Lenny Kravitz,Lenny Kravitz,Warner Music
171600,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,11,Welcome To The Black Parade,My Chemical Romance,My Chemical Romance,Warner Music
171601,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,12,New White Car,1st Choice,1st Choice,Frm Rec.
171602,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,13,Life Springing Wild,Memoria,Memoria,Red Black
171603,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,14,Bare Grace Misery,Nightwish,Nightwish,Universal Music
171604,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,15,Everybody's Gone To War,Pallot Nerina,Pallot Nerina,Warner Music
171605,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,16,Forbiden Name Of My Clan,Enochian,Enochian,Universal Music
171606,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,17,Hole In The Earth,Deftones,Deftones,Warner Music
171607,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,18,Bitter to Bitter,Die Happy,Die Happy,Sony Music
171608,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,19,Wheels of Fire,Judas Priest,Judas Priest,Sony Music
171609,CZ - RADIO - TOP 20 MODERN ROCK,2006,42,20,Nemo,Nightwish,Nightwish,Universal Music
171610,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,1,Different World,Iron Maiden,Iron Maiden,Warner Music
171611,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,2,Realita,Aleš Brichta,Aleš Brichta,Pm
171612,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,3,Kdo naslouchá mrtvým,Aleš Brichta,Aleš Brichta,Pm
171613,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,4,Kde se život zastavil,Aleš Brichta,Aleš Brichta,Pm
171614,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,5,Jsou kolem nás,Petr Kolář,Petr Kolář,Universal Music
171615,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,6,Starej pes,Alkehol,Alkehol,Spv
171616,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,7,Under the Rose,Him,Him,Universal Music
171617,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,8,Perfect Strangers,Inxs,Inxs,Universal Music
171618,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,9,Bank Robber Man,Lenny Kravitz,Lenny Kravitz,Warner Music
171619,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,10,I Want You So Hard,Eagles Of Death Metal,Eagles Of Death Metal,Sony Music
171620,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,11,New White Car,1st Choice,1st Choice,Frm Rec.
171621,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,12,Wheels of Fire,Judas Priest,Judas Priest,Sony Music
171622,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,13,Life Springing Wild,Memoria,Memoria,Red Black
171623,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,14,Welcome To The Black Parade,My Chemical Romance,My Chemical Romance,Warner Music
171624,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,15,Bare Grace Misery,Nightwish,Nightwish,Universal Music
171625,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,16,Everybody's Gone To War,Pallot Nerina,Pallot Nerina,Warner Music
171626,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,17,Bitter to Bitter,Die Happy,Die Happy,Sony Music
171627,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,18,Is It Any Wonder,Keane,Keane,Universal Music
171628,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,19,Nemo,Nightwish,Nightwish,Universal Music
171629,CZ - RADIO - TOP 20 MODERN ROCK,2006,43,20,Never Leave,Seether,Seether,Sony Music
171630,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,1,Kdo naslouchá mrtvým,Aleš Brichta,Aleš Brichta,Pm
171631,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,2,Realita,Aleš Brichta,Aleš Brichta,Pm
171632,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,3,Jsou kolem nás,Petr Kolář,Petr Kolář,Universal Music
171633,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,4,Kde se život zastavil,Aleš Brichta,Aleš Brichta,Pm
171634,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,5,Holiday,Green Day,Green Day,Warner Music
171635,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,6,Bank Robber Man,Lenny Kravitz,Lenny Kravitz,Warner Music
171636,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,7,Welcome To The Black Parade,My Chemical Romance,My Chemical Romance,Warner Music
171637,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,8,Wheels of Fire,Judas Priest,Judas Priest,Sony Music
171638,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,9,Everybody's Gone To War,Pallot Nerina,Pallot Nerina,Warner Music
171639,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,10,Saints Are Coming,U2/green Day,U2,Universal Music
171640,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,11,Bitter to Bitter,Die Happy,Die Happy,Sony Music
171641,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,12,Different World,Iron Maiden,Iron Maiden,Warner Music
171642,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,13,Starlight,Muse,Muse,Warner Music
171643,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,14,You Are All I Have,Snow Patrol,Snow Patrol,Universal Music
171644,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,15,Stay With You,Goo Goo Dolls,Goo Goo Dolls,Warner Music
171645,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,16,Angel,Judas Priest,Judas Priest,Sony Music
171646,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,17,Gift,Seether,Seether,Sony Music
171647,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,18,Juicebox,Strokes,Strokes,Sony Music
171648,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,19,Starej pes,Alkehol,Alkehol,Spv
171649,CZ - RADIO - TOP 20 MODERN ROCK,2006,44,20,Under the Rose,Him,Him,Universal Music
171650,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,1,Kdo naslouchá mrtvým,Aleš Brichta,Aleš Brichta,Pm
171651,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,2,Different World,Iron Maiden,Iron Maiden,Warner Music
171652,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,3,Realita,Aleš Brichta,Aleš Brichta,Pm
171653,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,4,Starej pes,Alkehol,Alkehol,Spv
171654,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,5,Kde se život zastavil,Aleš Brichta,Aleš Brichta,Pm
171655,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,6,Holiday,Green Day,Green Day,Warner Music
171656,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,7,Under the Rose,Him,Him,Universal Music
171657,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,8,Wheels of Fire,Judas Priest,Judas Priest,Sony Music
171658,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,9,Bank Robber Man,Lenny Kravitz,Lenny Kravitz,Warner Music
171659,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,10,Welcome To The Black Parade,My Chemical Romance,My Chemical Romance,Warner Music
171660,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,11,Dope Sick,Clou,Clou,Sony Music
171661,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,12,Perfect Strangers,Inxs,Inxs,Universal Music
171662,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,13,Life Springing Wild,Memoria,Memoria,Red Black
171663,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,14,Bare Grace Misery,Nightwish,Nightwish,Universal Music
171664,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,15,Everybody's Gone To War,Pallot Nerina,Pallot Nerina,Warner Music
171665,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,16,Saints Are Coming,U2/green Day,U2,Universal Music
171666,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,17,Is It Any Wonder,Keane,Keane,Universal Music
171667,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,18,New White Car,1st Choice,1st Choice,Frm Rec.
171668,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,19,Nemo,Nightwish,Nightwish,Universal Music
171669,CZ - RADIO - TOP 20 MODERN ROCK,2006,45,20,Never Leave,Seether,Seether,Sony Music
171670,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,1,Different World,Iron Maiden,Iron Maiden,Warner Music
171671,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,2,Bank Robber Man,Lenny Kravitz,Lenny Kravitz,Warner Music
171672,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,3,Starej pes,Alkehol,Alkehol,Spv
171673,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,4,Jsou kolem nás,Petr Kolář,Petr Kolář,Universal Music
171674,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,5,Kdo naslouchá mrtvým,Aleš Brichta,Aleš Brichta,Pm
171675,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,6,Realita,Aleš Brichta,Aleš Brichta,Pm
171676,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,7,Kde se život zastavil,Aleš Brichta,Aleš Brichta,Pm
171677,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,8,Holiday,Green Day,Green Day,Warner Music
171678,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,9,Under the Rose,Him,Him,Universal Music
171679,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,10,Wheels of Fire,Judas Priest,Judas Priest,Sony Music
171680,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,11,Dope Sick,Clou,Clou,Sony Music
171681,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,12,Perfect Strangers,Inxs,Inxs,Universal Music
171682,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,13,Life Springing Wild,Memoria,Memoria,Red Black
171683,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,14,Bare Grace Misery,Nightwish,Nightwish,Universal Music
171684,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,15,Ganga,Wohnout,Wohnout,Sony Music
171685,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,16,New White Car,1st Choice,1st Choice,Frm Rec.
171686,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,17,Hungry,Inxs,Inxs,Sony Music
171687,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,18,Is It Any Wonder,Keane,Keane,Universal Music
171688,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,19,Nemo,Nightwish,Nightwish,Universal Music
171689,CZ - RADIO - TOP 20 MODERN ROCK,2006,46,20,Everybody's Gone To War,Pallot Nerina,Pallot Nerina,Warner Music
171690,CZ - RADIO - TOP 20 MODERN ROCK,2006,47,1,Nothing Is Something,Support Lesbiens,Support Lesbiens,Universal Music
171691,CZ - RADIO - TOP 20 MODERN ROCK,2006,47,2,Saints Are Coming,U2/green Day,U2,Universal Music
171692,CZ - RADIO - TOP 20 MODERN ROCK,2006,47,3,Martyr,Depeche Mode,Depeche Mode,Warner Music
171693,CZ - RADIO - TOP 20 MODERN ROCK,2006,47,4,Welcome To The Black Parade,My Chemical Romance,My Chemical Romance,Warner Music
171694,CZ - RADIO - TOP 20 MODERN ROCK,2006,47,5,Move,Ro(c)k Podvraťáků-zpívá V.dyk,Ro(c)k Podvraťáků-zpívá V.dyk,Sony Music
171695,CZ - RADIO - TOP 20 MODERN ROCK,2006,47,6,Ganga,Wohnout,Wohnout,Sony Music
