,hitparada,rok,tyden,week,pozice,album,interpret,interpret_hlavni,vydavatel
0,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,2006-48,1,Mozart - Best Of Mozart,Různí,Různí,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,2006-48,2,Smetana - Má vlast,Čf/Neumann,Čf,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,2006-48,3,Arias,Kožená/Mozart,Kožená,Universal Music
3,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,2006-48,4,Bach - Cello suites 1-6,Bárta Jiří/J.S.Bach,Bárta Jiří,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,2006-48,5,"Brahms - Klavírní koncerty 1 d moll, 2 B dur",Čf/Bělohlávek,Čf,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,2006-48,6,Dvořák/Suk - Díla pro housle a klavír,Šporcl/Jiříkovský,Šporcl,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,2006-48,7,Sub olea pacis et palma virtutis,Zelenka/Štryncl,Zelenka,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,2006-48,8,Dvořák - Stabat mater op. 58,Čf/Sawallisch,Čf,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,2006-48,9,Pastorální mše,Pavlica/Zrunek,Pavlica,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2006,48,2006-48,10,Smetana - Prodaná nevěsta   DVD,Čf/Košler,Čf,Supraphon
10,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,2006-49,1,Mozart - Best Of Mozart,Různí,Různí,Supraphon
11,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,2006-49,2,Arias,Kožená/Mozart,Kožená,Universal Music
12,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,2006-49,3,Smetana - Má vlast,Čf/Neumann,Čf,Supraphon
13,CZ - ALBUMS CLASSICAL - TOP 10,2006,49,2006-49,4,Dvořák/Suk - Díla pro housle a klavír,Šporcl/Jiříkovský,Šporcl,Supraphon
