,hitparada,rok,tyden,pozice,track,interpret,interpret_hlavni,vydavatel
361269,SK - RADIO - TOP 50 SK,2016,43,1,Veľký sen mora,Škampi Na Žaru,Škampi Na Žaru,Nan
361270,SK - RADIO - TOP 50 SK,2016,43,2,FEA,Katarína Knechtová,Katarína Knechtová,Sukuba Agency
361271,SK - RADIO - TOP 50 SK,2016,43,3,Nothing,Lina Mayer,Lina Mayer,Lina Mayer
361272,SK - RADIO - TOP 50 SK,2016,43,4,Anna,I.m.t.smile,I.m.t.smile,Universal Music
361273,SK - RADIO - TOP 50 SK,2016,43,5,Všetko alebo nič,Dara Rolins,Dara Rolins,Nan
361274,SK - RADIO - TOP 50 SK,2016,43,6,Spolu,Adam Ďurica,Adam Ďurica,Universal Music
361275,SK - RADIO - TOP 50 SK,2016,43,7,Julia Roberts,Richard Müller,Richard Müller,Universal Music
361276,SK - RADIO - TOP 50 SK,2016,43,8,Dovtedy,Adam Ďurica,Adam Ďurica,Universal Music
361277,SK - RADIO - TOP 50 SK,2016,43,9,Kto dokáže,No Name & Sosr,No Name,Brainzone
361278,SK - RADIO - TOP 50 SK,2016,43,10,The Room of Ghosts,Elevenhill,Elevenhill,Elevenhill
361279,SK - RADIO - TOP 50 SK,2016,43,11,Mandolína,Adam Ďurica,Adam Ďurica,Universal Music
361280,SK - RADIO - TOP 50 SK,2016,43,12,Cudzinka v tvojej zemi,Xindl X & Mirka Miškechová,Xindl X,Universal Music
361281,SK - RADIO - TOP 50 SK,2016,43,13,Láska bombová,Kristina,Kristina,Universal Music
361282,SK - RADIO - TOP 50 SK,2016,43,14,I Was Wrong,Celeste Buckingham & Majk Spirit,Celeste Buckingham,Nan
361283,SK - RADIO - TOP 50 SK,2016,43,15,Smile,Emma Drobná,Emma Drobná,Warner Music
361284,SK - RADIO - TOP 50 SK,2016,43,16,Si sám,Tina,Tina,Warner Music
361285,SK - RADIO - TOP 50 SK,2016,43,17,Keď sme sami,Hex,Hex,Clockwise
361286,SK - RADIO - TOP 50 SK,2016,43,18,V blbým věku,Xindl X,Xindl X,Universal Music
361287,SK - RADIO - TOP 50 SK,2016,43,19,Jazda,Kali,Kali,Kali Records
361288,SK - RADIO - TOP 50 SK,2016,43,20,Babylon,Vladis & Majk Spirit & Maxo,Vladis,Nan
361289,SK - RADIO - TOP 50 SK,2016,43,21,Neriešme,Ego & Monika Bagárová,Ego,Nan
361290,SK - RADIO - TOP 50 SK,2016,43,22,Hvězda,Aneta Langerová,Aneta Langerová,Art Shock/supraphon
