,hitparada,rok,mesic,pozice,album,interpret,interpret_hlavni,vydavatel
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,5,8,Best Of Dvořák,Různí,Různí,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,5,9,Adam Plachetka: Impossible Dream,Sočr/netopil,Sočr,Čro
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,5,10,Česká barokní vánoční hudba,Musica Antiqua Praha,Musica Antiqua Praha,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,6,1,Janáček: Klavírní dílo,Jan Bartoš,Jan Bartoš,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,6,2,Il giardino dei sospiri,Magdalena Kožená,Magdalena Kožená,Pentatone
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,6,3,Best Of Dvořák,Různí,Různí,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,6,4,Prague-Vienna - Journey in Songs,Různí,Různí,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,6,5,Karel Kovařovic - Smyčcové kvartety,Stamicovo Kvarteto,Stamicovo Kvarteto,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,6,6,Romantic Moments II,André Rieu,André Rieu,Universal Music
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,6,7,Best Of Smetana,Různí,Různí,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,6,8,Martinů: Písně,Různí,Různí,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,6,9,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,6,10,Bedřich Smetana : Má vlast,Sočr/krombholc,Sočr,Multisonic
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,7,1,Il giardino dei sospiri,Magdalena Kožená,Magdalena Kožená,Pentatone
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,7,2,Smetana: Má vlast - Beethoven: Koncert D dur,Různí,Různí,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,7,3,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,7,4,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,7,5,Meditace & relaxace s klasickou hudbou,Různí,Různí,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,7,6,Romantic Moments II,André Rieu,André Rieu,Universal Music
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,7,7,Love in Venice,Rieu Andre,Rieu Andre,Universal Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,7,8,Prague Classics / Musical Souvenir from Prague,Různí,Různí,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,7,9,Má vlast,Čf/mackerras,Čf,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,7,10,"Symfonie č. 9 Novosvětská, Te Deum",Čf/neumann,Čf,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,8,1,Il giardino dei sospiri,Magdalena Kožená,Magdalena Kožená,Pentatone
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,8,2,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,8,3,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,8,4,Romantic Moments II,André Rieu,André Rieu,Universal Music
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,8,5,Meditace & relaxace s klasickou hudbou,Různí,Různí,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,8,6,Smetana: Má vlast,Čf/bělohlávek,Čf,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,8,7,Adam Plachetka: Impossible Dream,Sočr/netopil,Sočr,Čro
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,8,8,Let There Be Cello,2cellos,2cellos,Sony Music
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,8,9,Piano & Cello Concert,Bárta Jiří/a.dvořák,Bárta Jiří,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,8,10,Má vlast,Čf/mackerras,Čf,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2019,9,1,Praga Rosa Bohemiae - hudba renesanční Prahy,Capella Mariana / V. Semerád,Capella Mariana,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2019,9,2,Klasika pro lepší spánek,Různí,Různí,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2019,9,3,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2019,9,4,Meditace & relaxace s klasickou hudbou,Různí,Různí,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2019,9,5,Janáček:Zápisník zmizelého-Dvořák:Biblické písně..,V.přibyl/l.márová/j.páleníček/m.máša,V.přibyl,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2019,9,6,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2019,9,7,Tchaikovsky: Complete Symphonies and Piano Concert,Čf/bychkov & Gerstein,Čf,Decca Music Group
7,CZ - ALBUMS CLASSICAL - TOP 10,2019,9,8,"Symfonie č. 9 Novosvětská, Te Deum",Čf/neumann,Čf,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2019,9,9,Janáček: Moravská lidová poesie v písních,Janková / Král / Kahánek,Janková,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2019,9,10,Historie psaná šelakem-Zlatý věk české operety 11,Různí,Různí,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,1,1,Dvořák & Martinů: Klavírní koncerty,Bamberger Symphoniker/j.hrůša/i.kahánek,Bamberger Symphoniker,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,1,2,"Šostakovič: Smyčcové kvartety č. 2, 7, 8",Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,1,3,Happy Days,André Rieu,André Rieu,Universal Music
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,1,4,Farinelli,Cecilia Bartoli,Cecilia Bartoli,Universal Music
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,1,5,Francouzské árie,Petr Nekoranec / Čf/ Christopher Franklin,Petr Nekoranec,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,1,6,Si Forever (The Diamond Edition),Andrea Bocelli,Andrea Bocelli,Universal Music
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,1,7,České zpěvy vánoční,Musica Bohemica,Musica Bohemica,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,1,8,Orquestrina,Radek Baborák,Radek Baborák,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,1,9,The Magical Gallery,Dagmar Pecková / Darek Král,Dagmar Pecková,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,1,10,Má vlast - B. Smetana,Čf/ančerl,Čf,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,10,1,Next Horizon,Vilém Veverka,Vilém Veverka,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,10,2,Jurkovič: ukolébavky,Hana Blažíková / Tomáš Král,Hana Blažíková,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,10,3,Portrait,Ivan Moravec,Ivan Moravec,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,10,4,Best Of Dvořák,Různí,Různí,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,10,5,Má vlast,Čf/smetáček,Čf,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,10,6,"Mysliveček: Hobojové kvintety, Smyčcové kvartety",Doležalovo Kvarteto/m.hrabánková,Doležalovo Kvarteto,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,10,7,Let There Be Cello,2cellos,2cellos,Sony Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,10,8,Score,2cellos,2cellos,Sony Music
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,10,9,"Hurník,Prokofjev: Příběhy jedné kapely, Péťa a vlk",Různí,Různí,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,10,10,"Dvořák: Requiem, Biblical Songs, Te Deum","Čf/hrůša, Bělohlávek, Martiník",Čf,Decca Music Group
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,11,1,"Mysliveček: Hobojové kvintety, Smyčcové kvartety",Doležalovo Kvarteto/m.hrabánková,Doležalovo Kvarteto,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,11,2,Way of Life,Jaroslav Svěcený,Jaroslav Svěcený,Bon Art Music
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,11,3,Next Horizon,Vilém Veverka,Vilém Veverka,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,11,4,Christmas On The Blue Violin,Pavel Šporcl,Pavel Šporcl,Universal Music
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,11,5,Portrait,Ivan Moravec,Ivan Moravec,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,11,6,Má vlast,Čf/kubelík,Čf,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,11,7,Let There Be Cello,2cellos,2cellos,Sony Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,11,8,A. Dvořák - Symfonie č. 6-9 - Z Nového světa,Berliner Philharmoniker/r. Kubelík,Berliner Philharmoniker,Universal Music
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,11,9,Score,2cellos,2cellos,Sony Music
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,11,10,Rorate coeli / Advent a Vánoce v barokní Praze,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,12,1,Way of Life,Jaroslav Svěcený,Jaroslav Svěcený,Bon Art Music
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,12,2,Music Man: Adam Plachetka,A. Plachetka/l. Soukupová/k.otevřelová,A. Plachetka,Čro
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,12,3,Christmas On The Blue Violin,Pavel Šporcl,Pavel Šporcl,Universal Music
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,12,4,Jiří Bělohlávek - Recollection,Různí,Různí,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,12,5,Nativitas - Vánoční písně staré Evropy,Dagmar Pecková,Dagmar Pecková,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,12,6,Klavírní koncerty,I.kahánek/bamberger Symphoniker/j.průša,I.kahánek,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,12,7,České zpěvy vánoční,Musica Bohemica,Musica Bohemica,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,12,8,Queen of Baroque,Cecilia Bartoli,Cecilia Bartoli,Universal Music
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,12,9,Portrait,Ivan Moravec,Ivan Moravec,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,12,10,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,2,1,Francouzské árie,Petr Nekoranec / Čf/ Christopher Franklin,Petr Nekoranec,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,2,2,"Hurník,Prokofjev: Příběhy jedné kapely, Péťa a vlk",Různí,Různí,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,2,3,Dvořák & Martinů: Klavírní koncerty,Bamberger Symphoniker/j.hrůša/i.kahánek,Bamberger Symphoniker,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,2,4,Farinelli,Cecilia Bartoli,Cecilia Bartoli,Universal Music
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,2,5,The Magical Gallery,Dagmar Pecková / Darek Král,Dagmar Pecková,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,2,6,Beethoven & Ravel: Koncerty pro klavír a orchestr,I.moravec & Pražská Komorní Filharm./j.bělohlávek,I.moravec,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,2,7,"Beethoven, L.v. Klavírní sonáty",Ivan Moravec,Ivan Moravec,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,2,8,Klavírní koncerty,I.kahánek/bamberger Symphoniker/j.průša,I.kahánek,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,2,9,Best Of Beethoven,Různí,Různí,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,2,10,Romantic Moments II,André Rieu,André Rieu,Universal Music
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,3,1,Score,2cellos,2cellos,Sony Music
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,3,2,Francouzské árie,Petr Nekoranec / Čf/ Christopher Franklin,Petr Nekoranec,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,3,3,Let There Be Cello,2cellos,2cellos,Sony Music
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,3,4,Janáček: Klavírní dílo,Jan Bartoš,Jan Bartoš,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,3,5,Klasika pro lepší spánek,Různí,Různí,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,3,6,Adventní mše Rorate v českých kancionálech,Adventus Domini / Schola Gregoriana Pragensis,Adventus Domini,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,3,7,Happy Days,André Rieu,André Rieu,Universal Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,3,8,Má vlast - B. Smetana,Čf/ančerl,Čf,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,3,9,Ančerl - Gold Edition 2 - Dvořák - Symfonie č. 9,Čf/ančerl,Čf,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,3,10,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,4,1,Impossible Dream,Adam Plachetka,Adam Plachetka,Radioservis
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,4,2,"Chaconne pro princeznu - Händel, Leclair",Jana Semerádová & Erich Traxler,Jana Semerádová,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,4,3,"Richter: Super flumina Babylonis, Miserere",Czech Ensemble Baroque Choir/r. Válek,Czech Ensemble Baroque Choir,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,4,4,"Hurník,Prokofjev: Příběhy jedné kapely, Péťa a vlk",Různí,Různí,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,4,5,Sólo pro krále,Semerádová Jana,Semerádová Jana,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,4,6,Score,2cellos,2cellos,Sony Music
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,4,7,Dvořák & Martinů: Klavírní koncerty,Bamberger Symphoniker/j.hrůša/i.kahánek,Bamberger Symphoniker,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,4,8,Rejcha: Dechové kvintety,Belfiato Quintet,Belfiato Quintet,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,4,9,Janáček: Klavírní dílo,Jan Bartoš,Jan Bartoš,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,4,10,"Bach, Messiaen, Pärt, Katt: Organ Works",Katt,Katt,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,5,1,Dvořák & Martinů: Klavírní koncerty,Bamberger Symphoniker/j.hrůša/i.kahánek,Bamberger Symphoniker,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,5,2,Smetana: Libuše (Live 1939),"Čf/talich, Orchestr Národního Divadla V Praze",Čf,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,5,3,Smetana & Liszt: Klavírní dílo,Miroslav Sekera,Miroslav Sekera,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,5,4,Klasika pro lepší spánek,Různí,Různí,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,5,5,Martinů/Foerster/Novák - Violoncellové koncerty,Pkf/jakub Hrůša,Pkf,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,5,6,"Chaconne pro princeznu - Händel, Leclair",Jana Semerádová & Erich Traxler,Jana Semerádová,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,5,7,Franz Schubert: Smyčcový kvartet č. 14 d moll,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,5,8,Love in Venice,Rieu Andre,Rieu Andre,Universal Music
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,5,9,Klavírní koncerty,I.kahánek/bamberger Symphoniker/j.průša,I.kahánek,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,5,10,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,6,1,Best of Czech Classics,Různí,Různí,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,6,2,Codex Jacobides / Praga circa 1600,Jan Čižmár,Jan Čižmár,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,6,3,Dvořák & Martinů: Klavírní koncerty,Bamberger Symphoniker/j.hrůša/i.kahánek,Bamberger Symphoniker,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,6,4,Dvořák - Symfonie č. 9,Čf/bělohlávek,Čf,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,6,5,Slovanské tance/A. Dvořák,Čf/mackerras,Čf,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,6,6,Smetana : Prodaná nevěsta - highlights,Pfs/veselka & Čf/košler,Pfs,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,6,7,Má vlast - Bedřich Smetana,Pkf/jakub Hrůša,Pkf,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,6,8,Best Of Smetana,Různí,Různí,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,6,9,Smetana: Libuše (Live 1939),"Čf/talich, Orchestr Národního Divadla V Praze",Čf,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,6,10,Smetana & Liszt: Klavírní dílo,Miroslav Sekera,Miroslav Sekera,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,7,1,Dvořák & Martinů: Klavírní koncerty,Bamberger Symphoniker/j.hrůša/i.kahánek,Bamberger Symphoniker,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,7,2,Smetana & Liszt: Klavírní dílo,Miroslav Sekera,Miroslav Sekera,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,7,3,A. Dvořák - Symfonie č. 6-9 - Z Nového světa,Berliner Philharmoniker/r. Kubelík,Berliner Philharmoniker,Universal Music
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,7,4,"Bach, Messiaen, Pärt, Katt: Organ Works",Katt,Katt,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,7,5,"Dvořák: Requiem, Biblical Songs, Te Deum","Čf/hrůša, Bělohlávek, Martiník",Čf,Decca Music Group
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,7,6,Smetana: Libuše (Live 1939),"Čf/talich, Orchestr Národního Divadla V Praze",Čf,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,7,7,"Chaconne pro princeznu - Händel, Leclair",Jana Semerádová & Erich Traxler,Jana Semerádová,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,7,8,Francouzské árie,Petr Nekoranec / Čf/ Christopher Franklin,Petr Nekoranec,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,7,9,Let There Be Cello,2cellos,2cellos,Sony Music
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,7,10,Rejcha: Dechové kvintety,Belfiato Quintet,Belfiato Quintet,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,8,1,Francouzské árie,Petr Nekoranec / Čf/ Christopher Franklin,Petr Nekoranec,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,8,2,Smetana & Liszt: Klavírní dílo,Miroslav Sekera,Miroslav Sekera,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,8,3,Smetana - Má vlast,Čf/neumann,Čf,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,8,4,Klavírní koncerty,I.kahánek/bamberger Symphoniker/j.průša,I.kahánek,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,8,5,Klasika pro lepší spánek,Různí,Různí,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,8,6,Sólo pro krále,Semerádová Jana,Semerádová Jana,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,8,7,Let There Be Cello,2cellos,2cellos,Sony Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,8,8,Rejcha: Dechové kvintety,Belfiato Quintet,Belfiato Quintet,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,8,9,Guitar Solo Collection,Brabec Lubomír,Brabec Lubomír,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,8,10,Farinelli,Cecilia Bartoli,Cecilia Bartoli,Universal Music
0,CZ - ALBUMS CLASSICAL - TOP 10,2020,9,1,Smetana/Dvořák: Smyčc.kvar.č.1-Smyčc.kvar.Americký,Panochovo Kvarteto,Panochovo Kvarteto,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2020,9,2,Beethoven: Kompletní smyčcové kvartety,Smetanovo Kvarteto,Smetanovo Kvarteto,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2020,9,3,"Novák: Klavírní koncert, Toman a lesní panna",Bartoš/sočr/hrůša,Bartoš,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2020,9,4,"Hurník,Prokofjev: Příběhy jedné kapely, Péťa a vlk",Různí,Různí,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2020,9,5,Score,2cellos,2cellos,Sony Music
5,CZ - ALBUMS CLASSICAL - TOP 10,2020,9,6,Dvořák: Moravské dvojzpěvy (komplet),Různí,Různí,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2020,9,7,Let There Be Cello,2cellos,2cellos,Sony Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2020,9,8,Dvořák & Martinů: Klavírní koncerty,Bamberger Symphoniker/j.hrůša/i.kahánek,Bamberger Symphoniker,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2020,9,9,Praga Rosa Bohemiae - hudba renesanční Prahy,Capella Mariana / V. Semerád,Capella Mariana,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2020,9,10,Martinů: Hry o Marii (cyklus 4 oper),Fok/bělohlávek,Fok,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2021,1,1,Dvorák: Complete Symphonies & Concertos,Čf/bělohlávek,Čf,Universal Music
1,CZ - ALBUMS CLASSICAL - TOP 10,2021,1,2,Music Man: Adam Plachetka,A. Plachetka/l. Soukupová/k.otevřelová,A. Plachetka,Čro
2,CZ - ALBUMS CLASSICAL - TOP 10,2021,1,3,"Hurník,Prokofjev: Příběhy jedné kapely, Péťa a vlk",Různí,Různí,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2021,1,4,Next Horizon,Vilém Veverka,Vilém Veverka,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2021,1,5,Má vlast,Čf/kubelík,Čf,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2021,1,6,Česká barokní vánoční hudba,Musica Antiqua Praha,Musica Antiqua Praha,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2021,1,7,Love in Venice,Rieu Andre,Rieu Andre,Universal Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2021,1,8,Romantic Moments II,André Rieu,André Rieu,Universal Music
8,CZ - ALBUMS CLASSICAL - TOP 10,2021,1,9,My Music - My World - The Very Best Of,André Rieu,André Rieu,Universal Music
9,CZ - ALBUMS CLASSICAL - TOP 10,2021,1,10,Romantický klavír,Jiří Malásek,Jiří Malásek,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2021,10,1,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2021,10,2,Tůma: Requiem,Czech Ensemble Baroque Choir/r. Válek,Czech Ensemble Baroque Choir,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2021,10,3,The Art of English Horn,Dominik Wollenweber,Dominik Wollenweber,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2021,10,4,"Martinů: Fresky, Paraboly, Rytiny",Sočr/netopil,Sočr,Supraphon
4,CZ - ALBUMS CLASSICAL - TOP 10,2021,10,5,A. Dvořák - Symfonie č. 6-9 - Z Nového světa,Berliner Philharmoniker/r. Kubelík,Berliner Philharmoniker,Universal Music
5,CZ - ALBUMS CLASSICAL - TOP 10,2021,10,6,"Má vlast, Largo, Letní dojmy","Jana Boušková / Smetana, Dvořák, Suk",Jana Boušková,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2021,10,7,Best of Classics,Různí,Různí,Supraphon
7,CZ - ALBUMS CLASSICAL - TOP 10,2021,10,8,Rorate coeli / Advent a Vánoce v barokní Praze,Collegium Marianum/j.semerádová,Collegium Marianum,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2021,10,9,Brixi: Magnificat. Hudba Prahy 18. století,Hipocondria Ensemble/jan Hádek,Hipocondria Ensemble,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2021,10,10,Liszt: Freudvoll und leidvoll,Jonas Kaufmann & Helmut Deutsch,Jonas Kaufmann,Sony Music
0,CZ - ALBUMS CLASSICAL - TOP 10,2021,11,1,Dvořák: Kompletní klavírní dílo,Ivo Kahánek,Ivo Kahánek,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2021,11,2,Dvořák: Kvintety,Pavel Haas Quartet,Pavel Haas Quartet,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2021,11,3,Tůma: Requiem,Czech Ensemble Baroque Choir/r. Válek,Czech Ensemble Baroque Choir,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2021,11,4,Tůma: Requiem,Czech Ensemble Baroque Choir/r. Válek,Czech Ensemble Baroque Choir,Super Projects
4,CZ - ALBUMS CLASSICAL - TOP 10,2021,11,5,"Dvořák:Symfonie č. 8 a 9, Legendy, Slovanské tance",Čf/symfonický Orch. Hl.m. Prahy Fok/ch. Mackerras,Čf,Supraphon
5,CZ - ALBUMS CLASSICAL - TOP 10,2021,11,6,Mahler: Píseň o zemi,Různí,Různí,Supraphon
