,hitparada,rok,mesic,pozice,album,interpret,interpret_hlavni,vydavatel
1,CZ - ALBUMS CLASSICAL - TOP 10,2018,12,2,Christmas On The Blue Violin,Pavel Šporcl,Pavel Šporcl,Universal Music
2,CZ - ALBUMS CLASSICAL - TOP 10,2018,12,3,X Mas,Štefan Margita,Štefan Margita,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2018,12,4,Let There Be Cello,2cellos,2cellos,Sony Music
4,CZ - ALBUMS CLASSICAL - TOP 10,2018,12,5,Každý jen tu svou,Kateřina Kněžíková & Adam Plachetka,Kateřina Kněžíková,Radioservis
5,CZ - ALBUMS CLASSICAL - TOP 10,2018,12,6,Bach - Cello suites 1-6,Bárta Jiří/j.s.bach,Bárta Jiří,Supraphon
6,CZ - ALBUMS CLASSICAL - TOP 10,2018,12,7,Score,2cellos,2cellos,Sony Music
7,CZ - ALBUMS CLASSICAL - TOP 10,2018,12,8,Vánoční koledy,Pražští Madrigalisté & M.venhoda,Pražští Madrigalisté,Supraphon
8,CZ - ALBUMS CLASSICAL - TOP 10,2018,12,9,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
9,CZ - ALBUMS CLASSICAL - TOP 10,2018,12,10,Martinů: Čím lidé žijí,Čf/bělohlávek,Čf,Supraphon
0,CZ - ALBUMS CLASSICAL - TOP 10,2018,4,1,Dvořák: Symfonie č. 9 e moll - Z Nového světa,Čf/neumann,Čf,Supraphon
1,CZ - ALBUMS CLASSICAL - TOP 10,2018,4,2,Hej Romale,Čhavorenge & Ida Kelarová & Čf& M. Ivanovič,Čhavorenge,Supraphon
2,CZ - ALBUMS CLASSICAL - TOP 10,2018,4,3,"Symfonie č. 9 Novosvětská, Te Deum",Čf/neumann,Čf,Supraphon
3,CZ - ALBUMS CLASSICAL - TOP 10,2018,4,4,Dvořák: Moravské dvojzpěvy (komplet),Různí,Různí,Supraphon
