,hitparada,rok,mesic,week,pozice,track,interpret,interpret_hlavni,vydavatel
10391,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,1,Good Goodbye,Linkin Park & Pusha T,Linkin Park,Warner Music
10392,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,2,"Bicáky, tricáky (kokosáče)",Doctor P.P.,Doctor P.P.,Lewron Music Center
10393,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,3,Burn It Down,Linkin Park,Linkin Park,Warner Music
10394,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,4,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
10395,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,5,Rockstar,Nickelback,Nickelback,Warner Music
10396,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,6,Help,Papa Roach,Papa Roach,Eleven Seven
10397,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,7,Run,Foo Fighters,Foo Fighters,Sony Music
10398,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,8,Wall Of Glass,Liam Gallagher,Liam Gallagher,Warner Music
10399,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,9,The Violence,Rise Against,Rise Against,Universal Music
10400,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,10,Dig Down,Muse,Muse,Warner Music
10401,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,11,Revolution Radio,Green Day,Green Day,Warner Music
10402,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,12,Black Rose,Volbeat,Volbeat,Nan
10403,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,13,Must Be Nice,Nickelback,Nickelback,Sony Music
10404,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,14,Goodbye Angels,Red Hot Chili Peppers,Red Hot Chili Peppers,Warner Music
10405,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,15,Spirit,Imodium & Sharkass,Imodium,Supraphon
10406,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,16,Jump,Portless,Portless,Nan
10407,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,17,Himlhergotdonrvetr,Trautenberk,Trautenberk,Avik
10408,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,18,Pomluva,D.N.A.,D.N.A.,Nan
10409,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,19,Hudba léčí,Wohnout,Wohnout,Warner Music
10410,CZ - RADIO - TOP 20 MODERN ROCK,2017,08,,20,Halfway There,Sheryl Crow,Sheryl Crow,Warner Music
10411,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,1,"Bicáky, tricáky (kokosáče)",Doctor P.P.,Doctor P.P.,Lewron Music Center
10412,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,2,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
10413,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,3,You’re The Best Thing About Me,U2,U2,Universal Music
10414,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,4,Good Goodbye,Linkin Park & Pusha T,Linkin Park,Warner Music
10415,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,5,Čaroděj,Wanastowi Vjecy,Wanastowi Vjecy,Pink Panther
10416,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,6,Boulevard Of Broken Dreams,Green Day,Green Day,Warner Music
10417,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,7,Burn It Down,Linkin Park,Linkin Park,Warner Music
10418,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,8,Sweat,All American Rejects,All American Rejects,Universal Music
10419,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,9,Solid Gold,Darkness,Darkness,Nan
10420,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,10,Divoká řeka,Imodium,Imodium,Supraphon
10421,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,11,For What It's Worth,Liam Gallagher,Liam Gallagher,Warner Music
10422,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,12,I Only Lie When I Love You,Royal Blood,Royal Blood,Warner Music
10423,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,13,Za tmavejch nocí,Škwor,Škwor,Supraphon
10424,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,14,Two Paths,Ensiferum,Ensiferum,Nan
10425,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,15,Song # 3,Stone Sour,Stone Sour,Universal Music
10426,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,16,Here Until Forever,In Flames,In Flames,Nuclear Blast
10427,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,17,Znáš mě líp než já,Ovoce,Ovoce,Ovoce
10428,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,18,Vojtech,Horkýže Slíže,Horkýže Slíže,Horkýže Slíže S.R.O.
10429,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,19,Runway,Jan Křížek,Jan Křížek,Supraphon
10430,CZ - RADIO - TOP 20 MODERN ROCK,2017,12,,20,The May Queen,Robert Plant,Robert Plant,Warner Music
11471,CZ - RADIO - TOP 20 MODERN ROCK,2018,04,,1,You’re The Best Thing About Me,U2,U2,Universal Music
11472,CZ - RADIO - TOP 20 MODERN ROCK,2018,04,,2,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
11473,CZ - RADIO - TOP 20 MODERN ROCK,2018,04,,3,Good Goodbye,Linkin Park & Pusha T,Linkin Park,Warner Music
11474,CZ - RADIO - TOP 20 MODERN ROCK,2018,04,,4,Thought Contagion,Muse,Muse,Warner Music
11475,CZ - RADIO - TOP 20 MODERN ROCK,2018,04,,5,Silní a nezlomní,Citron & Tublatanka,Citron,Studio Citron
11476,CZ - RADIO - TOP 20 MODERN ROCK,2018,04,,6,Born For Greatness,Papa Roach,Papa Roach,Eleven Seven
