,hitparada,rok,mesic,week,pozice,track,interpret,interpret_hlavni,vydavatel
0,CZ - SINGLES DIGITAL - TOP 100,2014,08,,1,Prayer in C,Lilly Wood & The Prick And Robin Schulz,Lilly Wood,Warner Music
1,CZ - SINGLES DIGITAL - TOP 100,2014,08,,2,Summer,Calvin Harris,Calvin Harris,Sony Music
2,CZ - SINGLES DIGITAL - TOP 100,2014,08,,3,A Sky Full Of Stars,Coldplay,Coldplay,Warner Music
3,CZ - SINGLES DIGITAL - TOP 100,2014,08,,4,Rude,Magic!,Magic!,Sony Music
4,CZ - SINGLES DIGITAL - TOP 100,2014,08,,5,Riptide,Joy Vance,Joy Vance,Warner Music
5,CZ - SINGLES DIGITAL - TOP 100,2014,08,,6,Am I Wrong,Nico & Vinz,Nico,Warner Music
6,CZ - SINGLES DIGITAL - TOP 100,2014,08,,7,Chandlier,Sia,Sia,Sony Music
7,CZ - SINGLES DIGITAL - TOP 100,2014,08,,8,Lovers On The Sun,David Guetta & Sam Martin,David Guetta,Warner Music
8,CZ - SINGLES DIGITAL - TOP 100,2014,08,,9,Break Free,Ariana Grande Feat. Zedd,Ariana Grande,Universal Music
9,CZ - SINGLES DIGITAL - TOP 100,2014,08,,10,Stolen Dance,Milky Chance,Milky Chance,Nan
10,CZ - SINGLES DIGITAL - TOP 100,2014,08,,11,Don´t,Ed Sheeran,Ed Sheeran,Warner Music
11,CZ - SINGLES DIGITAL - TOP 100,2014,08,,12,Stay With Me,Sam Smith,Sam Smith,Universal Music
12,CZ - SINGLES DIGITAL - TOP 100,2014,08,,13,Rather Be,Clean Bandit & Jess Glynne,Clean Bandit,Warner Music
13,CZ - SINGLES DIGITAL - TOP 100,2014,08,,14,All Of Me,John Legend,John Legend,Sony Music
14,CZ - SINGLES DIGITAL - TOP 100,2014,08,,15,Bad,David Guetta & Showtek & Vassy,David Guetta,Warner Music
15,CZ - SINGLES DIGITAL - TOP 100,2014,08,,16,Waves,Mr. Probz,Mr. Probz,Sony Music
16,CZ - SINGLES DIGITAL - TOP 100,2014,08,,17,Problem,Ariana Grande,Ariana Grande,Universal Music
17,CZ - SINGLES DIGITAL - TOP 100,2014,08,,18,Maps,Maroon 5,Maroon 5,Universal Music
18,CZ - SINGLES DIGITAL - TOP 100,2014,08,,19,Boom Clap,Charli Xcx,Charli Xcx,Warner Music
19,CZ - SINGLES DIGITAL - TOP 100,2014,08,,20,Shower,Becky G,Becky G,Sony Music
20,CZ - SINGLES DIGITAL - TOP 100,2014,08,,21,Wasted,Tiësto & Matthew Koma,Tiësto,Universal Music
21,CZ - SINGLES DIGITAL - TOP 100,2014,08,,22,Sing,Ed Sheeran,Ed Sheeran,Warner Music
22,CZ - SINGLES DIGITAL - TOP 100,2014,08,,23,Budapest,George Ezra,George Ezra,Sony Music
23,CZ - SINGLES DIGITAL - TOP 100,2014,08,,24,Fancy,Iggy Azalea Feat. Charli Xcx,Iggy Azalea,Universal Music
24,CZ - SINGLES DIGITAL - TOP 100,2014,08,,25,V blbým věku,Xindl X,Xindl X,Universal Music
25,CZ - SINGLES DIGITAL - TOP 100,2014,08,,26,Happy,Pharrell Williams,Pharrell Williams,Sony Music
26,CZ - SINGLES DIGITAL - TOP 100,2014,08,,27,Love Runs Out,Onerepublic,Onerepublic,Universal Music
27,CZ - SINGLES DIGITAL - TOP 100,2014,08,,28,All About That Bass,Meghan Trainor,Meghan Trainor,Sony Music
28,CZ - SINGLES DIGITAL - TOP 100,2014,08,,29,Magic,Coldplay,Coldplay,Warner Music
29,CZ - SINGLES DIGITAL - TOP 100,2014,08,,30,Wiggle,Jason Derulo & Snoop Dogg,Jason Derulo,Warner Music
30,CZ - SINGLES DIGITAL - TOP 100,2014,08,,31,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj","Jessie J, Ariana Grande, Nicki Minaj",Universal Music
31,CZ - SINGLES DIGITAL - TOP 100,2014,08,,32,Best Day Of My Life,American Authors,American Authors,Universal Music
32,CZ - SINGLES DIGITAL - TOP 100,2014,08,,33,Nobody To Love,Sigma,Sigma,Universal Music
33,CZ - SINGLES DIGITAL - TOP 100,2014,08,,34,Counting Stars,Onerepublic,Onerepublic,Universal Music
34,CZ - SINGLES DIGITAL - TOP 100,2014,08,,35,I Got U,Duke Dumont Feat. Jax Jones,Duke Dumont,Universal Music
35,CZ - SINGLES DIGITAL - TOP 100,2014,08,,36,Classic,Mkto,Mkto,Sonet Music
36,CZ - SINGLES DIGITAL - TOP 100,2014,08,,37,Me And My Broken Heart,Rixton,Rixton,Universal Music
37,CZ - SINGLES DIGITAL - TOP 100,2014,08,,38,Dark Horse,Katy Perry & Juicy J,Katy Perry,Universal Music
38,CZ - SINGLES DIGITAL - TOP 100,2014,08,,39,I Will Never Let You Down,Rita Ora,Rita Ora,Sony Music
39,CZ - SINGLES DIGITAL - TOP 100,2014,08,,40,Hideaway,Kiesza,Kiesza,Universal Music
40,CZ - SINGLES DIGITAL - TOP 100,2014,08,,41,Let Her Go,Passenger,Passenger,Sony Music
