hitparada,rok,mesic,week,pozice,track,interpret,interpret_hlavni,vydavatel
CZ - RADIO - TOP 100,2006,05,,1,1+1,Ready Kirken,Ready Kirken,Universal Music
CZ - RADIO - TOP 100,2006,05,,2,Love Generation,Bob Sinclar,Bob Sinclar,Universal Music
CZ - RADIO - TOP 100,2006,05,,3,Pump It,Black Eyed Peas,Black Eyed Peas,Universal Music
CZ - RADIO - TOP 100,2006,05,,4,Whereďd You Go,Fort Minor,Fort Minor,Warner Music
CZ - RADIO - TOP 100,2006,05,,5,Sorry,Madonna,Madonna,Warner Music
CZ - RADIO - TOP 100,2006,05,,6,Hips Don´t Lie,Shakira,Shakira,Sony Music
CZ - RADIO - TOP 100,2006,05,,7,Every Single Day,Benassi Bros./Dhany,Benassi Bros.,Universal Music
CZ - RADIO - TOP 100,2006,05,,8,Listen To Your Heart,D.H.T.,D.H.T.,Universal Music
CZ - RADIO - TOP 100,2006,05,,9,Advertising Space,Robbie Williams,Robbie Williams,Warner Music
CZ - RADIO - TOP 100,2006,05,,10,Beep,Pussycat Dolls,Pussycat Dolls,Universal Music
CZ - RADIO - TOP 100,2006,05,,11,Dani California,Red Hot Chili Peppers,Red Hot Chili Peppers,Warner Music
CZ - RADIO - TOP 100,2006,05,,12,First Day Of My Life,Melanie C,Melanie C,Warner Music
CZ - RADIO - TOP 100,2006,05,,13,Stupid Girls,P!Nk,P!Nk,Sony Music
CZ - RADIO - TOP 100,2006,05,,14,Check On It,Beyoncé,Beyoncé,Sony Music
CZ - RADIO - TOP 100,2006,05,,15,Síť,Divokej Bill,Divokej Bill,Warner Music
CZ - RADIO - TOP 100,2006,05,,16,Just Be Good To Me,Karmah,Karmah,Universal Music
CZ - RADIO - TOP 100,2006,05,,17,Impossible (Unstoppable),Helena Zeťová,Helena Zeťová,Universal Music
CZ - RADIO - TOP 100,2006,05,,18,We All,Dan Bárta,Dan Bárta,Sony Music
CZ - RADIO - TOP 100,2006,05,,19,Say Say Say,Hi-Tack,Hi-Tack,Universal Music
CZ - RADIO - TOP 100,2006,05,,20,To and Fro,Mattafix,Mattafix,Warner Music
CZ - RADIO - TOP 100,2006,05,,21,So Sick,Ne-Yo,Ne-Yo,Universal Music
CZ - RADIO - TOP 100,2006,05,,22,Vrchlabí,Chinaski,Chinaski,Universal Music
CZ - RADIO - TOP 100,2006,05,,23,Friend or Foe,Tatu,Tatu,Universal Music
CZ - RADIO - TOP 100,2006,05,,24,Maniac,Joe Face,Joe Face,Universal Music
CZ - RADIO - TOP 100,2006,05,,25,Happy Birthday,Flipsyde,Flipsyde,Universal Music
