hitparada,rok,tyden,week,pozice,track,interpret,interpret_hlavni,vydavatel
SK - RADIO - TOP 100,2016,43,2016-43,1,Sofia,Alvaro Soler,Alvaro Soler,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,2,Don't Be So Shy,Imany,Imany,Warner Music
SK - RADIO - TOP 100,2016,43,2016-43,3,This Girl,Kungs & Cookin' On 3 Burners & Kylie Auldist,Kungs,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,4,Sing Me To sleep,Alan Walker,Alan Walker,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,5,Please Tell Rosie,Alle Farben & Younotus,Alle Farben,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,6,Treat You Better,Shawn Mendes,Shawn Mendes,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,7,Let Me Love You,Dj Snake & Justin Bieber,Dj Snake,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,8,Perfect Strangers,Jonas Blue,Jonas Blue,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,9,Spirits,Strumbellas,Strumbellas,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,10,Ain't Your Mama,Jennifer Lopez,Jennifer Lopez,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,11,Cheap Thrills,Sia,Sia,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,12,The Ocean,Mike Perry & Shy Martin,Mike Perry,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,13,Lost On You,Lp,Lp,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,14,If I Were Sorry,Frans,Frans,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,15,Veľký sen mora,Škampi Na Žaru,Škampi Na Žaru,Nan
SK - RADIO - TOP 100,2016,43,2016-43,16,Duele el Corazon,Enrique Iglesias & Wisin,Enrique Iglesias,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,17,FEA,Katarína Knechtová,Katarína Knechtová,Sukuba Agency
SK - RADIO - TOP 100,2016,43,2016-43,18,We Don't Talk Anymore,Charlie Puth & Selena Gomez,Charlie Puth,Warner Music
SK - RADIO - TOP 100,2016,43,2016-43,19,Try Everything,Shakira,Shakira,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,20,Stressed Out,Twenty One Pilots,Twenty One Pilots,Warner Music
SK - RADIO - TOP 100,2016,43,2016-43,21,Still Falling For You,Ellie Goulding,Ellie Goulding,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,22,Hymn For The Weekend,Coldplay,Coldplay,Warner Music
SK - RADIO - TOP 100,2016,43,2016-43,23,Raging,Kygo Feat. Kodaline,Kygo,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,24,Messin' Around,Pitbull & Enrique Iglesias,Pitbull,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,25,Send My Love (To Your New Lover),Adele,Adele,Xl Recordings
SK - RADIO - TOP 100,2016,43,2016-43,26,Human,Rag 'N' Bone Man,Rag 'N' Bone Man,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,27,Miracle,Julian Perretta,Julian Perretta,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,28,Cold Water,Major Lazer & Justin Bieber & Mo,Major Lazer,Warner Music
SK - RADIO - TOP 100,2016,43,2016-43,29,Stay,Kygo,Kygo,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,30,I Took A Pill In Ibiza (SeeB Remix),Mike Posner,Mike Posner,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,31,The Greatest,Sia & Kendrick Lamar,Sia,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,32,Faded,Alan Walker,Alan Walker,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,33,Stole The Show,Kygo,Kygo,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,34,My Way,Calvin Harris,Calvin Harris,Sony Music
SK - RADIO - TOP 100,2016,43,2016-43,35,Renegades,X Ambassadors,X Ambassadors,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,36,Nothing,Lina Mayer,Lina Mayer,Lina Mayer
SK - RADIO - TOP 100,2016,43,2016-43,37,Be The One,Dua Lipa,Dua Lipa,Warner Music
SK - RADIO - TOP 100,2016,43,2016-43,38,Anna,I.M.T.Smile,I.M.T.Smile,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,39,Mercy,Shawn Mendes,Shawn Mendes,Universal Music
SK - RADIO - TOP 100,2016,43,2016-43,40,History,One Direction,One Direction,Sony Music
